representation,subject,session,trial_id,class_label,window_index,symmetry_error,min_eig,max_eig,condition_number,is_spd,has_nan,has_inf,covariance_index,sample_index,run,run_trial_id,trial_uid
WHOLE,1,0train,1,tongue,,0.0,1.1282480176465559e-13,4.0418733634086985e-10,3582.4333836098867,True,False,False,0,0,0,1,S01_0train_T001
WHOLE,1,0train,2,feet,,0.0,1.1869252936468415e-13,5.027180607357796e-10,4235.465057713722,True,False,False,1,1,0,2,S01_0train_T002
WHOLE,1,0train,3,right_hand,,0.0,7.564125340948048e-14,3.521026272887989e-10,4654.9020728504765,True,False,False,2,2,0,3,S01_0train_T003
WHOLE,1,0train,4,left_hand,,0.0,9.259268693651922e-14,4.0687181505190825e-10,4394.2111252355835,True,False,False,3,3,0,4,S01_0train_T004
WHOLE,1,0train,5,left_hand,,0.0,9.554088902355797e-14,2.660829306381532e-10,2785.0162726928766,True,False,False,4,4,0,5,S01_0train_T005
WHOLE,1,0train,6,right_hand,,0.0,8.630158319693639e-14,3.5643140006691665e-10,4130.0679183782295,True,False,False,5,5,0,6,S01_0train_T006
WHOLE,1,0train,7,feet,,0.0,9.819603278476266e-14,3.045946361777461e-10,3101.9036873454106,True,False,False,6,6,0,7,S01_0train_T007
WHOLE,1,0train,8,tongue,,0.0,1.0659184156433185e-13,3.105426319973382e-10,2913.3808689280877,True,False,False,7,7,0,8,S01_0train_T008
WHOLE,1,0train,9,right_hand,,0.0,8.776331521775764e-14,3.594252009549227e-10,4095.392249747172,True,False,False,8,8,0,9,S01_0train_T009
WHOLE,1,0train,10,feet,,0.0,9.049456940204442e-14,3.290923245632402e-10,3636.597496819577,True,False,False,9,9,0,10,S01_0train_T010
WHOLE,1,0train,11,left_hand,,0.0,1.1837267641070555e-13,4.978175282081223e-10,4205.510454802051,True,False,False,10,10,0,11,S01_0train_T011
WHOLE,1,0train,12,left_hand,,0.0,7.90417810558865e-14,3.3358896042902157e-10,4220.413001487877,True,False,False,11,11,0,12,S01_0train_T012
WHOLE,1,0train,13,left_hand,,0.0,9.459726453837303e-14,3.430780926448801e-10,3626.723186120374,True,False,False,12,12,0,13,S01_0train_T013
WHOLE,1,0train,14,tongue,,0.0,1.7764384722256296e-13,6.633898912207968e-10,3734.3814693996233,True,False,False,13,13,0,14,S01_0train_T014
WHOLE,1,0train,15,right_hand,,0.0,8.377557157223229e-14,3.1586670642366207e-10,3770.3915413017276,True,False,False,14,14,0,15,S01_0train_T015
WHOLE,1,0train,16,right_hand,,0.0,8.596203527114068e-14,3.233939215912166e-10,3762.0551976366123,True,False,False,15,15,0,16,S01_0train_T016
WHOLE,1,0train,17,left_hand,,0.0,8.489839267419033e-14,3.56494775467863e-10,4199.07567432946,True,False,False,16,16,0,17,S01_0train_T017
