representation,target,scope,fold,window_index,n_rows,accuracy
window5_raw,class,fold,0,1,540,0.3611111111111111
window5_raw,class,fold,0,2,540,0.5055555555555555
window5_raw,class,fold,0,3,540,0.46296296296296297
window5_raw,class,fold,0,4,540,0.42962962962962964
window5_raw,class,fold,0,5,540,0.37592592592592594
window5_raw,class,fold,1,1,540,0.3592592592592593
window5_raw,class,fold,1,2,540,0.5074074074074074
window5_raw,class,fold,1,3,540,0.4703703703703704
window5_raw,class,fold,1,4,540,0.4148148148148148
window5_raw,class,fold,1,5,540,0.36666666666666664
window5_raw,class,fold,2,1,504,0.3412698412698413
window5_raw,class,fold,2,2,504,0.5138888888888888
window5_raw,class,fold,2,3,504,0.498015873015873
window5_raw,class,fold,2,4,504,0.44642857142857145
window5_raw,class,fold,2,5,504,0.3869047619047619
window5_raw,class,fold,3,1,504,0.3968253968253968
window5_raw,class,fold,3,2,504,0.5158730158730159
window5_raw,class,fold,3,3,504,0.4801587301587302
window5_raw,class,fold,3,4,504,0.43253968253968256
window5_raw,class,fold,3,5,504,0.3968253968253968
window5_raw,class,fold,4,1,504,0.3492063492063492
window5_raw,class,fold,4,2,504,0.5119047619047619
window5_raw,class,fold,4,3,504,0.5119047619047619
window5_raw,class,fold,4,4,504,0.4583333333333333
window5_raw,class,fold,4,5,504,0.4027777777777778
window5_raw,class,pooled_oof,,1,2592,0.36149691358024694
window5_raw,class,pooled_oof,,2,2592,0.5108024691358025
window5_raw,class,pooled_oof,,3,2592,0.4841820987654321
window5_raw,class,pooled_oof,,4,2592,0.4359567901234568
window5_raw,class,pooled_oof,,5,2592,0.3854166666666667
window5_raw,subject,fold,0,1,540,0.9962962962962963
window5_raw,subject,fold,0,2,540,0.9925925925925926
window5_raw,subject,fold,0,3,540,0.9944444444444445
window5_raw,subject,fold,0,4,540,0.9962962962962963
window5_raw,subject,fold,0,5,540,0.9925925925925926
window5_raw,subject,fold,1,1,540,1.0
window5_raw,subject,fold,1,2,540,0.9981481481481481
window5_raw,subject,fold,1,3,540,0.9925925925925926
window5_raw,subject,fold,1,4,540,0.9962962962962963
window5_raw,subject,fold,1,5,540,0.9981481481481481
window5_raw,subject,fold,2,1,504,0.996031746031746
window5_raw,subject,fold,2,2,504,1.0
window5_raw,subject,fold,2,3,504,0.998015873015873
window5_raw,subject,fold,2,4,504,0.996031746031746
window5_raw,subject,fold,2,5,504,0.9940476190476191
window5_raw,subject,fold,3,1,504,0.9940476190476191
window5_raw,subject,fold,3,2,504,0.9940476190476191
window5_raw,subject,fold,3,3,504,0.996031746031746
window5_raw,subject,fold,3,4,504,0.998015873015873
window5_raw,subject,fold,3,5,504,0.996031746031746
window5_raw,subject,fold,4,1,504,1.0
window5_raw,subject,fold,4,2,504,0.996031746031746
window5_raw,subject,fold,4,3,504,1.0
window5_raw,subject,fold,4,4,504,0.998015873015873
window5_raw,subject,fold,4,5,504,0.996031746031746
window5_raw,subject,pooled_oof,,1,2592,0.9972993827160493
window5_raw,subject,pooled_oof,,2,2592,0.996141975308642
window5_raw,subject,pooled_oof,,3,2592,0.996141975308642
window5_raw,subject,pooled_oof,,4,2592,0.9969135802469136
window5_raw,subject,pooled_oof,,5,2592,0.9953703703703703
window5_centered,class,fold,0,1,540,0.3814814814814815
window5_centered,class,fold,0,2,540,0.5518518518518518
window5_centered,class,fold,0,3,540,0.5037037037037037
window5_centered,class,fold,0,4,540,0.4203703703703704
window5_centered,class,fold,0,5,540,0.3907407407407407
window5_centered,class,fold,1,1,540,0.3814814814814815
window5_centered,class,fold,1,2,540,0.5518518518518518
window5_centered,class,fold,1,3,540,0.5055555555555555
window5_centered,class,fold,1,4,540,0.45555555555555555
window5_centered,class,fold,1,5,540,0.40555555555555556
window5_centered,class,fold,2,1,504,0.35119047619047616
window5_centered,class,fold,2,2,504,0.5535714285714286
window5_centered,class,fold,2,3,504,0.49007936507936506
window5_centered,class,fold,2,4,504,0.47619047619047616
window5_centered,class,fold,2,5,504,0.3869047619047619
window5_centered,class,fold,3,1,504,0.3888888888888889
window5_centered,class,fold,3,2,504,0.5337301587301587
window5_centered,class,fold,3,3,504,0.5297619047619048
window5_centered,class,fold,3,4,504,0.42857142857142855
window5_centered,class,fold,3,5,504,0.4087301587301587
window5_centered,class,fold,4,1,504,0.36507936507936506
window5_centered,class,fold,4,2,504,0.5496031746031746
window5_centered,class,fold,4,3,504,0.5436507936507936
window5_centered,class,fold,4,4,504,0.4603174603174603
window5_centered,class,fold,4,5,504,0.42658730158730157
window5_centered,class,pooled_oof,,1,2592,0.3738425925925926
window5_centered,class,pooled_oof,,2,2592,0.5482253086419753
window5_centered,class,pooled_oof,,3,2592,0.5142746913580247
window5_centered,class,pooled_oof,,4,2592,0.4479166666666667
window5_centered,class,pooled_oof,,5,2592,0.4035493827160494
window5_centered,subject,fold,0,1,540,0.05
window5_centered,subject,fold,0,2,540,0.05185185185185185
window5_centered,subject,fold,0,3,540,0.04814814814814815
window5_centered,subject,fold,0,4,540,0.03888888888888889
window5_centered,subject,fold,0,5,540,0.07222222222222222
window5_centered,subject,fold,1,1,540,0.040740740740740744
window5_centered,subject,fold,1,2,540,0.022222222222222223
window5_centered,subject,fold,1,3,540,0.044444444444444446
window5_centered,subject,fold,1,4,540,0.03888888888888889
window5_centered,subject,fold,1,5,540,0.025925925925925925
window5_centered,subject,fold,2,1,504,0.04365079365079365
window5_centered,subject,fold,2,2,504,0.03968253968253968
window5_centered,subject,fold,2,3,504,0.027777777777777776
window5_centered,subject,fold,2,4,504,0.03968253968253968
window5_centered,subject,fold,2,5,504,0.047619047619047616
window5_centered,subject,fold,3,1,504,0.03373015873015873
window5_centered,subject,fold,3,2,504,0.04563492063492063
window5_centered,subject,fold,3,3,504,0.03968253968253968
window5_centered,subject,fold,3,4,504,0.04563492063492063
window5_centered,subject,fold,3,5,504,0.051587301587301584
window5_centered,subject,fold,4,1,504,0.03968253968253968
window5_centered,subject,fold,4,2,504,0.047619047619047616
window5_centered,subject,fold,4,3,504,0.03571428571428571
window5_centered,subject,fold,4,4,504,0.03571428571428571
window5_centered,subject,fold,4,5,504,0.041666666666666664
window5_centered,subject,pooled_oof,,1,2592,0.041666666666666664
window5_centered,subject,pooled_oof,,2,2592,0.04128086419753087
window5_centered,subject,pooled_oof,,3,2592,0.03935185185185185
window5_centered,subject,pooled_oof,,4,2592,0.03973765432098766
window5_centered,subject,pooled_oof,,5,2592,0.047839506172839504
