representation,window_index,metric,value,n_samples,n_groups,space,subset_rule
whole_raw,,class_silhouette,-0.028232777516791523,2592,4,log_svec_253d_unscaled,all
whole_raw,,subject_silhouette,0.24693250753792315,2592,9,log_svec_253d_unscaled,all
whole_raw,,class_separation_ratio,1.0102139088792064,2592,4,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
whole_raw,,subject_separation_ratio,2.057086665015281,2592,9,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
whole_centered,,class_silhouette,-0.006810911253499121,2592,4,log_svec_253d_unscaled,all
whole_centered,,subject_silhouette,-0.06013680288836387,2592,9,log_svec_253d_unscaled,all
whole_centered,,class_separation_ratio,1.0433333374603395,2592,4,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
whole_centered,,subject_separation_ratio,0.9982623792259112,2592,9,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
window5_raw,,class_silhouette,-0.027043200451678597,5000,4,log_svec_253d_unscaled,balanced_whole_trials
window5_raw,,subject_silhouette,0.058783404407744794,5000,9,log_svec_253d_unscaled,balanced_whole_trials
window5_raw,,window_silhouette,-0.0183452339528627,5000,5,log_svec_253d_unscaled,balanced_whole_trials
window5_raw,,class_separation_ratio,1.0084503617414715,12960,4,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
window5_raw,,subject_separation_ratio,1.5074224096251065,12960,9,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
window5_raw,1,class_silhouette,-0.014611627712614294,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_raw,1,class_separation_ratio,1.0018363292988879,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_raw,2,class_silhouette,-0.032691952452442746,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_raw,2,class_separation_ratio,1.0202372332167955,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_raw,3,class_silhouette,-0.03354467975100852,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_raw,3,class_separation_ratio,1.0144629349464178,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_raw,4,class_silhouette,-0.025642648417394793,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_raw,4,class_separation_ratio,1.0075141763332458,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_raw,5,class_silhouette,-0.024596032228817507,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_raw,5,class_separation_ratio,1.0047370663386648,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_centered,,class_silhouette,-0.014916193591416186,5000,4,log_svec_253d_unscaled,balanced_whole_trials
window5_centered,,subject_silhouette,-0.05552005368440837,5000,9,log_svec_253d_unscaled,balanced_whole_trials
window5_centered,,window_silhouette,-0.017744566553794385,5000,5,log_svec_253d_unscaled,balanced_whole_trials
window5_centered,,class_separation_ratio,1.0183757430280456,12960,4,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
window5_centered,,subject_separation_ratio,0.9996527174752019,12960,9,log_svec_253d_unscaled,exact_all_rows_pairwise_identity
window5_centered,1,class_silhouette,-0.0073543608705780176,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_centered,1,class_separation_ratio,1.0053397262356416,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_centered,2,class_silhouette,-0.011186151084958917,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_centered,2,class_separation_ratio,1.041945594997133,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_centered,3,class_silhouette,-0.014142609358429765,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_centered,3,class_separation_ratio,1.0316751859487963,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_centered,4,class_silhouette,-0.015207770454348825,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_centered,4,class_separation_ratio,1.0169685890164835,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
window5_centered,5,class_silhouette,-0.01584374282374273,2592,4,log_svec_253d_unscaled,all_trials_at_window
window5_centered,5,class_separation_ratio,1.0114332660734153,2592,4,log_svec_253d_unscaled,exact_all_trials_at_window
