sample_index,subject,session,run,trial_id,run_trial_id,trial_uid,class_label
0,1,0train,0,1,1,S01_0train_T001,tongue
1,1,0train,0,2,2,S01_0train_T002,feet
2,1,0train,0,3,3,S01_0train_T003,right_hand
3,1,0train,0,4,4,S01_0train_T004,left_hand
4,1,0train,0,5,5,S01_0train_T005,left_hand
5,1,0train,0,6,6,S01_0train_T006,right_hand
6,1,0train,0,7,7,S01_0train_T007,feet
7,1,0train,0,8,8,S01_0train_T008,tongue
8,1,0train,0,9,9,S01_0train_T009,right_hand
9,1,0train,0,10,10,S01_0train_T010,feet
10,1,0train,0,11,11,S01_0train_T011,left_hand
11,1,0train,0,12,12,S01_0train_T012,left_hand
12,1,0train,0,13,13,S01_0train_T013,left_hand
13,1,0train,0,14,14,S01_0train_T014,tongue
14,1,0train,0,15,15,S01_0train_T015,right_hand
15,1,0train,0,16,16,S01_0train_T016,right_hand
16,1,0train,0,17,17,S01_0train_T017,left_hand
17,1,0train,0,18,18,S01_0train_T018,left_hand
18,1,0train,0,19,19,S01_0train_T019,feet
19,1,0train,0,20,20,S01_0train_T020,left_hand
20,1,0train,0,21,21,S01_0train_T021,right_hand
21,1,0train,0,22,22,S01_0train_T022,tongue
22,1,0train,0,23,23,S01_0train_T023,tongue
23,1,0train,0,24,24,S01_0train_T024,feet
24,1,0train,0,25,25,S01_0train_T025,left_hand
25,1,0train,0,26,26,S01_0train_T026,tongue
26,1,0train,0,27,27,S01_0train_T027,tongue
27,1,0train,0,28,28,S01_0train_T028,right_hand
28,1,0train,0,29,29,S01_0train_T029,tongue
29,1,0train,0,30,30,S01_0train_T030,tongue
30,1,0train,0,31,31,S01_0train_T031,right_hand
31,1,0train,0,32,32,S01_0train_T032,left_hand
32,1,0train,0,33,33,S01_0train_T033,right_hand
33,1,0train,0,34,34,S01_0train_T034,feet
34,1,0train,0,35,35,S01_0train_T035,feet
35,1,0train,0,36,36,S01_0train_T036,feet
36,1,0train,0,37,37,S01_0train_T037,tongue
37,1,0train,0,38,38,S01_0train_T038,feet
38,1,0train,0,39,39,S01_0train_T039,left_hand
39,1,0train,0,40,40,S01_0train_T040,tongue
40,1,0train,0,41,41,S01_0train_T041,right_hand
41,1,0train,0,42,42,S01_0train_T042,feet
42,1,0train,0,43,43,S01_0train_T043,right_hand
43,1,0train,0,44,44,S01_0train_T044,feet
44,1,0train,0,45,45,S01_0train_T045,tongue
45,1,0train,0,46,46,S01_0train_T046,right_hand
46,1,0train,0,47,47,S01_0train_T047,feet
47,1,0train,0,48,48,S01_0train_T048,left_hand
48,1,0train,1,49,1,S01_0train_T049,left_hand
49,1,0train,1,50,2,S01_0train_T050,left_hand
50,1,0train,1,51,3,S01_0train_T051,tongue
51,1,0train,1,52,4,S01_0train_T052,right_hand
52,1,0train,1,53,5,S01_0train_T053,left_hand
53,1,0train,1,54,6,S01_0train_T054,feet
54,1,0train,1,55,7,S01_0train_T055,left_hand
55,1,0train,1,56,8,S01_0train_T056,feet
56,1,0train,1,57,9,S01_0train_T057,right_hand
57,1,0train,1,58,10,S01_0train_T058,tongue
58,1,0train,1,59,11,S01_0train_T059,left_hand
59,1,0train,1,60,12,S01_0train_T060,feet
60,1,0train,1,61,13,S01_0train_T061,feet
61,1,0train,1,62,14,S01_0train_T062,left_hand
62,1,0train,1,63,15,S01_0train_T063,feet
63,1,0train,1,64,16,S01_0train_T064,right_hand
64,1,0train,1,65,17,S01_0train_T065,tongue
65,1,0train,1,66,18,S01_0train_T066,tongue
66,1,0train,1,67,19,S01_0train_T067,tongue
67,1,0train,1,68,20,S01_0train_T068,feet
68,1,0train,1,69,21,S01_0train_T069,left_hand
69,1,0train,1,70,22,S01_0train_T070,tongue
70,1,0train,1,71,23,S01_0train_T071,right_hand
71,1,0train,1,72,24,S01_0train_T072,tongue
72,1,0train,1,73,25,S01_0train_T073,right_hand
73,1,0train,1,74,26,S01_0train_T074,left_hand
74,1,0train,1,75,27,S01_0train_T075,feet
75,1,0train,1,76,28,S01_0train_T076,right_hand
76,1,0train,1,77,29,S01_0train_T077,left_hand
77,1,0train,1,78,30,S01_0train_T078,feet
78,1,0train,1,79,31,S01_0train_T079,feet
79,1,0train,1,80,32,S01_0train_T080,left_hand
80,1,0train,1,81,33,S01_0train_T081,feet
81,1,0train,1,82,34,S01_0train_T082,tongue
82,1,0train,1,83,35,S01_0train_T083,tongue
83,1,0train,1,84,36,S01_0train_T084,right_hand
84,1,0train,1,85,37,S01_0train_T085,left_hand
85,1,0train,1,86,38,S01_0train_T086,right_hand
86,1,0train,1,87,39,S01_0train_T087,tongue
87,1,0train,1,88,40,S01_0train_T088,right_hand
88,1,0train,1,89,41,S01_0train_T089,tongue
89,1,0train,1,90,42,S01_0train_T090,feet
90,1,0train,1,91,43,S01_0train_T091,right_hand
91,1,0train,1,92,44,S01_0train_T092,right_hand
92,1,0train,1,93,45,S01_0train_T093,right_hand
93,1,0train,1,94,46,S01_0train_T094,feet
94,1,0train,1,95,47,S01_0train_T095,tongue
95,1,0train,1,96,48,S01_0train_T096,left_hand
96,1,0train,2,97,1,S01_0train_T097,right_hand
97,1,0train,2,98,2,S01_0train_T098,tongue
98,1,0train,2,99,3,S01_0train_T099,left_hand
99,1,0train,2,100,4,S01_0train_T100,feet
100,1,0train,2,101,5,S01_0train_T101,feet
101,1,0train,2,102,6,S01_0train_T102,tongue
102,1,0train,2,103,7,S01_0train_T103,left_hand
103,1,0train,2,104,8,S01_0train_T104,left_hand
104,1,0train,2,105,9,S01_0train_T105,feet
105,1,0train,2,106,10,S01_0train_T106,right_hand
106,1,0train,2,107,11,S01_0train_T107,tongue
107,1,0train,2,108,12,S01_0train_T108,tongue
108,1,0train,2,109,13,S01_0train_T109,tongue
