tsne1,tsne2,covariance_index,sample_index,subject,session,run,trial_id,run_trial_id,trial_uid,class_label
16.126522,-21.938772,0,0,1,0train,0,1,1,S01_0train_T001,tongue
30.308002,-11.868148,1,1,1,0train,0,2,2,S01_0train_T002,feet
-38.68053,10.839003,2,2,1,0train,0,3,3,S01_0train_T003,right_hand
-22.711342,-20.063433,3,3,1,0train,0,4,4,S01_0train_T004,left_hand
-22.287497,-19.897388,4,4,1,0train,0,5,5,S01_0train_T005,left_hand
-16.652018,16.498123,5,5,1,0train,0,6,6,S01_0train_T006,right_hand
18.249485,-29.354101,6,6,1,0train,0,7,7,S01_0train_T007,feet
25.945242,-19.435177,7,7,1,0train,0,8,8,S01_0train_T008,tongue
-21.834637,14.020948,8,8,1,0train,0,9,9,S01_0train_T009,right_hand
-5.5796185,-20.672571,9,9,1,0train,0,10,10,S01_0train_T010,feet
14.800402,-4.0548987,10,10,1,0train,0,11,11,S01_0train_T011,left_hand
-35.555847,3.097351,11,11,1,0train,0,12,12,S01_0train_T012,left_hand
6.529002,-0.042022943,12,12,1,0train,0,13,13,S01_0train_T013,left_hand
50.20006,6.217486,13,13,1,0train,0,14,14,S01_0train_T014,tongue
-25.181429,-3.4151688,14,14,1,0train,0,15,15,S01_0train_T015,right_hand
-15.657133,-8.800126,15,15,1,0train,0,16,16,S01_0train_T016,right_hand
-39.072727,13.060086,16,16,1,0train,0,17,17,S01_0train_T017,left_hand
-38.98383,12.946547,17,17,1,0train,0,18,18,S01_0train_T018,left_hand
26.595606,-11.820263,18,18,1,0train,0,19,19,S01_0train_T019,feet
-18.907177,-8.73453,19,19,1,0train,0,20,20,S01_0train_T020,left_hand
9.462129,4.819666,20,20,1,0train,0,21,21,S01_0train_T021,right_hand
8.984122,-4.3928833,21,21,1,0train,0,22,22,S01_0train_T022,tongue
19.866468,-22.895468,22,22,1,0train,0,23,23,S01_0train_T023,tongue
-19.219173,-8.815518,23,23,1,0train,0,24,24,S01_0train_T024,feet
-35.967663,18.734774,24,24,1,0train,0,25,25,S01_0train_T025,left_hand
16.429688,-22.173754,25,25,1,0train,0,26,26,S01_0train_T026,tongue
13.671189,-23.295671,26,26,1,0train,0,27,27,S01_0train_T027,tongue
-30.758701,8.6665,27,27,1,0train,0,28,28,S01_0train_T028,right_hand
47.42886,-4.9336267,28,28,1,0train,0,29,29,S01_0train_T029,tongue
14.182294,-24.626423,29,29,1,0train,0,30,30,S01_0train_T030,tongue
-43.863464,15.388487,30,30,1,0train,0,31,31,S01_0train_T031,right_hand
-43.612736,15.083298,31,31,1,0train,0,32,32,S01_0train_T032,left_hand
-40.572937,14.152467,32,32,1,0train,0,33,33,S01_0train_T033,right_hand
14.706854,-23.673092,33,33,1,0train,0,34,34,S01_0train_T034,feet
-28.682367,7.3464518,34,34,1,0train,0,35,35,S01_0train_T035,feet
17.99426,-20.359499,35,35,1,0train,0,36,36,S01_0train_T036,feet
43.86124,-16.817385,36,36,1,0train,0,37,37,S01_0train_T037,tongue
-22.373974,13.889121,37,37,1,0train,0,38,38,S01_0train_T038,feet
-34.238575,18.483902,38,38,1,0train,0,39,39,S01_0train_T039,left_hand
39.007008,-16.796192,39,39,1,0train,0,40,40,S01_0train_T040,tongue
-9.313572,17.08152,40,40,1,0train,0,41,41,S01_0train_T041,right_hand
13.455766,-2.8149598,41,41,1,0train,0,42,42,S01_0train_T042,feet
-44.223053,13.742854,42,42,1,0train,0,43,43,S01_0train_T043,right_hand
11.143824,-14.78661,43,43,1,0train,0,44,44,S01_0train_T044,feet
43.21852,-10.274437,44,44,1,0train,0,45,45,S01_0train_T045,tongue
-13.262989,14.764139,45,45,1,0train,0,46,46,S01_0train_T046,right_hand
-20.405237,-17.192022,46,46,1,0train,0,47,47,S01_0train_T047,feet
-3.4523327,11.947229,47,47,1,0train,0,48,48,S01_0train_T048,left_hand
-41.71115,14.61031,48,48,1,0train,1,49,1,S01_0train_T049,left_hand
-31.87936,23.534002,49,49,1,0train,1,50,2,S01_0train_T050,left_hand
42.128086,-16.786726,50,50,1,0train,1,51,3,S01_0train_T051,tongue
-43.941463,15.979467,51,51,1,0train,1,52,4,S01_0train_T052,right_hand
-9.00314,17.556852,52,52,1,0train,1,53,5,S01_0train_T053,left_hand
14.978662,-18.969076,53,53,1,0train,1,54,6,S01_0train_T054,feet
-50.78556,3.8592165,54,54,1,0train,1,55,7,S01_0train_T055,left_hand
17.477219,-28.56806,55,55,1,0train,1,56,8,S01_0train_T056,feet
-33.665474,22.275707,56,56,1,0train,1,57,9,S01_0train_T057,right_hand
18.697405,-21.727293,57,57,1,0train,1,58,10,S01_0train_T058,tongue
-20.695463,17.060543,58,58,1,0train,1,59,11,S01_0train_T059,left_hand
35.11842,-8.665858,59,59,1,0train,1,60,12,S01_0train_T060,feet
43.718422,-5.006165,60,60,1,0train,1,61,13,S01_0train_T061,feet
-42.406246,14.871342,61,61,1,0train,1,62,14,S01_0train_T062,left_hand
27.345118,-8.120194,62,62,1,0train,1,63,15,S01_0train_T063,feet
-35.38962,15.732606,63,63,1,0train,1,64,16,S01_0train_T064,right_hand
20.989069,-23.401638,64,64,1,0train,1,65,17,S01_0train_T065,tongue
41.46385,-16.835,65,65,1,0train,1,66,18,S01_0train_T066,tongue
18.123413,-22.46688,66,66,1,0train,1,67,19,S01_0train_T067,tongue
18.235228,12.144846,67,67,1,0train,1,68,20,S01_0train_T068,feet
-40.825176,14.388092,68,68,1,0train,1,69,21,S01_0train_T069,left_hand
45.89149,-2.7357047,69,69,1,0train,1,70,22,S01_0train_T070,tongue
-38.051754,16.040401,70,70,1,0train,1,71,23,S01_0train_T071,right_hand
14.796955,-23.519726,71,71,1,0train,1,72,24,S01_0train_T072,tongue
-43.210564,15.700536,72,72,1,0train,1,73,25,S01_0train_T073,right_hand
-50.927086,6.20705,73,73,1,0train,1,74,26,S01_0train_T074,left_hand
15.099648,-18.729979,74,74,1,0train,1,75,27,S01_0train_T075,feet
-38.994183,16.078367,75,75,1,0train,1,76,28,S01_0train_T076,right_hand
-28.710272,-2.9044518,76,76,1,0train,1,77,29,S01_0train_T077,left_hand
33.79659,5.5405126,77,77,1,0train,1,78,30,S01_0train_T078,feet
44.714737,-11.320368,78,78,1,0train,1,79,31,S01_0train_T079,feet
-8.610012,16.316607,79,79,1,0train,1,80,32,S01_0train_T080,left_hand
45.763462,-4.763242,80,80,1,0train,1,81,33,S01_0train_T081,feet
43.02535,-9.616803,81,81,1,0train,1,82,34,S01_0train_T082,tongue
44.6119,-3.8705988,82,82,1,0train,1,83,35,S01_0train_T083,tongue
-28.443367,16.190004,83,83,1,0train,1,84,36,S01_0train_T084,right_hand
-16.387787,27.081322,84,84,1,0train,1,85,37,S01_0train_T085,left_hand
1.1472294,-1.5365226,85,85,1,0train,1,86,38,S01_0train_T086,right_hand
39.484093,-16.623022,86,86,1,0train,1,87,39,S01_0train_T087,tongue
-44.18691,16.17563,87,87,1,0train,1,88,40,S01_0train_T088,right_hand
18.578762,-21.807402,88,88,1,0train,1,89,41,S01_0train_T089,tongue
18.037436,-12.843143,89,89,1,0train,1,90,42,S01_0train_T090,feet
-44.678886,14.761985,90,90,1,0train,1,91,43,S01_0train_T091,right_hand
18.544176,15.86014,91,91,1,0train,1,92,44,S01_0train_T092,right_hand
-23.535467,12.379083,92,92,1,0train,1,93,45,S01_0train_T093,right_hand
44.240337,-10.7242155,93,93,1,0train,1,94,46,S01_0train_T094,feet
43.61341,-3.4118578,94,94,1,0train,1,95,47,S01_0train_T095,tongue
23.38873,14.293606,95,95,1,0train,1,96,48,S01_0train_T096,left_hand
-34.36938,21.967169,96,96,1,0train,2,97,1,S01_0train_T097,right_hand
15.859616,-24.299494,97,97,1,0train,2,98,2,S01_0train_T098,tongue
-4.259603,20.004475,98,98,1,0train,2,99,3,S01_0train_T099,left_hand
-6.2826514,-21.451786,99,99,1,0train,2,100,4,S01_0train_T100,feet
11.470331,-1.0558623,100,100,1,0train,2,101,5,S01_0train_T101,feet
40.399715,-16.536314,101,101,1,0train,2,102,6,S01_0train_T102,tongue
-31.572014,8.103025,102,102,1,0train,2,103,7,S01_0train_T103,left_hand
-36.36361,18.367409,103,103,1,0train,2,104,8,S01_0train_T104,left_hand
40.73076,-8.584602,104,104,1,0train,2,105,9,S01_0train_T105,feet
-43.009884,7.4492736,105,105,1,0train,2,106,10,S01_0train_T106,right_hand
43.402977,-9.34564,106,106,1,0train,2,107,11,S01_0train_T107,tongue
46.76784,-3.5389764,107,107,1,0train,2,108,12,S01_0train_T108,tongue
12.535993,-17.082998,108,108,1,0train,2,109,13,S01_0train_T109,tongue
4.1513553,3.7884393,109,109,1,0train,2,110,14,S01_0train_T110,right_hand
-21.264143,-19.966755,110,110,1,0train,2,111,15,S01_0train_T111,left_hand
-9.279563,-17.393457,111,111,1,0train,2,112,16,S01_0train_T112,feet
-43.477924,-4.81499,112,112,1,0train,2,113,17,S01_0train_T113,right_hand
15.698079,-20.894987,113,113,1,0train,2,114,18,S01_0train_T114,tongue
-29.741732,-9.011971,114,114,1,0train,2,115,19,S01_0train_T115,left_hand
21.44787,-22.935625,115,115,1,0train,2,116,20,S01_0train_T116,tongue
16.633354,-22.187757,116,116,1,0train,2,117,21,S01_0train_T117,feet
-45.486507,4.820941,117,117,1,0train,2,118,22,S01_0train_T118,right_hand
36.19235,9.36668,118,118,1,0train,2,119,23,S01_0train_T119,tongue
34.91801,7.571492,119,119,1,0train,2,120,24,S01_0train_T120,tongue
11.87115,-2.9460158,120,120,1,0train,2,121,25,S01_0train_T121,left_hand
-36.51744,15.826874,121,121,1,0train,2,122,26,S01_0train_T122,right_hand
-35.1718,14.85762,122,122,1,0train,2,123,27,S01_0train_T123,right_hand
13.252656,-3.0648446,123,123,1,0train,2,124,28,S01_0train_T124,feet
26.469353,-18.708918,124,124,1,0train,2,125,29,S01_0train_T125,tongue
-14.5071745,6.485856,125,125,1,0train,2,126,30,S01_0train_T126,right_hand
16.415796,-2.8161361,126,126,1,0train,2,127,31,S01_0train_T127,left_hand
-24.068584,-19.967264,127,127,1,0train,2,128,32,S01_0train_T128,left_hand
16.803444,-20.8421,128,128,1,0train,2,129,33,S01_0train_T129,tongue
-38.125435,14.596738,129,129,1,0train,2,130,34,S01_0train_T130,right_hand
-37.091972,11.518763,130,130,1,0train,2,131,35,S01_0train_T131,left_hand
42.8683,-6.8578386,131,131,1,0train,2,132,36,S01_0train_T132,feet
-36.857372,14.158015,132,132,1,0train,2,133,37,S01_0train_T133,right_hand
-22.942446,2.7047381,133,133,1,0train,2,134,38,S01_0train_T134,right_hand
11.594424,-10.035443,134,134,1,0train,2,135,39,S01_0train_T135,feet
6.6136284,-0.18967883,135,135,1,0train,2,136,40,S01_0train_T136,left_hand
40.97446,-18.196564,136,136,1,0train,2,137,41,S01_0train_T137,tongue
-1.4929745,-22.998838,137,137,1,0train,2,138,42,S01_0train_T138,feet
48.370605,0.54176104,138,138,1,0train,2,139,43,S01_0train_T139,feet
41.161148,-7.1218033,139,139,1,0train,2,140,44,S01_0train_T140,feet
28.381569,-9.911672,140,140,1,0train,2,141,45,S01_0train_T141,feet
-22.126677,-4.8159075,141,141,1,0train,2,142,46,S01_0train_T142,left_hand
-38.01104,14.741316,142,142,1,0train,2,143,47,S01_0train_T143,right_hand
-23.15555,-20.31057,143,143,1,0train,2,144,48,S01_0train_T144,left_hand
-44.85587,14.993527,144,144,1,0train,3,145,1,S01_0train_T145,right_hand
-36.234737,22.79732,145,145,1,0train,3,146,2,S01_0train_T146,left_hand
-36.133224,23.601269,146,146,1,0train,3,147,3,S01_0train_T147,left_hand
44.345837,-13.531612,147,147,1,0train,3,148,4,S01_0train_T148,feet
17.621655,-28.627611,148,148,1,0train,3,149,5,S01_0train_T149,feet
-41.316257,0.935255,149,149,1,0train,3,150,6,S01_0train_T150,right_hand
21.8688,-2.9094613,150,150,1,0train,3,151,7,S01_0train_T151,feet
39.384968,-9.840465,151,151,1,0train,3,152,8,S01_0train_T152,tongue
-40.3042,14.877486,152,152,1,0train,3,153,9,S01_0train_T153,left_hand
