tsne1,tsne2,covariance_index,sample_index,subject,session,run,trial_id,run_trial_id,trial_uid,class_label,window_index
-25.69671,-30.725578,0,0,1,0train,0,1,1,S01_0train_T001,tongue,1
25.053946,-22.392513,1,0,1,0train,0,1,1,S01_0train_T001,tongue,2
46.19744,-15.5304985,2,0,1,0train,0,1,1,S01_0train_T001,tongue,3
30.890118,-13.093205,3,0,1,0train,0,1,1,S01_0train_T001,tongue,4
29.853086,-0.8711422,4,0,1,0train,0,1,1,S01_0train_T001,tongue,5
18.955782,17.507048,5,1,1,0train,0,2,2,S01_0train_T002,feet,1
1.9187362,27.504272,6,1,1,0train,0,2,2,S01_0train_T002,feet,2
55.270004,-18.026957,7,1,1,0train,0,2,2,S01_0train_T002,feet,3
53.501507,-9.754314,8,1,1,0train,0,2,2,S01_0train_T002,feet,4
33.856483,-3.1360395,9,1,1,0train,0,2,2,S01_0train_T002,feet,5
-8.299055,7.4688697,10,2,1,0train,0,3,3,S01_0train_T003,right_hand,1
-21.787384,21.82913,11,2,1,0train,0,3,3,S01_0train_T003,right_hand,2
-54.38121,5.593484,12,2,1,0train,0,3,3,S01_0train_T003,right_hand,3
-46.270206,4.0635877,13,2,1,0train,0,3,3,S01_0train_T003,right_hand,4
-39.980824,8.974886,14,2,1,0train,0,3,3,S01_0train_T003,right_hand,5
22.795965,-7.580852,15,3,1,0train,0,4,4,S01_0train_T004,left_hand,1
1.8213358,-27.817572,16,3,1,0train,0,4,4,S01_0train_T004,left_hand,2
21.334244,-33.59443,17,3,1,0train,0,4,4,S01_0train_T004,left_hand,3
-9.470698,-28.179758,18,3,1,0train,0,4,4,S01_0train_T004,left_hand,4
-56.93766,6.6062446,19,3,1,0train,0,4,4,S01_0train_T004,left_hand,5
19.82657,-21.357866,20,4,1,0train,0,5,5,S01_0train_T005,left_hand,1
-40.925117,-23.97061,21,4,1,0train,0,5,5,S01_0train_T005,left_hand,2
-9.614366,-25.726671,22,4,1,0train,0,5,5,S01_0train_T005,left_hand,3
-40.30081,-24.830141,23,4,1,0train,0,5,5,S01_0train_T005,left_hand,4
-40.6359,-25.360508,24,4,1,0train,0,5,5,S01_0train_T005,left_hand,5
2.8520253,-9.807294,25,5,1,0train,0,6,6,S01_0train_T006,right_hand,1
-58.0277,7.3116145,26,5,1,0train,0,6,6,S01_0train_T006,right_hand,2
11.386763,16.950356,27,5,1,0train,0,6,6,S01_0train_T006,right_hand,3
-5.1063585,8.455963,28,5,1,0train,0,6,6,S01_0train_T006,right_hand,4
-61.698868,2.2548106,29,5,1,0train,0,6,6,S01_0train_T006,right_hand,5
36.566128,-26.361404,30,6,1,0train,0,7,7,S01_0train_T007,feet,1
-2.8603501,-11.071045,31,6,1,0train,0,7,7,S01_0train_T007,feet,2
-16.742193,-24.090645,32,6,1,0train,0,7,7,S01_0train_T007,feet,3
-7.815024,-12.905949,33,6,1,0train,0,7,7,S01_0train_T007,feet,4
13.644265,-20.486591,34,6,1,0train,0,7,7,S01_0train_T007,feet,5
-3.5122502,-2.9627473,35,7,1,0train,0,8,8,S01_0train_T008,tongue,1
6.537851,-9.171552,36,7,1,0train,0,8,8,S01_0train_T008,tongue,2
44.83192,-4.0572724,37,7,1,0train,0,8,8,S01_0train_T008,tongue,3
-22.316933,-25.388098,38,7,1,0train,0,8,8,S01_0train_T008,tongue,4
-37.141808,-19.75494,39,7,1,0train,0,8,8,S01_0train_T008,tongue,5
-0.41739267,-13.1988,40,8,1,0train,0,9,9,S01_0train_T009,right_hand,1
-21.100296,13.836338,41,8,1,0train,0,9,9,S01_0train_T009,right_hand,2
-19.096004,17.146242,42,8,1,0train,0,9,9,S01_0train_T009,right_hand,3
-55.00796,2.767269,43,8,1,0train,0,9,9,S01_0train_T009,right_hand,4
1.8486638,-11.619429,44,8,1,0train,0,9,9,S01_0train_T009,right_hand,5
13.468278,-17.480536,45,9,1,0train,0,10,10,S01_0train_T010,feet,1
-0.40680963,-20.396097,46,9,1,0train,0,10,10,S01_0train_T010,feet,2
-19.727732,-22.713186,47,9,1,0train,0,10,10,S01_0train_T010,feet,3
-4.6263638,-6.413761,48,9,1,0train,0,10,10,S01_0train_T010,feet,4
-17.24293,-23.374619,49,9,1,0train,0,10,10,S01_0train_T010,feet,5
26.255482,-32.071102,50,10,1,0train,0,11,11,S01_0train_T011,left_hand,1
22.671474,-32.9928,51,10,1,0train,0,11,11,S01_0train_T011,left_hand,2
19.499054,-29.782413,52,10,1,0train,0,11,11,S01_0train_T011,left_hand,3
24.2996,17.404593,53,10,1,0train,0,11,11,S01_0train_T011,left_hand,4
-1.4230996,-8.369027,54,10,1,0train,0,11,11,S01_0train_T011,left_hand,5
-1.6466876,24.982656,55,11,1,0train,0,12,12,S01_0train_T012,left_hand,1
-6.4701614,33.363434,56,11,1,0train,0,12,12,S01_0train_T012,left_hand,2
-57.25584,16.657248,57,11,1,0train,0,12,12,S01_0train_T012,left_hand,3
-37.067158,0.35442373,58,11,1,0train,0,12,12,S01_0train_T012,left_hand,4
-61.86974,1.262576,59,11,1,0train,0,12,12,S01_0train_T012,left_hand,5
14.669009,-1.6293955,60,12,1,0train,0,13,13,S01_0train_T013,left_hand,1
1.6096897,-28.135477,61,12,1,0train,0,13,13,S01_0train_T013,left_hand,2
-3.5801623,3.7541387,62,12,1,0train,0,13,13,S01_0train_T013,left_hand,3
2.075405,25.084806,63,12,1,0train,0,13,13,S01_0train_T013,left_hand,4
-34.043922,10.352334,64,12,1,0train,0,13,13,S01_0train_T013,left_hand,5
-19.809742,-26.357397,65,13,1,0train,0,14,14,S01_0train_T014,tongue,1
-27.06717,-11.277433,66,13,1,0train,0,14,14,S01_0train_T014,tongue,2
72.10916,5.8940845,67,13,1,0train,0,14,14,S01_0train_T014,tongue,3
37.607628,-20.60274,68,13,1,0train,0,14,14,S01_0train_T014,tongue,4
33.019268,-15.214128,69,13,1,0train,0,14,14,S01_0train_T014,tongue,5
-11.425723,12.426841,70,14,1,0train,0,15,15,S01_0train_T015,right_hand,1
-42.242046,12.691897,71,14,1,0train,0,15,15,S01_0train_T015,right_hand,2
-55.464165,7.00936,72,14,1,0train,0,15,15,S01_0train_T015,right_hand,3
-11.828101,12.735026,73,14,1,0train,0,15,15,S01_0train_T015,right_hand,4
-22.704758,-1.3012081,74,14,1,0train,0,15,15,S01_0train_T015,right_hand,5
-2.2368886,-10.529847,75,15,1,0train,0,16,16,S01_0train_T016,right_hand,1
-13.007853,14.614076,76,15,1,0train,0,16,16,S01_0train_T016,right_hand,2
-23.85692,20.909086,77,15,1,0train,0,16,16,S01_0train_T016,right_hand,3
-54.899715,-7.9832478,78,15,1,0train,0,16,16,S01_0train_T016,right_hand,4
-34.151184,11.108461,79,15,1,0train,0,16,16,S01_0train_T016,right_hand,5
-27.309956,7.6984506,80,16,1,0train,0,17,17,S01_0train_T017,left_hand,1
-38.74352,17.074879,81,16,1,0train,0,17,17,S01_0train_T017,left_hand,2
-26.609097,8.301288,82,16,1,0train,0,17,17,S01_0train_T017,left_hand,3
-18.764557,8.713012,83,16,1,0train,0,17,17,S01_0train_T017,left_hand,4
-54.795937,7.364003,84,16,1,0train,0,17,17,S01_0train_T017,left_hand,5
-32.929714,0.21214947,85,17,1,0train,0,18,18,S01_0train_T018,left_hand,1
20.930283,6.128027,86,17,1,0train,0,18,18,S01_0train_T018,left_hand,2
-25.022575,7.8583627,87,17,1,0train,0,18,18,S01_0train_T018,left_hand,3
-27.512653,11.259612,88,17,1,0train,0,18,18,S01_0train_T018,left_hand,4
-28.65752,-7.687133,89,17,1,0train,0,18,18,S01_0train_T018,left_hand,5
-8.451985,-8.008756,90,18,1,0train,0,19,19,S01_0train_T019,feet,1
25.213556,2.0879512,91,18,1,0train,0,19,19,S01_0train_T019,feet,2
32.21697,-31.805197,92,18,1,0train,0,19,19,S01_0train_T019,feet,3
38.651497,-8.460259,93,18,1,0train,0,19,19,S01_0train_T019,feet,4
-17.130955,35.835327,94,18,1,0train,0,19,19,S01_0train_T019,feet,5
18.216707,-25.014448,95,19,1,0train,0,20,20,S01_0train_T020,left_hand,1
9.247413,6.411833,96,19,1,0train,0,20,20,S01_0train_T020,left_hand,2
-25.73975,-0.50398684,97,19,1,0train,0,20,20,S01_0train_T020,left_hand,3
-29.120714,2.769854,98,19,1,0train,0,20,20,S01_0train_T020,left_hand,4
-4.5606856,8.9168215,99,19,1,0train,0,20,20,S01_0train_T020,left_hand,5
-8.26812,-5.83927,100,20,1,0train,0,21,21,S01_0train_T021,right_hand,1
-40.311768,7.424338,101,20,1,0train,0,21,21,S01_0train_T021,right_hand,2
44.566612,1.5340393,102,20,1,0train,0,21,21,S01_0train_T021,right_hand,3
24.612398,8.2224245,103,20,1,0train,0,21,21,S01_0train_T021,right_hand,4
47.620728,-0.9664511,104,20,1,0train,0,21,21,S01_0train_T021,right_hand,5
-28.853546,13.186635,105,21,1,0train,0,22,22,S01_0train_T022,tongue,1
-24.423145,-8.313544,106,21,1,0train,0,22,22,S01_0train_T022,tongue,2
27.943613,6.3638864,107,21,1,0train,0,22,22,S01_0train_T022,tongue,3
58.45775,1.5742548,108,21,1,0train,0,22,22,S01_0train_T022,tongue,4
-0.3365403,-23.919508,109,21,1,0train,0,22,22,S01_0train_T022,tongue,5
47.29293,-12.603666,110,22,1,0train,0,23,23,S01_0train_T023,tongue,1
23.90059,-29.6976,111,22,1,0train,0,23,23,S01_0train_T023,tongue,2
-8.591966,-25.632051,112,22,1,0train,0,23,23,S01_0train_T023,tongue,3
27.882229,-29.808113,113,22,1,0train,0,23,23,S01_0train_T023,tongue,4
36.63703,-4.177113,114,22,1,0train,0,23,23,S01_0train_T023,tongue,5
-22.716635,-1.0825188,115,23,1,0train,0,24,24,S01_0train_T024,feet,1
-22.514776,12.251797,116,23,1,0train,0,24,24,S01_0train_T024,feet,2
-23.124178,21.004587,117,23,1,0train,0,24,24,S01_0train_T024,feet,3
-26.08585,-2.380235,118,23,1,0train,0,24,24,S01_0train_T024,feet,4
7.8012204,-1.7082385,119,23,1,0train,0,24,24,S01_0train_T024,feet,5
42.62525,16.090563,120,24,1,0train,0,25,25,S01_0train_T025,left_hand,1
-51.196186,12.030723,121,24,1,0train,0,25,25,S01_0train_T025,left_hand,2
-66.56378,5.8539557,122,24,1,0train,0,25,25,S01_0train_T025,left_hand,3
-55.209675,9.058242,123,24,1,0train,0,25,25,S01_0train_T025,left_hand,4
-40.339394,12.951242,124,24,1,0train,0,25,25,S01_0train_T025,left_hand,5
-26.153536,-30.868822,125,25,1,0train,0,26,26,S01_0train_T026,tongue,1
37.68894,-20.595938,126,25,1,0train,0,26,26,S01_0train_T026,tongue,2
-21.653929,-25.791904,127,25,1,0train,0,26,26,S01_0train_T026,tongue,3
10.49451,-29.561348,128,25,1,0train,0,26,26,S01_0train_T026,tongue,4
-0.1833484,-18.363482,129,25,1,0train,0,26,26,S01_0train_T026,tongue,5
20.440485,-14.269477,130,26,1,0train,0,27,27,S01_0train_T027,tongue,1
63.93317,-8.928722,131,26,1,0train,0,27,27,S01_0train_T027,tongue,2
-14.055515,-21.40183,132,26,1,0train,0,27,27,S01_0train_T027,tongue,3
-41.36693,2.2855985,133,26,1,0train,0,27,27,S01_0train_T027,tongue,4
-29.797478,-3.895946,134,26,1,0train,0,27,27,S01_0train_T027,tongue,5
-39.705162,12.137209,135,27,1,0train,0,28,28,S01_0train_T028,right_hand,1
-46.294178,4.0710335,136,27,1,0train,0,28,28,S01_0train_T028,right_hand,2
20.798437,-5.5645924,137,27,1,0train,0,28,28,S01_0train_T028,right_hand,3
-23.025301,21.198866,138,27,1,0train,0,28,28,S01_0train_T028,right_hand,4
-12.085691,12.696104,139,27,1,0train,0,28,28,S01_0train_T028,right_hand,5
22.228327,-27.49428,140,28,1,0train,0,29,29,S01_0train_T029,tongue,1
44.866734,-9.278752,141,28,1,0train,0,29,29,S01_0train_T029,tongue,2
64.06814,-7.744318,142,28,1,0train,0,29,29,S01_0train_T029,tongue,3
33.415524,-20.01235,143,28,1,0train,0,29,29,S01_0train_T029,tongue,4
31.96915,4.403172,144,28,1,0train,0,29,29,S01_0train_T029,tongue,5
19.94005,-30.767122,145,29,1,0train,0,30,30,S01_0train_T030,tongue,1
1.337372,-28.38919,146,29,1,0train,0,30,30,S01_0train_T030,tongue,2
-0.07586504,-29.758253,147,29,1,0train,0,30,30,S01_0train_T030,tongue,3
18.76365,-25.669132,148,29,1,0train,0,30,30,S01_0train_T030,tongue,4
-13.950887,-21.127234,149,29,1,0train,0,30,30,S01_0train_T030,tongue,5
-51.436665,12.304314,150,30,1,0train,0,31,31,S01_0train_T031,right_hand,1
-48.23656,10.629398,151,30,1,0train,0,31,31,S01_0train_T031,right_hand,2
-22.044342,24.271772,152,30,1,0train,0,31,31,S01_0train_T031,right_hand,3
-50.674355,6.112981,153,30,1,0train,0,31,31,S01_0train_T031,right_hand,4
-52.85284,11.104052,154,30,1,0train,0,31,31,S01_0train_T031,right_hand,5
13.458494,37.249275,155,31,1,0train,0,32,32,S01_0train_T032,left_hand,1
-50.666096,6.282849,156,31,1,0train,0,32,32,S01_0train_T032,left_hand,2
-52.357025,11.020555,157,31,1,0train,0,32,32,S01_0train_T032,left_hand,3
-66.88432,4.7480135,158,31,1,0train,0,32,32,S01_0train_T032,left_hand,4
-56.1988,7.7381725,159,31,1,0train,0,32,32,S01_0train_T032,left_hand,5
-24.804398,-5.4331703,160,32,1,0train,0,33,33,S01_0train_T033,right_hand,1
-25.530577,17.433117,161,32,1,0train,0,33,33,S01_0train_T033,right_hand,2
-56.919373,8.22575,162,32,1,0train,0,33,33,S01_0train_T033,right_hand,3
-16.143894,13.838744,163,32,1,0train,0,33,33,S01_0train_T033,right_hand,4
-51.099617,11.3249445,164,32,1,0train,0,33,33,S01_0train_T033,right_hand,5
26.409618,-24.044922,165,33,1,0train,0,34,34,S01_0train_T034,feet,1
23.727343,-29.552677,166,33,1,0train,0,34,34,S01_0train_T034,feet,2
-2.4330907,-1.4785453,167,33,1,0train,0,34,34,S01_0train_T034,feet,3
-17.44269,-19.695477,168,33,1,0train,0,34,34,S01_0train_T034,feet,4
26.456877,-27.847395,169,33,1,0train,0,34,34,S01_0train_T034,feet,5
-57.289917,6.699725,170,34,1,0train,0,35,35,S01_0train_T035,feet,1
-47.442158,2.671886,171,34,1,0train,0,35,35,S01_0train_T035,feet,2
-15.610202,16.38973,172,34,1,0train,0,35,35,S01_0train_T035,feet,3
-22.773436,16.20022,173,34,1,0train,0,35,35,S01_0train_T035,feet,4
42.25575,-4.435242,174,34,1,0train,0,35,35,S01_0train_T035,feet,5
-32.14667,-14.747672,175,35,1,0train,0,36,36,S01_0train_T036,feet,1
19.583435,-28.105276,176,35,1,0train,0,36,36,S01_0train_T036,feet,2
52.87725,-7.1166177,177,35,1,0train,0,36,36,S01_0train_T036,feet,3
-1.1292773,-32.113667,178,35,1,0train,0,36,36,S01_0train_T036,feet,4
1.4965674,-4.299803,179,35,1,0train,0,36,36,S01_0train_T036,feet,5
46.406876,-24.460468,180,36,1,0train,0,37,37,S01_0train_T037,tongue,1
55.572517,-16.08723,181,36,1,0train,0,37,37,S01_0train_T037,tongue,2
36.648933,-26.39905,182,36,1,0train,0,37,37,S01_0train_T037,tongue,3
36.59512,-26.53381,183,36,1,0train,0,37,37,S01_0train_T037,tongue,4
18.95649,-32.474598,184,36,1,0train,0,37,37,S01_0train_T037,tongue,5
11.845148,14.835346,185,37,1,0train,0,38,38,S01_0train_T038,feet,1
4.0640993,17.016426,186,37,1,0train,0,38,38,S01_0train_T038,feet,2
-56.90896,2.1014762,187,37,1,0train,0,38,38,S01_0train_T038,feet,3
-35.9001,-9.419698,188,37,1,0train,0,38,38,S01_0train_T038,feet,4
-11.733688,0.6486293,189,37,1,0train,0,38,38,S01_0train_T038,feet,5
-47.65259,1.2052395,190,38,1,0train,0,39,39,S01_0train_T039,left_hand,1
-17.507841,21.164824,191,38,1,0train,0,39,39,S01_0train_T039,left_hand,2
-65.33015,5.2143464,192,38,1,0train,0,39,39,S01_0train_T039,left_hand,3
-47.59586,14.046951,193,38,1,0train,0,39,39,S01_0train_T039,left_hand,4
49.107746,16.857117,194,38,1,0train,0,39,39,S01_0train_T039,left_hand,5
8.42862,-8.129524,195,39,1,0train,0,40,40,S01_0train_T040,tongue,1
10.732015,-15.496108,196,39,1,0train,0,40,40,S01_0train_T040,tongue,2
25.805368,-27.2519,197,39,1,0train,0,40,40,S01_0train_T040,tongue,3
43.5562,12.095104,198,39,1,0train,0,40,40,S01_0train_T040,tongue,4
26.005276,-25.935286,199,39,1,0train,0,40,40,S01_0train_T040,tongue,5
43.8951,18.089264,200,40,1,0train,0,41,41,S01_0train_T041,right_hand,1
-18.377117,-7.656989,201,40,1,0train,0,41,41,S01_0train_T041,right_hand,2
-18.732573,14.527736,202,40,1,0train,0,41,41,S01_0train_T041,right_hand,3
-38.91028,8.822199,203,40,1,0train,0,41,41,S01_0train_T041,right_hand,4
-10.295655,2.6883051,204,40,1,0train,0,41,41,S01_0train_T041,right_hand,5
27.76025,-29.980827,205,41,1,0train,0,42,42,S01_0train_T042,feet,1
17.814802,-26.157694,206,41,1,0train,0,42,42,S01_0train_T042,feet,2
-10.190317,-15.871451,207,41,1,0train,0,42,42,S01_0train_T042,feet,3
23.250189,-2.9604182,208,41,1,0train,0,42,42,S01_0train_T042,feet,4
-12.805327,1.061922,209,41,1,0train,0,42,42,S01_0train_T042,feet,5
-49.718357,7.0875473,210,42,1,0train,0,43,43,S01_0train_T043,right_hand,1
-56.666176,2.698833,211,42,1,0train,0,43,43,S01_0train_T043,right_hand,2
-49.18129,16.462626,212,42,1,0train,0,43,43,S01_0train_T043,right_hand,3
-46.920444,9.941781,213,42,1,0train,0,43,43,S01_0train_T043,right_hand,4
-46.85499,15.07762,214,42,1,0train,0,43,43,S01_0train_T043,right_hand,5
-46.950455,-2.8245854,215,43,1,0train,0,44,44,S01_0train_T044,feet,1
6.4241757,-9.180655,216,43,1,0train,0,44,44,S01_0train_T044,feet,2
19.357626,-24.880955,217,43,1,0train,0,44,44,S01_0train_T044,feet,3
6.98006,-15.588122,218,43,1,0train,0,44,44,S01_0train_T044,feet,4
42.662437,-25.239704,219,43,1,0train,0,44,44,S01_0train_T044,feet,5
43.44689,-10.742862,220,44,1,0train,0,45,45,S01_0train_T045,tongue,1
60.89043,-12.663547,221,44,1,0train,0,45,45,S01_0train_T045,tongue,2
33.079536,-13.654685,222,44,1,0train,0,45,45,S01_0train_T045,tongue,3
-14.023157,-10.557547,223,44,1,0train,0,45,45,S01_0train_T045,tongue,4
30.990108,-24.557226,224,44,1,0train,0,45,45,S01_0train_T045,tongue,5
28.734507,-8.812851,225,45,1,0train,0,46,46,S01_0train_T046,right_hand,1
-22.399488,22.97889,226,45,1,0train,0,46,46,S01_0train_T046,right_hand,2
-56.645916,2.0774128,227,45,1,0train,0,46,46,S01_0train_T046,right_hand,3
-28.21602,-5.6035323,228,45,1,0train,0,46,46,S01_0train_T046,right_hand,4
-5.049449,0.91855675,229,45,1,0train,0,46,46,S01_0train_T046,right_hand,5
10.5718,2.001644,230,46,1,0train,0,47,47,S01_0train_T047,feet,1
-17.73427,-23.243393,231,46,1,0train,0,47,47,S01_0train_T047,feet,2
-35.08893,-18.183577,232,46,1,0train,0,47,47,S01_0train_T047,feet,3
-17.239439,-15.602108,233,46,1,0train,0,47,47,S01_0train_T047,feet,4
-16.711882,13.920514,234,46,1,0train,0,47,47,S01_0train_T047,feet,5
-21.608992,-0.41752172,235,47,1,0train,0,48,48,S01_0train_T048,left_hand,1
-14.89079,17.384699,236,47,1,0train,0,48,48,S01_0train_T048,left_hand,2
-27.751205,21.392286,237,47,1,0train,0,48,48,S01_0train_T048,left_hand,3
17.205153,16.80931,238,47,1,0train,0,48,48,S01_0train_T048,left_hand,4
30.463655,-8.4373,239,47,1,0train,0,48,48,S01_0train_T048,left_hand,5
-3.9486587,-20.559097,240,48,1,0train,1,49,1,S01_0train_T049,left_hand,1
-42.469646,8.176416,241,48,1,0train,1,49,1,S01_0train_T049,left_hand,2
-57.00557,8.628796,242,48,1,0train,1,49,1,S01_0train_T049,left_hand,3
-48.131927,14.093999,243,48,1,0train,1,49,1,S01_0train_T049,left_hand,4
-17.886177,14.366042,244,48,1,0train,1,49,1,S01_0train_T049,left_hand,5
-25.57623,12.179637,245,49,1,0train,1,50,2,S01_0train_T050,left_hand,1
-22.5376,19.93433,246,49,1,0train,1,50,2,S01_0train_T050,left_hand,2
3.65044,20.542215,247,49,1,0train,1,50,2,S01_0train_T050,left_hand,3
-52.860794,9.763472,248,49,1,0train,1,50,2,S01_0train_T050,left_hand,4
-11.076418,-26.515528,249,49,1,0train,1,50,2,S01_0train_T050,left_hand,5
44.402584,-22.121622,250,50,1,0train,1,51,3,S01_0train_T051,tongue,1
35.042095,-17.75064,251,50,1,0train,1,51,3,S01_0train_T051,tongue,2
4.801238,-19.812178,252,50,1,0train,1,51,3,S01_0train_T051,tongue,3
24.607893,-26.70715,253,50,1,0train,1,51,3,S01_0train_T051,tongue,4
-6.9700193,-23.184017,254,50,1,0train,1,51,3,S01_0train_T051,tongue,5
-56.478817,2.2510426,255,51,1,0train,1,52,4,S01_0train_T052,right_hand,1
-2.514644,21.696724,256,51,1,0train,1,52,4,S01_0train_T052,right_hand,2
-48.32966,12.741079,257,51,1,0train,1,52,4,S01_0train_T052,right_hand,3
-55.90882,6.3492336,258,51,1,0train,1,52,4,S01_0train_T052,right_hand,4
-38.02793,-12.621508,259,51,1,0train,1,52,4,S01_0train_T052,right_hand,5
-28.926968,3.2227342,260,52,1,0train,1,53,5,S01_0train_T053,left_hand,1
-2.1745024,18.60061,261,52,1,0train,1,53,5,S01_0train_T053,left_hand,2
52.76715,17.87844,262,52,1,0train,1,53,5,S01_0train_T053,left_hand,3
-46.9504,13.826908,263,52,1,0train,1,53,5,S01_0train_T053,left_hand,4
-42.476074,3.6652572,264,52,1,0train,1,53,5,S01_0train_T053,left_hand,5
-46.139717,8.524624,265,53,1,0train,1,54,6,S01_0train_T054,feet,1
13.125457,22.778305,266,53,1,0train,1,54,6,S01_0train_T054,feet,2
24.753347,-26.574986,267,53,1,0train,1,54,6,S01_0train_T054,feet,3
19.961258,-25.687138,268,53,1,0train,1,54,6,S01_0train_T054,feet,4
23.448957,-3.7683406,269,53,1,0train,1,54,6,S01_0train_T054,feet,5
19.511656,-9.387529,270,54,1,0train,1,55,7,S01_0train_T055,left_hand,1
-49.11364,14.482387,271,54,1,0train,1,55,7,S01_0train_T055,left_hand,2
-61.3114,-13.7590475,272,54,1,0train,1,55,7,S01_0train_T055,left_hand,3
-57.63142,12.165643,273,54,1,0train,1,55,7,S01_0train_T055,left_hand,4
-47.12623,16.194681,274,54,1,0train,1,55,7,S01_0train_T055,left_hand,5
-15.055494,-7.594047,275,55,1,0train,1,56,8,S01_0train_T056,feet,1
44.510788,17.218725,276,55,1,0train,1,56,8,S01_0train_T056,feet,2
44.2803,-22.819536,277,55,1,0train,1,56,8,S01_0train_T056,feet,3
-13.2133465,5.2715154,278,55,1,0train,1,56,8,S01_0train_T056,feet,4
-34.222816,-5.888277,279,55,1,0train,1,56,8,S01_0train_T056,feet,5
10.217773,20.660486,280,56,1,0train,1,57,9,S01_0train_T057,right_hand,1
-48.546577,13.602551,281,56,1,0train,1,57,9,S01_0train_T057,right_hand,2
-33.071976,20.362318,282,56,1,0train,1,57,9,S01_0train_T057,right_hand,3
-19.87372,18.59844,283,56,1,0train,1,57,9,S01_0train_T057,right_hand,4
-26.38035,22.194702,284,56,1,0train,1,57,9,S01_0train_T057,right_hand,5
