class,subject_row,subject_column,value,off_diagonal,profile
left_hand,1,1,0.21234053268760822,False,raw
left_hand,1,2,1.144305396663646,True,raw
left_hand,1,3,0.35916930059852176,True,raw
left_hand,1,4,0.5642760413757069,True,raw
left_hand,1,5,0.25754531352699556,True,raw
left_hand,1,6,0.35559405093728097,True,raw
left_hand,1,7,0.27300256214878693,True,raw
left_hand,1,8,0.41063192025743467,True,raw
left_hand,1,9,0.9040268469345203,True,raw
left_hand,2,1,1.144305396663646,True,raw
left_hand,2,2,0.19881457831293944,False,raw
left_hand,2,3,0.9110939353538693,True,raw
left_hand,2,4,0.5390541863709608,True,raw
left_hand,2,5,0.6749298330256077,True,raw
left_hand,2,6,0.6869640846048288,True,raw
left_hand,2,7,1.0394871682776308,True,raw
left_hand,2,8,1.6386439490784583,True,raw
left_hand,2,9,5.483003772878585,True,raw
left_hand,3,1,0.35916930059852176,True,raw
left_hand,3,2,0.9110939353538693,True,raw
left_hand,3,3,0.20756697686586842,False,raw
left_hand,3,4,0.45997818226331855,True,raw
left_hand,3,5,0.22487838001546823,True,raw
left_hand,3,6,0.3122156051219087,True,raw
left_hand,3,7,0.31589735871794633,True,raw
left_hand,3,8,0.5026403083626486,True,raw
left_hand,3,9,1.6761192892936465,True,raw
left_hand,4,1,0.5642760413757069,True,raw
left_hand,4,2,0.5390541863709608,True,raw
left_hand,4,3,0.45997818226331855,True,raw
left_hand,4,4,0.5450316145448901,False,raw
left_hand,4,5,0.30361839892188264,True,raw
left_hand,4,6,0.3658388221990665,True,raw
left_hand,4,7,0.5146752116026532,True,raw
left_hand,4,8,0.6572694112280795,True,raw
left_hand,4,9,2.818953788386137,True,raw
left_hand,5,1,0.25754531352699556,True,raw
left_hand,5,2,0.6749298330256077,True,raw
left_hand,5,3,0.22487838001546823,True,raw
left_hand,5,4,0.30361839892188264,True,raw
left_hand,5,5,0.1822898907703512,False,raw
left_hand,5,6,0.29649417002064604,True,raw
left_hand,5,7,0.2312458787934757,True,raw
left_hand,5,8,0.34427213585263716,True,raw
left_hand,5,9,0.9358632982649862,True,raw
left_hand,6,1,0.35559405093728097,True,raw
left_hand,6,2,0.6869640846048288,True,raw
left_hand,6,3,0.3122156051219087,True,raw
left_hand,6,4,0.3658388221990665,True,raw
left_hand,6,5,0.29649417002064604,True,raw
left_hand,6,6,0.35539222704097606,False,raw
left_hand,6,7,0.32563763193916295,True,raw
left_hand,6,8,0.6136144407292239,True,raw
left_hand,6,9,1.4683810286901124,True,raw
left_hand,7,1,0.27300256214878693,True,raw
left_hand,7,2,1.0394871682776308,True,raw
left_hand,7,3,0.31589735871794633,True,raw
left_hand,7,4,0.5146752116026532,True,raw
left_hand,7,5,0.2312458787934757,True,raw
left_hand,7,6,0.32563763193916295,True,raw
left_hand,7,7,0.2933591035216309,False,raw
left_hand,7,8,0.4674812374905306,True,raw
left_hand,7,9,1.444683296541123,True,raw
left_hand,8,1,0.41063192025743467,True,raw
left_hand,8,2,1.6386439490784583,True,raw
left_hand,8,3,0.5026403083626486,True,raw
left_hand,8,4,0.6572694112280795,True,raw
left_hand,8,5,0.34427213585263716,True,raw
left_hand,8,6,0.6136144407292239,True,raw
left_hand,8,7,0.4674812374905306,True,raw
left_hand,8,8,0.5216673373454997,False,raw
left_hand,8,9,1.0276051365836079,True,raw
left_hand,9,1,0.9040268469345203,True,raw
left_hand,9,2,5.483003772878585,True,raw
left_hand,9,3,1.6761192892936465,True,raw
left_hand,9,4,2.818953788386137,True,raw
left_hand,9,5,0.9358632982649862,True,raw
left_hand,9,6,1.4683810286901124,True,raw
left_hand,9,7,1.444683296541123,True,raw
left_hand,9,8,1.0276051365836079,True,raw
left_hand,9,9,0.6527890588649328,False,raw
right_hand,1,1,0.21626828546240903,False,raw
right_hand,1,2,1.4039238322861658,True,raw
right_hand,1,3,0.3656031381974671,True,raw
right_hand,1,4,0.8799517724893474,True,raw
right_hand,1,5,0.29541380935992945,True,raw
right_hand,1,6,0.41238855634799865,True,raw
right_hand,1,7,0.30415241875510335,True,raw
right_hand,1,8,0.3071200142236762,True,raw
right_hand,1,9,0.46502962140535153,True,raw
right_hand,2,1,1.4039238322861658,True,raw
right_hand,2,2,0.25342516964575157,False,raw
right_hand,2,3,1.1342069891327238,True,raw
right_hand,2,4,0.4456666620479971,True,raw
right_hand,2,5,0.5409573894751714,True,raw
right_hand,2,6,0.700446633198111,True,raw
right_hand,2,7,1.140892387818937,True,raw
right_hand,2,8,1.2397856865378594,True,raw
right_hand,2,9,0.944301642552955,True,raw
right_hand,3,1,0.3656031381974671,True,raw
right_hand,3,2,1.1342069891327238,True,raw
right_hand,3,3,0.24831873117406286,False,raw
right_hand,3,4,0.6412279846415541,True,raw
right_hand,3,5,0.3707538900570078,True,raw
right_hand,3,6,0.3776327479885067,True,raw
right_hand,3,7,0.36015641837812906,True,raw
right_hand,3,8,0.4056978817138781,True,raw
right_hand,3,9,0.5188886853804157,True,raw
right_hand,4,1,0.8799517724893474,True,raw
right_hand,4,2,0.4456666620479971,True,raw
right_hand,4,3,0.6412279846415541,True,raw
right_hand,4,4,0.3661732073018663,False,raw
right_hand,4,5,0.41821835632279863,True,raw
right_hand,4,6,0.5356559491880026,True,raw
right_hand,4,7,0.6983802871589952,True,raw
right_hand,4,8,0.8455527685243165,True,raw
right_hand,4,9,0.6725826967019495,True,raw
right_hand,5,1,0.29541380935992945,True,raw
right_hand,5,2,0.5409573894751714,True,raw
right_hand,5,3,0.3707538900570078,True,raw
right_hand,5,4,0.41821835632279863,True,raw
right_hand,5,5,0.3191259587396799,False,raw
right_hand,5,6,0.3420718818602478,True,raw
right_hand,5,7,0.38396837241709625,True,raw
right_hand,5,8,0.3943116139818953,True,raw
right_hand,5,9,0.5134693087479423,True,raw
right_hand,6,1,0.41238855634799865,True,raw
right_hand,6,2,0.700446633198111,True,raw
right_hand,6,3,0.3776327479885067,True,raw
right_hand,6,4,0.5356559491880026,True,raw
right_hand,6,5,0.3420718818602478,True,raw
right_hand,6,6,0.3406970636060349,False,raw
right_hand,6,7,0.42655048498282977,True,raw
right_hand,6,8,0.5139815604361668,True,raw
right_hand,6,9,0.5387251496351783,True,raw
right_hand,7,1,0.30415241875510335,True,raw
right_hand,7,2,1.140892387818937,True,raw
right_hand,7,3,0.36015641837812906,True,raw
right_hand,7,4,0.6983802871589952,True,raw
right_hand,7,5,0.38396837241709625,True,raw
right_hand,7,6,0.42655048498282977,True,raw
right_hand,7,7,0.34720896241163435,False,raw
right_hand,7,8,0.4541863863634016,True,raw
right_hand,7,9,0.5059356742285083,True,raw
right_hand,8,1,0.3071200142236762,True,raw
right_hand,8,2,1.2397856865378594,True,raw
right_hand,8,3,0.4056978817138781,True,raw
right_hand,8,4,0.8455527685243165,True,raw
right_hand,8,5,0.3943116139818953,True,raw
right_hand,8,6,0.5139815604361668,True,raw
right_hand,8,7,0.4541863863634016,True,raw
right_hand,8,8,0.29885618679337506,False,raw
right_hand,8,9,0.5703409049215771,True,raw
right_hand,9,1,0.46502962140535153,True,raw
right_hand,9,2,0.944301642552955,True,raw
right_hand,9,3,0.5188886853804157,True,raw
right_hand,9,4,0.6725826967019495,True,raw
right_hand,9,5,0.5134693087479423,True,raw
right_hand,9,6,0.5387251496351783,True,raw
right_hand,9,7,0.5059356742285083,True,raw
right_hand,9,8,0.5703409049215771,True,raw
right_hand,9,9,0.7781925407358559,False,raw
feet,1,1,0.3376604254476029,False,raw
feet,1,2,0.36275124834618466,True,raw
feet,1,3,0.48056628398017104,True,raw
feet,1,4,0.30468382271632105,True,raw
feet,1,5,0.43686733106386844,True,raw
feet,1,6,0.5185121867147708,True,raw
feet,1,7,0.6638260545022361,True,raw
