domain,profile,first,second,pearson_correlation,centered_cosine_similarity,euclidean_distance
H_class_fixed_subject,raw,L,R,0.4331703994685423,0.43317039946854236,5.434170703536943
H_class_fixed_subject,raw,L,F,0.8740641813402257,0.8740641813402257,3.865607565656086
H_class_fixed_subject,raw,L,T,-0.02638169383534376,-0.026381693835343747,6.2055728157649455
H_class_fixed_subject,raw,R,F,0.29922628991683103,0.29922628991683103,2.6033937168447188
H_class_fixed_subject,raw,R,T,-0.21272753786113802,-0.21272753786113804,2.3211112871320343
H_class_fixed_subject,raw,F,T,0.0639570744571663,0.0639570744571663,2.8870269382095364
H_class_fixed_subject,adjusted,L,R,0.23978768461554076,0.2397876846155407,5.568847119367387
H_class_fixed_subject,adjusted,L,F,0.8631079838781527,0.8631079838781529,3.822211947491835
H_class_fixed_subject,adjusted,L,T,-0.07232103755007994,-0.07232103755007992,5.943492499749115
H_class_fixed_subject,adjusted,R,F,0.14477905646052136,0.14477905646052133,2.7732791382090545
H_class_fixed_subject,adjusted,R,T,-0.26863923114627136,-0.2686392311462713,2.336912184680049
H_class_fixed_subject,adjusted,F,T,-0.003851123289169501,-0.0038511232891695014,2.6581841964502937
