mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F1,18.0,"0,1,2,3",0,0.1700852397330174,57.7126537096593,"-1,1,-1,1","18,22,13,20"
zero,1,both,both,F1,18.0,"0,1,2,3",1,0.49762252891531267,48.13972708020735,"-1,1,-1,1","15,17,14,11"
zero,1,both,both,F1,18.0,"0,1,2,3",2,0.20839750788599132,56.38181971310502,"-1,1,-1,1","30,12,11,26"
zero,1,both,both,F1,18.0,"0,1,2,3",3,0.6906771621296831,26.764161924886672,"-1,1,-1,1","19,13,17,14"
zero,1,both,both,F1,18.0,"0,1,3,2",0,0.16443873348983445,48.852453765751335,"-1,1,-1,1","12,11,14,19"
zero,1,both,both,F1,18.0,"0,1,3,2",1,0.4847282760639163,39.59761962461466,"-1,1,-1,1","13,16,15,25"
zero,1,both,both,F1,18.0,"0,1,3,2",2,0.5010966082999614,35.98119158616346,"-1,1,-1,1","10,18,11,10"
zero,1,both,both,F1,18.0,"0,1,3,2",3,0.32310656231910745,38.514056403538575,"-1,1,-1,1","13,9,14,15"
zero,1,both,both,F1,18.0,"0,2,1,3",0,0.17102508144972728,59.98538760454501,"-1,1,-1,1","13,18,28,11"
zero,1,both,both,F1,18.0,"0,2,1,3",1,0.20003795401299798,60.314084318562266,"-1,1,-1,1","17,14,13,10"
zero,1,both,both,F1,18.0,"0,2,1,3",2,0.5352011972063452,46.60519520885334,"-1,1,-1,1","10,12,15,12"
zero,1,both,both,F1,18.0,"0,2,1,3",3,0.6809784983608285,29.481266148976616,"-1,1,-1,1","17,13,14,18"
zero,1,both,both,F1,18.0,"0,2,3,1",0,0.17348739840249836,58.31800990259593,"-1,1,-1,1","13,17,15,16"
zero,1,both,both,F1,18.0,"0,2,3,1",1,0.20606455442249322,58.95019183242579,"-1,1,-1,1","10,7,15,11"
zero,1,both,both,F1,18.0,"0,2,3,1",2,0.515594913169234,45.518152831646105,"-1,1,-1,1","14,15,18,22"
zero,1,both,both,F1,18.0,"0,2,3,1",3,0.7091332629037965,28.9833442766922,"-1,1,-1,1","16,20,13,12"
zero,1,both,both,F1,18.0,"0,3,1,2",0,0.16016967176415617,48.74446280686697,"-1,1,-1,1","14,21,12,9"
zero,1,both,both,F1,18.0,"0,3,1,2",1,0.43534367078948355,40.02712185940109,"-1,1,-1,1","9,13,22,17"
zero,1,both,both,F1,18.0,"0,3,1,2",2,0.5197825051874313,35.42612729896595,"-1,1,-1,1","18,21,16,10"
zero,1,both,both,F1,18.0,"0,3,1,2",3,0.33038376174433237,38.346702489904175,"-1,1,-1,1","18,12,15,12"
zero,1,both,both,F1,18.0,"0,3,2,1",0,0.17629316446732418,55.32088428554509,"-1,1,-1,1","11,11,22,13"
zero,1,both,both,F1,18.0,"0,3,2,1",1,0.44740110133594585,47.06096604081955,"-1,1,-1,1","17,13,16,12"
zero,1,both,both,F1,18.0,"0,3,2,1",2,0.20871514328274834,54.60604461369526,"-1,1,-1,1","33,10,11,13"
zero,1,both,both,F1,18.0,"0,3,2,1",3,0.7025047806783844,25.84364400759369,"-1,1,-1,1","17,24,11,11"
zero,1,both,both,F1,18.0,"1,0,2,3",0,0.6095580365479054,48.752703022517025,"-1,1,-1,1","12,16,15,26"
zero,1,both,both,F1,18.0,"1,0,2,3",1,0.2606933685303362,68.09007537916821,"-1,1,-1,1","15,9,9,13"
zero,1,both,both,F1,18.0,"1,0,2,3",2,0.23034346231749667,67.38829044681322,"-1,1,-1,1","16,14,11,15"
zero,1,both,both,F1,18.0,"1,0,2,3",3,0.6857029618289402,38.43292386855993,"-1,1,-1,1","13,10,23,18"
zero,1,both,both,F1,18.0,"1,0,3,2",0,0.6212019476748708,40.92944755354499,"-1,1,-1,1","12,25,11,15"
zero,1,both,both,F1,18.0,"1,0,3,2",1,0.26766647140694766,60.32915916018947,"-1,1,-1,1","14,15,20,20"
zero,1,both,both,F1,18.0,"1,0,3,2",2,0.508103077984301,48.62841905964375,"-1,1,-1,1","9,15,17,12"
zero,1,both,both,F1,18.0,"1,0,3,2",3,0.3454848367306825,50.20753848514494,"-1,1,-1,1","12,10,13,17"
zero,1,both,both,F1,18.0,"1,2,0,3",0,0.6052945599500562,46.286075894788404,"-1,1,-1,1","13,11,18,18"
zero,1,both,both,F1,18.0,"1,2,0,3",1,0.20718781951742657,66.63393845548771,"-1,1,-1,1","13,13,17,14"
zero,1,both,both,F1,18.0,"1,2,0,3",2,0.19594866011925302,66.64596986263777,"-1,1,-1,1","14,17,12,12"
zero,1,both,both,F1,18.0,"1,2,0,3",3,0.6809716213831031,35.934566396993255,"-1,1,-1,1","14,10,11,13"
zero,1,both,both,F1,18.0,"1,2,3,0",0,0.6143254939688737,31.149372709434342,"-1,1,-1,1","16,19,16,21"
