subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
1,STATIC,0,0.5086805555555556,0.5086805555555556,"0,3,1,2"
1,STATIC,1,0.5052083333333334,0.5052083333333334,"3,0,1,2"
1,STATIC,2,0.5069444444444444,0.5069444444444444,"2,0,1,3"
1,STATIC,3,0.5017361111111112,0.501736111111111,"3,1,0,2"
1,STATIC,4,0.5069444444444444,0.5069444444444444,"2,3,1,0"
1,STATIC,5,0.5052083333333334,0.5052083333333334,"3,1,0,2"
1,STATIC,6,0.5052083333333334,0.5052083333333334,"0,3,1,2"
1,STATIC,7,0.5052083333333334,0.5052083333333334,"3,0,1,2"
1,STATIC,8,0.5069444444444444,0.5069444444444444,"3,2,0,1"
1,STATIC,9,0.5052083333333334,0.5052083333333334,"3,0,1,2"
1,STATIC,10,0.5052083333333334,0.5052083333333334,"0,3,1,2"
1,STATIC,11,0.5,0.5,"1,0,2,3"
1,STATIC,12,0.5069444444444444,0.5069444444444444,"2,0,1,3"
1,STATIC,13,0.5052083333333334,0.5052083333333334,"2,1,0,3"
1,STATIC,14,0.5052083333333334,0.5052083333333334,"0,2,1,3"
1,STATIC,15,0.5052083333333334,0.5052083333333334,"0,1,2,3"
1,STATIC,16,0.5069444444444444,0.5069444444444444,"2,3,1,0"
1,STATIC,17,0.5052083333333334,0.5052083333333334,"3,2,0,1"
1,STATIC,18,0.5069444444444444,0.5069444444444444,"2,1,0,3"
1,STATIC,19,0.5,0.5,"0,3,2,1"
1,F1,0,0.4305555555555556,0.4305555555555556,"1,0,2,3"
1,F1,1,0.4357638888888889,0.4357638888888888,"2,1,3,0"
1,F1,2,0.4340277777777778,0.4340277777777778,"1,2,0,3"
1,F1,3,0.4322916666666667,0.4322916666666666,"3,1,2,0"
1,F1,4,0.4305555555555556,0.4305555555555556,"2,3,1,0"
1,F1,5,0.4288194444444444,0.4288194444444444,"3,2,0,1"
1,F1,6,0.4288194444444444,0.4288194444444444,"2,0,3,1"
1,F1,7,0.4288194444444444,0.4288194444444444,"0,1,3,2"
1,F1,8,0.4305555555555556,0.4305555555555556,"1,0,2,3"
1,F1,9,0.4288194444444444,0.4288194444444444,"3,2,0,1"
1,F1,10,0.4288194444444444,0.4288194444444444,"1,2,0,3"
1,F1,11,0.5017361111111112,0.5017361111111112,"2,0,3,1"
1,F1,12,0.4288194444444444,0.4288194444444444,"2,3,1,0"
1,F1,13,0.5034722222222222,0.5034722222222222,"1,2,0,3"
1,F1,14,0.4270833333333333,0.4270833333333333,"1,2,3,0"
1,F1,15,0.4288194444444444,0.4288194444444444,"3,1,2,0"
1,F1,16,0.4340277777777778,0.4340277777777778,"0,3,1,2"
1,F1,17,0.4305555555555556,0.4305555555555556,"3,0,2,1"
1,F1,18,0.4340277777777778,0.4340277777777778,"2,3,1,0"
1,F1,19,0.4357638888888889,0.43576388888888884,"2,0,3,1"
1,F2-S,0,0.328125,0.328125,"2,0,3,1"
1,F2-S,1,0.3298611111111111,0.3298611111111111,"3,1,2,0"
1,F2-S,2,0.328125,0.328125,"1,2,0,3"
1,F2-S,3,0.3298611111111111,0.32986111111111116,"2,3,1,0"
1,F2-S,4,0.3298611111111111,0.3298611111111111,"2,1,0,3"
1,F2-S,5,0.3298611111111111,0.3298611111111111,"1,3,0,2"
1,F2-S,6,0.3315972222222222,0.3315972222222222,"1,3,0,2"
1,F2-S,7,0.3298611111111111,0.3298611111111111,"2,3,1,0"
1,F2-S,8,0.3298611111111111,0.3298611111111111,"1,3,0,2"
1,F2-S,9,0.3298611111111111,0.32986111111111116,"3,2,0,1"
1,F2-S,10,0.3298611111111111,0.3298611111111111,"1,0,2,3"
1,F2-S,11,0.3298611111111111,0.3298611111111111,"0,3,2,1"
1,F2-S,12,0.3298611111111111,0.3298611111111111,"1,0,2,3"
1,F2-S,13,0.3298611111111111,0.3298611111111111,"0,2,1,3"
1,F2-S,14,0.3298611111111111,0.3298611111111111,"3,1,2,0"
1,F2-S,15,0.3298611111111111,0.3298611111111111,"0,2,3,1"
1,F2-S,16,0.3298611111111111,0.3298611111111111,"2,1,0,3"
1,F2-S,17,0.328125,0.328125,"3,0,1,2"
1,F2-S,18,0.3298611111111111,0.3298611111111111,"1,3,0,2"
1,F2-S,19,0.328125,0.328125,"2,3,0,1"
2,STATIC,0,0.24305555555555555,0.24305555555555555,"0,3,2,1"
2,STATIC,1,0.24305555555555555,0.24305555555555555,"0,2,1,3"
2,STATIC,2,0.24305555555555555,0.24305555555555555,"3,1,2,0"
2,STATIC,3,0.24305555555555555,0.24305555555555555,"2,0,3,1"
2,STATIC,4,0.24305555555555555,0.24305555555555555,"3,0,2,1"
2,STATIC,5,0.24305555555555555,0.24305555555555555,"1,0,3,2"
2,STATIC,6,0.24305555555555555,0.24305555555555555,"0,3,1,2"
2,STATIC,7,0.24305555555555555,0.24305555555555555,"2,1,3,0"
2,STATIC,8,0.24305555555555555,0.24305555555555555,"0,2,3,1"
2,STATIC,9,0.24305555555555555,0.24305555555555555,"0,3,2,1"
2,STATIC,10,0.24305555555555555,0.24305555555555555,"1,3,2,0"
2,STATIC,11,0.24305555555555555,0.24305555555555555,"1,2,0,3"
2,STATIC,12,0.24305555555555555,0.24305555555555555,"1,0,3,2"
2,STATIC,13,0.24305555555555555,0.24305555555555555,"1,3,0,2"
2,STATIC,14,0.24305555555555555,0.24305555555555555,"0,1,3,2"
2,STATIC,15,0.24305555555555555,0.24305555555555555,"3,2,1,0"
2,STATIC,16,0.24305555555555555,0.24305555555555555,"1,0,3,2"
2,STATIC,17,0.24305555555555555,0.24305555555555555,"2,1,0,3"
2,STATIC,18,0.24305555555555555,0.24305555555555555,"0,3,1,2"
2,STATIC,19,0.24305555555555555,0.24305555555555555,"1,0,3,2"
2,F1,0,0.2482638888888889,0.2482638888888889,"2,3,0,1"
2,F1,1,0.2482638888888889,0.2482638888888889,"2,0,1,3"
2,F1,2,0.24479166666666666,0.24479166666666669,"2,3,0,1"
2,F1,3,0.2465277777777778,0.2465277777777778,"0,3,2,1"
2,F1,4,0.24479166666666666,0.24479166666666669,"1,0,2,3"
2,F1,5,0.24479166666666666,0.24479166666666669,"3,0,1,2"
2,F1,6,0.2482638888888889,0.2482638888888889,"1,2,0,3"
