protocol,subject,split,feature,confusion_matrix
P0,1,0train_fold0,F0,"[[11, 0, 0, 3], [2, 11, 1, 0], [0, 1, 14, 0], [5, 0, 0, 10]]"
P0,1,0train_fold0,F1,"[[9, 1, 0, 4], [2, 9, 3, 0], [0, 2, 13, 0], [2, 0, 0, 13]]"
P0,1,0train_fold0,F2-S,"[[4, 4, 0, 6], [0, 6, 8, 0], [1, 10, 3, 1], [5, 1, 2, 7]]"
P0,1,0train_fold0,F2-V,"[[4, 3, 1, 6], [1, 6, 7, 0], [2, 9, 4, 0], [2, 1, 2, 10]]"
P0,1,0train_fold0,F3-G,"[[2, 6, 1, 5], [0, 9, 4, 1], [2, 7, 6, 0], [0, 5, 2, 8]]"
P0,1,0train_fold0,F3-D,"[[5, 4, 1, 4], [0, 9, 4, 1], [4, 3, 8, 0], [3, 2, 2, 8]]"
P0,1,0train_fold0,F2-S-SHUFFLE,"[[7, 2, 1, 4], [1, 4, 8, 1], [4, 7, 2, 2], [5, 6, 2, 2]]"
P0,1,0train_fold0,F2-S-REVERSE,"[[4, 4, 0, 6], [0, 6, 8, 0], [1, 10, 3, 1], [5, 1, 2, 7]]"
P0,1,0train_fold1,F0,"[[10, 0, 1, 3], [0, 11, 3, 1], [0, 0, 14, 0], [1, 0, 0, 14]]"
P0,1,0train_fold1,F1,"[[12, 0, 2, 0], [0, 12, 3, 0], [0, 2, 12, 0], [5, 0, 0, 10]]"
P0,1,0train_fold1,F2-S,"[[4, 1, 1, 8], [0, 6, 9, 0], [1, 6, 7, 0], [2, 0, 1, 12]]"
P0,1,0train_fold1,F2-V,"[[7, 1, 1, 5], [1, 6, 8, 0], [1, 6, 7, 0], [4, 1, 1, 9]]"
P0,1,0train_fold1,F3-G,"[[4, 3, 2, 5], [3, 8, 3, 1], [2, 8, 3, 1], [2, 2, 2, 9]]"
P0,1,0train_fold1,F3-D,"[[5, 2, 3, 4], [5, 4, 2, 4], [5, 6, 3, 0], [3, 1, 2, 9]]"
P0,1,0train_fold1,F2-S-SHUFFLE,"[[5, 1, 1, 7], [1, 5, 7, 2], [1, 7, 6, 0], [2, 0, 1, 12]]"
P0,1,0train_fold1,F2-S-REVERSE,"[[4, 1, 1, 8], [0, 6, 9, 0], [1, 6, 7, 0], [2, 0, 1, 12]]"
P0,1,0train_fold2,F0,"[[12, 0, 1, 2], [1, 13, 1, 0], [1, 2, 11, 0], [0, 0, 0, 14]]"
P0,1,0train_fold2,F1,"[[11, 0, 1, 3], [1, 10, 3, 1], [1, 2, 11, 0], [0, 0, 0, 14]]"
P0,1,0train_fold2,F2-S,"[[7, 4, 1, 3], [1, 10, 4, 0], [1, 6, 7, 0], [6, 0, 1, 7]]"
P0,1,0train_fold2,F2-V,"[[10, 1, 1, 3], [3, 8, 3, 1], [1, 5, 8, 0], [5, 0, 1, 8]]"
P0,1,0train_fold2,F3-G,"[[4, 4, 6, 1], [3, 7, 5, 0], [3, 4, 4, 3], [2, 5, 2, 5]]"
P0,1,0train_fold2,F3-D,"[[5, 2, 5, 3], [2, 6, 4, 3], [3, 5, 3, 3], [4, 2, 4, 4]]"
P0,1,0train_fold2,F2-S-SHUFFLE,"[[4, 5, 4, 2], [1, 11, 2, 1], [1, 6, 7, 0], [4, 4, 0, 6]]"
P0,1,0train_fold2,F2-S-REVERSE,"[[7, 4, 1, 3], [1, 10, 4, 0], [1, 6, 7, 0], [6, 0, 1, 7]]"
P0,1,0train_fold3,F0,"[[10, 2, 1, 2], [2, 8, 4, 0], [1, 4, 9, 0], [3, 0, 0, 11]]"
P0,1,0train_fold3,F1,"[[9, 3, 0, 3], [1, 11, 2, 0], [0, 3, 10, 1], [6, 0, 0, 8]]"
P0,1,0train_fold3,F2-S,"[[11, 1, 2, 1], [0, 4, 7, 3], [0, 6, 7, 1], [4, 1, 1, 8]]"
P0,1,0train_fold3,F2-V,"[[11, 1, 1, 2], [3, 5, 5, 1], [0, 4, 9, 1], [3, 0, 3, 8]]"
P0,1,0train_fold3,F3-G,"[[3, 3, 5, 4], [1, 8, 3, 2], [3, 5, 4, 2], [5, 2, 2, 5]]"
P0,1,0train_fold3,F3-D,"[[2, 0, 7, 6], [2, 5, 6, 1], [3, 6, 3, 2], [6, 3, 0, 5]]"
P0,1,0train_fold3,F2-S-SHUFFLE,"[[9, 2, 2, 2], [4, 2, 5, 3], [0, 6, 7, 1], [2, 1, 0, 11]]"
P0,1,0train_fold3,F2-S-REVERSE,"[[11, 1, 2, 1], [0, 4, 7, 3], [0, 6, 7, 1], [4, 1, 1, 8]]"
P0,1,0train_fold4,F0,"[[7, 2, 0, 5], [0, 11, 2, 1], [1, 1, 13, 0], [3, 0, 0, 11]]"
P0,1,0train_fold4,F1,"[[7, 2, 0, 5], [0, 11, 2, 1], [0, 1, 14, 0], [4, 1, 0, 9]]"
P0,1,0train_fold4,F2-S,"[[4, 2, 4, 4], [3, 9, 2, 0], [2, 6, 7, 0], [6, 0, 0, 8]]"
P0,1,0train_fold4,F2-V,"[[4, 3, 3, 4], [2, 9, 2, 1], [2, 5, 7, 1], [4, 0, 2, 8]]"
P0,1,0train_fold4,F3-G,"[[0, 6, 5, 3], [0, 6, 7, 1], [1, 4, 8, 2], [3, 5, 0, 6]]"
P0,1,0train_fold4,F3-D,"[[2, 6, 4, 2], [3, 6, 5, 0], [3, 3, 7, 2], [3, 4, 2, 5]]"
P0,1,0train_fold4,F2-S-SHUFFLE,"[[5, 2, 3, 4], [2, 6, 4, 2], [2, 6, 6, 1], [3, 1, 2, 8]]"
P0,1,0train_fold4,F2-S-REVERSE,"[[4, 2, 4, 4], [3, 9, 2, 0], [2, 6, 7, 0], [6, 0, 0, 8]]"
P0,1,1test_fold0,F0,"[[12, 0, 0, 3], [0, 14, 1, 0], [0, 2, 12, 0], [4, 0, 0, 10]]"
P0,1,1test_fold0,F1,"[[11, 0, 0, 4], [0, 14, 1, 0], [0, 2, 12, 0], [3, 0, 0, 11]]"
P0,1,1test_fold0,F2-S,"[[8, 2, 2, 3], [3, 10, 1, 1], [2, 2, 10, 0], [3, 0, 0, 11]]"
P0,1,1test_fold0,F2-V,"[[8, 1, 2, 4], [3, 9, 2, 1], [0, 0, 13, 1], [3, 0, 0, 11]]"
P0,1,1test_fold0,F3-G,"[[2, 5, 2, 6], [2, 10, 3, 0], [2, 8, 2, 2], [4, 2, 0, 8]]"
P0,1,1test_fold0,F3-D,"[[2, 4, 2, 7], [3, 9, 2, 1], [3, 6, 0, 5], [4, 2, 0, 8]]"
P0,1,1test_fold0,F2-S-SHUFFLE,"[[5, 3, 2, 5], [1, 8, 4, 2], [3, 3, 7, 1], [4, 0, 1, 9]]"
P0,1,1test_fold0,F2-S-REVERSE,"[[8, 2, 2, 3], [3, 10, 1, 1], [2, 2, 10, 0], [3, 0, 0, 11]]"
P0,1,1test_fold1,F0,"[[10, 0, 1, 3], [1, 12, 1, 1], [1, 2, 11, 0], [1, 1, 0, 13]]"
P0,1,1test_fold1,F1,"[[11, 1, 0, 2], [0, 13, 1, 1], [0, 2, 12, 0], [5, 0, 0, 10]]"
P0,1,1test_fold1,F2-S,"[[7, 3, 0, 4], [2, 10, 3, 0], [1, 2, 10, 1], [3, 2, 0, 10]]"
P0,1,1test_fold1,F2-V,"[[6, 4, 2, 2], [1, 10, 1, 3], [1, 2, 10, 1], [4, 2, 1, 8]]"
P0,1,1test_fold1,F3-G,"[[4, 3, 4, 3], [2, 10, 2, 1], [3, 3, 3, 5], [4, 1, 5, 5]]"
P0,1,1test_fold1,F3-D,"[[4, 3, 2, 5], [2, 8, 4, 1], [4, 2, 3, 5], [2, 3, 4, 6]]"
P0,1,1test_fold1,F2-S-SHUFFLE,"[[4, 3, 2, 5], [1, 10, 4, 0], [1, 4, 8, 1], [3, 3, 0, 9]]"
P0,1,1test_fold1,F2-S-REVERSE,"[[7, 3, 0, 4], [2, 10, 3, 0], [1, 2, 10, 1], [3, 2, 0, 10]]"
P0,1,1test_fold2,F0,"[[13, 1, 0, 0], [1, 6, 6, 1], [0, 0, 15, 0], [5, 0, 0, 10]]"
P0,1,1test_fold2,F1,"[[6, 1, 0, 7], [0, 7, 6, 1], [0, 1, 14, 0], [3, 0, 0, 12]]"
P0,1,1test_fold2,F2-S,"[[8, 2, 0, 4], [0, 8, 6, 0], [3, 4, 8, 0], [2, 2, 0, 11]]"
P0,1,1test_fold2,F2-V,"[[7, 1, 0, 6], [1, 8, 4, 1], [2, 4, 8, 1], [3, 4, 1, 7]]"
P0,1,1test_fold2,F3-G,"[[4, 2, 5, 3], [1, 7, 5, 1], [4, 6, 3, 2], [1, 6, 1, 7]]"
P0,1,1test_fold2,F3-D,"[[6, 3, 2, 3], [3, 7, 2, 2], [3, 5, 3, 4], [1, 7, 1, 6]]"
P0,1,1test_fold2,F2-S-SHUFFLE,"[[4, 1, 2, 7], [0, 6, 7, 1], [1, 6, 8, 0], [5, 3, 0, 7]]"
P0,1,1test_fold2,F2-S-REVERSE,"[[8, 2, 0, 4], [0, 8, 6, 0], [3, 4, 8, 0], [2, 2, 0, 11]]"
P0,1,1test_fold3,F0,"[[12, 0, 0, 2], [0, 13, 1, 0], [0, 1, 14, 0], [6, 1, 0, 7]]"
P0,1,1test_fold3,F1,"[[13, 0, 0, 1], [0, 12, 2, 0], [1, 1, 13, 0], [5, 2, 0, 7]]"
P0,1,1test_fold3,F2-S,"[[9, 0, 0, 5], [2, 8, 4, 0], [2, 4, 8, 1], [4, 0, 1, 9]]"
P0,1,1test_fold3,F2-V,"[[8, 1, 2, 3], [1, 11, 2, 0], [4, 3, 7, 1], [5, 1, 2, 6]]"
P0,1,1test_fold3,F3-G,"[[2, 3, 4, 5], [1, 7, 5, 1], [2, 6, 5, 2], [3, 2, 3, 6]]"
P0,1,1test_fold3,F3-D,"[[5, 3, 3, 3], [1, 6, 5, 2], [2, 5, 5, 3], [6, 2, 2, 4]]"
P0,1,1test_fold3,F2-S-SHUFFLE,"[[9, 1, 0, 4], [2, 6, 6, 0], [3, 4, 5, 3], [4, 1, 2, 7]]"
P0,1,1test_fold3,F2-S-REVERSE,"[[9, 0, 0, 5], [2, 8, 4, 0], [2, 4, 8, 1], [4, 0, 1, 9]]"
P0,1,1test_fold4,F0,"[[10, 0, 0, 5], [0, 12, 1, 1], [0, 1, 12, 1], [5, 0, 0, 9]]"
P0,1,1test_fold4,F1,"[[11, 0, 0, 4], [0, 13, 1, 0], [0, 1, 12, 1], [3, 0, 0, 11]]"
P0,1,1test_fold4,F2-S,"[[6, 1, 4, 4], [0, 10, 4, 0], [1, 3, 9, 1], [4, 1, 0, 9]]"
P0,1,1test_fold4,F2-V,"[[7, 3, 4, 1], [0, 9, 4, 1], [1, 4, 9, 0], [4, 1, 0, 9]]"
P0,1,1test_fold4,F3-G,"[[5, 4, 3, 3], [2, 8, 4, 0], [1, 7, 5, 1], [3, 3, 1, 7]]"
P0,1,1test_fold4,F3-D,"[[5, 4, 4, 2], [2, 7, 5, 0], [2, 6, 5, 1], [6, 2, 0, 6]]"
P0,1,1test_fold4,F2-S-SHUFFLE,"[[6, 2, 4, 3], [1, 6, 5, 2], [1, 2, 10, 1], [7, 0, 1, 6]]"
P0,1,1test_fold4,F2-S-REVERSE,"[[6, 1, 4, 4], [0, 10, 4, 0], [1, 3, 9, 1], [4, 1, 0, 9]]"
P1,1,0train_to_1test,F0,"[[46, 0, 1, 25], [1, 54, 11, 6], [1, 7, 64, 0], [13, 0, 0, 59]]"
P1,1,0train_to_1test,F1,"[[43, 0, 0, 29], [6, 53, 9, 4], [1, 10, 61, 0], [13, 0, 0, 59]]"
P1,1,0train_to_1test,F2-S,"[[24, 10, 5, 33], [5, 36, 28, 3], [2, 19, 46, 5], [17, 6, 7, 42]]"
P1,1,0train_to_1test,F2-V,"[[31, 8, 2, 31], [11, 36, 18, 7], [6, 21, 42, 3], [24, 7, 6, 35]]"
P1,1,0train_to_1test,F3-G,"[[12, 19, 18, 23], [9, 31, 27, 5], [14, 24, 24, 10], [13, 18, 15, 26]]"
P1,1,0train_to_1test,F3-D,"[[15, 16, 16, 25], [10, 27, 29, 6], [11, 15, 37, 9], [8, 17, 16, 31]]"
P1,1,0train_to_1test,F2-S-SHUFFLE,"[[32, 10, 9, 21], [6, 27, 30, 9], [6, 20, 41, 5], [13, 10, 6, 43]]"
P1,1,0train_to_1test,F2-S-REVERSE,"[[24, 10, 5, 33], [5, 36, 28, 3], [2, 19, 46, 5], [17, 6, 7, 42]]"
