phase,session,geometry,object,stage,observed,null_median,effect,p_value,status
discovery,0train,AIRM,D,R,0.9922532832994543,0.9894833875409791,0.0027698957584751938,0.2005,PASS
discovery,0train,AIRM,G,R,0.9432225992969152,0.9052119438412141,0.03801065545570115,0.08,PASS
discovery,0train,LE,D,R,0.9911705648188278,0.9863429002903611,0.004827664528466724,0.119,PASS
discovery,0train,LE,G,R,0.9457335814102129,0.8797442738296118,0.06598930758060106,0.0095,PASS
confirmatory,1test,AIRM,D,R,0.9957063448666952,0.9867205024594261,0.008985842407269073,0.002,PASS
confirmatory,1test,AIRM,G,R,0.9730239362285069,0.8823795406029393,0.09064439562556759,0.0005,PASS
confirmatory,1test,LE,D,R,0.994121697631731,0.9826964369272592,0.011425260704471807,0.001,PASS
confirmatory,1test,LE,G,R,0.9662802849304561,0.8543389854101096,0.1119412995203466,0.0005,PASS
discovery,0train,AIRM,D,S,0.9795198721014751,0.9639527204432033,0.015567151658271716,0.0051299487005129945,PASS
discovery,0train,AIRM,G,S,0.8734748135498402,0.7702145360975794,0.10326027745226085,0.0041599584004159956,PASS
discovery,0train,LE,D,S,0.9783393448967027,0.9576962687745344,0.020643076122168313,0.002979970200297997,PASS
discovery,0train,LE,G,S,0.8668751835741577,0.7414951697599358,0.12538001381422192,0.0036699633003669965,PASS
confirmatory,1test,AIRM,D,S,0.9679464229942034,0.9640707641857218,0.003875658808481619,0.3202867971320287,PASS
confirmatory,1test,AIRM,G,S,0.8539307749567935,0.752595624286558,0.10133515067023546,0.01797982020179798,PASS
confirmatory,1test,LE,D,S,0.962312038621508,0.9563429214353197,0.005969117186188311,0.26373736262637376,PASS
confirmatory,1test,LE,G,S,0.8530876461214919,0.7232338029316079,0.12985384318988402,0.004419955800441995,PASS
discovery,0train,AIRM,D,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002537997462002538,PASS
discovery,0train,AIRM,G,P,0.9130434782608695,0.5217391304347826,0.3913043478260869,0.002565997434002566,PASS
discovery,0train,LE,D,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002503997496002504,PASS
discovery,0train,LE,G,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002530997469002531,PASS
confirmatory,1test,AIRM,D,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002492997507002493,PASS
confirmatory,1test,AIRM,G,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002511997488002512,PASS
confirmatory,1test,LE,D,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002564997435002565,PASS
confirmatory,1test,LE,G,P,0.9130434782608695,0.4782608695652174,0.4347826086956521,0.002564997435002565,PASS
