phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject,1,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,1,left_hand,right_hand,0.8549451293202815
discovery,0train,AIRM,F,subject,1,left_hand,feet,1.7135112892667201
discovery,0train,AIRM,F,subject,1,left_hand,tongue,2.226432076454756
discovery,0train,AIRM,F,subject,1,right_hand,left_hand,0.8549451293202815
discovery,0train,AIRM,F,subject,1,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,1,right_hand,feet,1.915916246581929
discovery,0train,AIRM,F,subject,1,right_hand,tongue,2.4947647618745417
discovery,0train,AIRM,F,subject,1,feet,left_hand,1.7135112892667201
discovery,0train,AIRM,F,subject,1,feet,right_hand,1.915916246581929
discovery,0train,AIRM,F,subject,1,feet,feet,0.0
discovery,0train,AIRM,F,subject,1,feet,tongue,0.7779903486015894
discovery,0train,AIRM,F,subject,1,tongue,left_hand,2.226432076454756
discovery,0train,AIRM,F,subject,1,tongue,right_hand,2.4947647618745417
discovery,0train,AIRM,F,subject,1,tongue,feet,0.7779903486015894
discovery,0train,AIRM,F,subject,1,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,2,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,2,left_hand,right_hand,0.36602893925782004
discovery,0train,AIRM,F,subject,2,left_hand,feet,0.9518648891869954
discovery,0train,AIRM,F,subject,2,left_hand,tongue,0.5037085709238873
discovery,0train,AIRM,F,subject,2,right_hand,left_hand,0.36602893925782004
discovery,0train,AIRM,F,subject,2,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,2,right_hand,feet,0.9155113507543514
discovery,0train,AIRM,F,subject,2,right_hand,tongue,0.6186314071855484
discovery,0train,AIRM,F,subject,2,feet,left_hand,0.9518648891869954
discovery,0train,AIRM,F,subject,2,feet,right_hand,0.9155113507543514
discovery,0train,AIRM,F,subject,2,feet,feet,0.0
discovery,0train,AIRM,F,subject,2,feet,tongue,0.9648163492824072
discovery,0train,AIRM,F,subject,2,tongue,left_hand,0.5037085709238873
discovery,0train,AIRM,F,subject,2,tongue,right_hand,0.6186314071855484
discovery,0train,AIRM,F,subject,2,tongue,feet,0.9648163492824072
discovery,0train,AIRM,F,subject,2,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,3,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,3,left_hand,right_hand,1.3148357357369844
discovery,0train,AIRM,F,subject,3,left_hand,feet,1.4164270378169588
discovery,0train,AIRM,F,subject,3,left_hand,tongue,2.0462350188609095
discovery,0train,AIRM,F,subject,3,right_hand,left_hand,1.3148357357369844
discovery,0train,AIRM,F,subject,3,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,3,right_hand,feet,1.4687377311182417
discovery,0train,AIRM,F,subject,3,right_hand,tongue,1.9543417865917259
discovery,0train,AIRM,F,subject,3,feet,left_hand,1.4164270378169588
discovery,0train,AIRM,F,subject,3,feet,right_hand,1.4687377311182417
discovery,0train,AIRM,F,subject,3,feet,feet,0.0
discovery,0train,AIRM,F,subject,3,feet,tongue,1.051577385935392
discovery,0train,AIRM,F,subject,3,tongue,left_hand,2.0462350188609095
discovery,0train,AIRM,F,subject,3,tongue,right_hand,1.9543417865917259
discovery,0train,AIRM,F,subject,3,tongue,feet,1.051577385935392
discovery,0train,AIRM,F,subject,3,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,4,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,4,left_hand,right_hand,0.5303810255907417
discovery,0train,AIRM,F,subject,4,left_hand,feet,0.6858308015963896
discovery,0train,AIRM,F,subject,4,left_hand,tongue,0.7828900186793348
discovery,0train,AIRM,F,subject,4,right_hand,left_hand,0.5303810255907417
discovery,0train,AIRM,F,subject,4,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,4,right_hand,feet,0.6053492321963583
discovery,0train,AIRM,F,subject,4,right_hand,tongue,0.6168965626945686
discovery,0train,AIRM,F,subject,4,feet,left_hand,0.6858308015963896
discovery,0train,AIRM,F,subject,4,feet,right_hand,0.6053492321963583
discovery,0train,AIRM,F,subject,4,feet,feet,0.0
discovery,0train,AIRM,F,subject,4,feet,tongue,0.42836892151187317
discovery,0train,AIRM,F,subject,4,tongue,left_hand,0.7828900186793348
discovery,0train,AIRM,F,subject,4,tongue,right_hand,0.6168965626945686
discovery,0train,AIRM,F,subject,4,tongue,feet,0.42836892151187317
discovery,0train,AIRM,F,subject,4,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,5,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,5,left_hand,right_hand,0.3744362003396354
discovery,0train,AIRM,F,subject,5,left_hand,feet,0.45432758712088483
discovery,0train,AIRM,F,subject,5,left_hand,tongue,0.6129485055048268
discovery,0train,AIRM,F,subject,5,right_hand,left_hand,0.3744362003396354
discovery,0train,AIRM,F,subject,5,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,5,right_hand,feet,0.4082283961457277
discovery,0train,AIRM,F,subject,5,right_hand,tongue,0.5013551843905215
discovery,0train,AIRM,F,subject,5,feet,left_hand,0.45432758712088483
discovery,0train,AIRM,F,subject,5,feet,right_hand,0.4082283961457277
discovery,0train,AIRM,F,subject,5,feet,feet,0.0
discovery,0train,AIRM,F,subject,5,feet,tongue,0.41860750892980264
discovery,0train,AIRM,F,subject,5,tongue,left_hand,0.6129485055048268
discovery,0train,AIRM,F,subject,5,tongue,right_hand,0.5013551843905215
discovery,0train,AIRM,F,subject,5,tongue,feet,0.41860750892980264
discovery,0train,AIRM,F,subject,5,tongue,tongue,0.0
discovery,0train,AIRM,F,subject,6,left_hand,left_hand,0.0
discovery,0train,AIRM,F,subject,6,left_hand,right_hand,0.5749319911513576
discovery,0train,AIRM,F,subject,6,left_hand,feet,0.9646557526038694
discovery,0train,AIRM,F,subject,6,left_hand,tongue,0.8421669681108579
discovery,0train,AIRM,F,subject,6,right_hand,left_hand,0.5749319911513576
discovery,0train,AIRM,F,subject,6,right_hand,right_hand,0.0
discovery,0train,AIRM,F,subject,6,right_hand,feet,0.8164528839871632
discovery,0train,AIRM,F,subject,6,right_hand,tongue,0.7300190288029677
discovery,0train,AIRM,F,subject,6,feet,left_hand,0.9646557526038694
discovery,0train,AIRM,F,subject,6,feet,right_hand,0.8164528839871632
discovery,0train,AIRM,F,subject,6,feet,feet,0.0
discovery,0train,AIRM,F,subject,6,feet,tongue,0.5466194426449025
discovery,0train,AIRM,F,subject,6,tongue,left_hand,0.8421669681108579
discovery,0train,AIRM,F,subject,6,tongue,right_hand,0.7300190288029677
