phase,session,geometry,split,row_type,subject,class_row,class_column,value
discovery,0train,AIRM,F,subject,1,left_hand,left_hand,0.9621342549903371
discovery,0train,AIRM,F,subject,1,left_hand,right_hand,0.8480263148711293
discovery,0train,AIRM,F,subject,1,left_hand,feet,-0.6838889955473826
discovery,0train,AIRM,F,subject,1,left_hand,tongue,-1.1232785336363067
discovery,0train,AIRM,F,subject,1,right_hand,left_hand,0.8480263148711293
discovery,0train,AIRM,F,subject,1,right_hand,right_hand,1.4642113877870844
discovery,0train,AIRM,F,subject,1,right_hand,feet,-0.8000676882757832
discovery,0train,AIRM,F,subject,1,right_hand,tongue,-1.5055167564849832
discovery,0train,AIRM,F,subject,1,feet,left_hand,-0.6838889955473826
discovery,0train,AIRM,F,subject,1,feet,right_hand,-0.8000676882757832
discovery,0train,AIRM,F,subject,1,feet,feet,0.6058531572690165
discovery,0train,AIRM,F,subject,1,feet,tongue,0.8747898930003414
discovery,0train,AIRM,F,subject,1,tongue,left_hand,-1.1232785336363067
discovery,0train,AIRM,F,subject,1,tongue,right_hand,-1.5055167564849832
discovery,0train,AIRM,F,subject,1,tongue,feet,0.8747898930003414
discovery,0train,AIRM,F,subject,1,tongue,tongue,1.7478026967181366
discovery,0train,AIRM,F,subject,2,left_hand,left_hand,0.10803842724574705
discovery,0train,AIRM,F,subject,2,left_hand,right_hand,0.04869914242992102
discovery,0train,AIRM,F,subject,2,left_hand,feet,-0.17217441750174323
discovery,0train,AIRM,F,subject,2,left_hand,tongue,0.015373623375982163
discovery,0train,AIRM,F,subject,2,right_hand,left_hand,0.04869914242992102
discovery,0train,AIRM,F,subject,2,right_hand,right_hand,0.12326142639037549
discovery,0train,AIRM,F,subject,2,right_hand,feet,-0.1305995563197085
discovery,0train,AIRM,F,subject,2,right_hand,tongue,-0.041508454767430134
discovery,0train,AIRM,F,subject,2,feet,left_hand,-0.17217441750174323
discovery,0train,AIRM,F,subject,2,feet,right_hand,-0.1305995563197085
discovery,0train,AIRM,F,subject,2,feet,feet,0.4535664225828029
discovery,0train,AIRM,F,subject,2,feet,tongue,-0.15040247561807613
discovery,0train,AIRM,F,subject,2,tongue,left_hand,0.015373623375982163
discovery,0train,AIRM,F,subject,2,tongue,right_hand,-0.041508454767430134
discovery,0train,AIRM,F,subject,2,tongue,feet,-0.15040247561807613
discovery,0train,AIRM,F,subject,2,tongue,tongue,0.17636649512029398
discovery,0train,AIRM,F,subject,3,left_hand,left_hand,1.0435321145315062
discovery,0train,AIRM,F,subject,3,left_hand,right_hand,0.15204068031441856
discovery,0train,AIRM,F,subject,3,left_hand,feet,-0.29162901288600973
discovery,0train,AIRM,F,subject,3,left_hand,tongue,-0.9018020143559616
discovery,0train,AIRM,F,subject,3,right_hand,left_hand,0.15204068031441856
discovery,0train,AIRM,F,subject,3,right_hand,right_hand,0.9884805728405862
discovery,0train,AIRM,F,subject,3,right_hand,feet,-0.3946596937777043
discovery,0train,AIRM,F,subject,3,right_hand,tongue,-0.7453375547519712
discovery,0train,AIRM,F,subject,3,feet,left_hand,-0.29162901288600973
discovery,0train,AIRM,F,subject,3,feet,right_hand,-0.3946596937777043
discovery,0train,AIRM,F,subject,3,feet,feet,0.3787437733607682
discovery,0train,AIRM,F,subject,3,feet,tongue,0.3065055474562456
discovery,0train,AIRM,F,subject,3,tongue,left_hand,-0.9018020143559616
discovery,0train,AIRM,F,subject,3,tongue,right_hand,-0.7453375547519712
discovery,0train,AIRM,F,subject,3,tongue,feet,0.3065055474562456
discovery,0train,AIRM,F,subject,3,tongue,tongue,1.3391100311690263
discovery,0train,AIRM,F,subject,4,left_hand,left_hand,0.1976094072821384
discovery,0train,AIRM,F,subject,4,left_hand,right_hand,0.014994142394555137
discovery,0train,AIRM,F,subject,4,left_hand,feet,-0.08049451721710173
discovery,0train,AIRM,F,subject,4,left_hand,tongue,-0.13222559870082382
discovery,0train,AIRM,F,subject,4,right_hand,left_hand,0.014994142394555137
discovery,0train,AIRM,F,subject,4,right_hand,right_hand,0.11355992525994232
discovery,0train,AIRM,F,subject,4,right_hand,feet,-0.07057903346901134
discovery,0train,AIRM,F,subject,4,right_hand,tongue,-0.058052329273968944
discovery,0train,AIRM,F,subject,4,feet,left_hand,-0.08049451721710173
discovery,0train,AIRM,F,subject,4,feet,right_hand,-0.07057903346901134
discovery,0train,AIRM,F,subject,4,feet,feet,0.11168570525217746
discovery,0train,AIRM,F,subject,4,feet,tongue,0.03953511060505192
discovery,0train,AIRM,F,subject,4,tongue,left_hand,-0.13222559870082382
discovery,0train,AIRM,F,subject,4,tongue,right_hand,-0.058052329273968944
discovery,0train,AIRM,F,subject,4,tongue,feet,0.03953511060505192
discovery,0train,AIRM,F,subject,4,tongue,tongue,0.15079557509616606
discovery,0train,AIRM,F,subject,5,left_hand,left_hand,0.09843797933303938
discovery,0train,AIRM,F,subject,5,left_hand,right_hand,0.007802013165164211
discovery,0train,AIRM,F,subject,5,left_hand,feet,-0.02656816141564588
discovery,0train,AIRM,F,subject,5,left_hand,tongue,-0.07948931730060826
discovery,0train,AIRM,F,subject,5,right_hand,left_hand,0.007802013165164211
discovery,0train,AIRM,F,subject,5,right_hand,right_hand,0.05733959266463001
discovery,0train,AIRM,F,subject,5,right_hand,feet,-0.027238159166190882
discovery,0train,AIRM,F,subject,5,right_hand,tongue,-0.03786641351536353
discovery,0train,AIRM,F,subject,5,feet,left_hand,-0.02656816141564588
discovery,0train,AIRM,F,subject,5,feet,right_hand,-0.027238159166190882
discovery,0train,AIRM,F,subject,5,feet,feet,0.054819925505185975
discovery,0train,AIRM,F,subject,5,feet,tongue,-0.001061851245876569
discovery,0train,AIRM,F,subject,5,tongue,left_hand,-0.07948931730060826
discovery,0train,AIRM,F,subject,5,tongue,right_hand,-0.03786641351536353
discovery,0train,AIRM,F,subject,5,tongue,feet,-0.001061851245876569
discovery,0train,AIRM,F,subject,5,tongue,tongue,0.11825471150962553
discovery,0train,AIRM,F,subject,6,left_hand,left_hand,0.2759734785973659
discovery,0train,AIRM,F,subject,6,left_hand,right_hand,0.05567565427983283
discovery,0train,AIRM,F,subject,6,left_hand,feet,-0.1987524835265937
discovery,0train,AIRM,F,subject,6,left_hand,tongue,-0.1324290924904548
discovery,0train,AIRM,F,subject,6,right_hand,left_hand,0.05567565427983283
discovery,0train,AIRM,F,subject,6,right_hand,right_hand,0.16574078425266714
discovery,0train,AIRM,F,subject,6,right_hand,feet,-0.12184495116695347
discovery,0train,AIRM,F,subject,6,right_hand,tongue,-0.09941719056674594
discovery,0train,AIRM,F,subject,6,feet,left_hand,-0.1987524835265937
discovery,0train,AIRM,F,subject,6,feet,right_hand,-0.12184495116695347
discovery,0train,AIRM,F,subject,6,feet,feet,0.2569809543718332
discovery,0train,AIRM,F,subject,6,feet,tongue,0.06330588282179539
