protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,subject,influence,subject_score,subject_effect,discovery_subject_effect,confirmatory_subject_effect,discovery_confirmatory_effect_delta,airm_minus_le_subject_effect_delta
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,1,0.0005371858827701859,0.9832038731808237,0.0056987876279036564,0.013684564834955726,0.0056987876279036564,-0.00798577720705207,-0.005340280359024563
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,2,0.0005371858827701859,0.9858880463202615,0.011444674416023704,0.0014672931846332338,0.011444674416023704,0.00997738123139047,0.0016263769205439038
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,3,-0.0005132979320776609,0.9967807166322356,0.01153046857053408,0.01321219065307866,0.01153046857053408,-0.0016817220825445789,-0.001977560195662087
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,4,-0.0005132979320776609,0.9967967862757547,0.007822411030708798,-0.012887611369931884,0.007822411030708798,0.020710022400640682,-0.004707359395514921
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,5,0.0005371858827701859,0.9946797490025399,0.0016870396283377165,-0.007701613095940973,0.0016870396283377165,0.00938865272427869,-0.0009687761721853816
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,6,0.0005371858827701859,0.9828103185075493,-0.007454462942376394,-0.008822190417874132,-0.007454462942376394,0.0013677274754977375,0.0009625611471028028
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,7,2.3887950692524917e-05,0.9957063448666952,0.004837724197575111,0.00627546825021974,0.004837724197575111,-0.0014377440526446295,-0.0018843433614816885
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,8,-0.0005132979320776609,0.9996158857771025,0.011830540630948128,0.003839725625974455,0.011830540630948128,0.007990815004973673,-0.00422821087846148
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,R,9,-0.0005132979320776609,0.9997805492783768,0.023067368462894033,-0.0009682107761894709,0.023067368462894033,0.024035579239083504,-0.007280377692081896
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,1,0.0012226311702843162,0.956042304155765,0.02819678049879981,0.03194789149727928,0.02819678049879981,-0.0037511109984794677,-0.003963478459590664
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,confirmatory,1test,PASS,AIRM,D,S,2,0.0012226311702843162,0.9665907896428715,-0.01235797273865813,-0.025122202806164062,-0.01235797273865813,0.012764230067505933,0.0006483363940684717
