protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,object,stage,discovery_observed,discovery_effect,confirmatory_observed,confirmatory_effect,confirmatory_p
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,AIRM,D,R,0.9922532832994543,0.0027698957584751938,0.9957063448666952,0.008985842407269073,0.002
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,AIRM,D,S,0.9795198721014751,0.015567151658271716,0.9679464229942034,0.003875658808481619,0.3202867971320287
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,AIRM,D,P,0.9130434782608695,0.4347826086956521,0.9130434782608695,0.4347826086956521,0.002492997507002493
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,AIRM,G,R,0.9432225992969152,0.03801065545570115,0.9730239362285069,0.09064439562556759,0.0005
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,AIRM,G,S,0.8734748135498402,0.10326027745226085,0.8539307749567935,0.10133515067023546,0.01797982020179798
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,AIRM,G,P,0.9130434782608695,0.3913043478260869,0.9130434782608695,0.4347826086956521,0.002511997488002512
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,LE,D,R,0.9911705648188278,0.004827664528466724,0.994121697631731,0.011425260704471807,0.001
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,LE,D,S,0.9783393448967027,0.020643076122168313,0.962312038621508,0.005969117186188311,0.26373736262637376
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,LE,D,P,0.9130434782608695,0.4347826086956521,0.9130434782608695,0.4347826086956521,0.002564997435002565
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,LE,G,R,0.9457335814102129,0.06598930758060106,0.9662802849304561,0.1119412995203466,0.0005
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,LE,G,S,0.8668751835741577,0.12538001381422192,0.8530876461214919,0.12985384318988402,0.004419955800441995
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,combined,0train+1test,PASS,LE,G,P,0.9130434782608695,0.4347826086956521,0.9130434782608695,0.4347826086956521,0.002564997435002565
