protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,subject,split,d_relative_error,g_relative_error,d_limit,g_limit,g_direct_whitened_relative_error,g_direct_whitened_limit,permutation_d_relative_error,permutation_g_relative_error,permutation_limit,le_d_g_identity_relative_error,le_d_g_identity_limit,d_symmetry_relative_error,d_diagonal_max_abs,d_minimum,g_symmetry_relative_error,structure_tolerance,passed
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,1,A,1.9084396141381186e-15,2.1715448612943926e-15,1e-10,1e-10,4.076226422129638e-15,1e-10,5.547026510483912e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,1,B,1.4850595411495825e-15,1.455099837102417e-15,1e-10,1e-10,6.631181822037161e-15,1e-10,5.891280915866425e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,1,F,1.4444192446322327e-15,2.0117967173105533e-15,1e-10,1e-10,1.1332147002258945e-14,1e-10,4.7829890748525566e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,2,A,2.9354620065334377e-15,1.6480912991881942e-15,1e-10,1e-10,6.7416934141755815e-15,1e-10,2.7920343561967495e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,2,B,1.9303138757254634e-15,2.8935411074161313e-15,1e-10,1e-10,4.185936709555935e-15,1e-10,1.8329016758638394e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,2,F,3.9489226456089704e-15,1.0139051220808104e-15,1e-10,1e-10,1.2898657680655396e-14,1e-10,1.750303570736169e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,3,A,2.148015130089812e-15,1.2988466381158302e-15,1e-10,1e-10,9.950520310415705e-15,1e-10,1.1921108388514195e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,3,B,9.457095947008872e-16,1.5828637105858369e-15,1e-10,1e-10,6.881742792379272e-15,1e-10,1.5024101838864796e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,3,F,2.180531534102144e-15,1.5031485651892856e-15,1e-10,1e-10,9.578801925947719e-15,1e-10,1.5560711025013896e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,A,5.117796077764414e-15,4.861398425603272e-15,1e-10,1e-10,1.0092683074570607e-14,1e-10,1.626073871171201e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
