session,geometry,object,effect
0train,AIRM,D_exact,0.015567151658271716
0train,AIRM,D_tan,0.015588219513141155
0train,AIRM,K_exact,0.10314361738121491
0train,AIRM,G0,0.10326049265128234
0train,AIRM,G,0.10326027745226085
0train,LE,D_exact,0.020643076122168424
0train,LE,D_tan,0.020643076122168313
0train,LE,K_exact,0.12538001381422192
0train,LE,G0,0.12538001381422204
0train,LE,G,0.12538001381422192
1test,AIRM,D_exact,0.003875658808481619
1test,AIRM,D_tan,0.003879924647494315
1test,AIRM,K_exact,0.1012656428960419
1test,AIRM,G0,0.10133564780994542
1test,AIRM,G,0.10133515067023546
1test,LE,D_exact,0.005969117186188311
1test,LE,D_tan,0.005969117186188422
1test,LE,K_exact,0.1298538431898837
1test,LE,G0,0.12985384318988413
1test,LE,G,0.12985384318988402
