session,geometry,object,subject,effect
0train,AIRM,D_exact,1,0.03194789149727928
0train,AIRM,D_exact,2,-0.025122202806164062
0train,AIRM,D_exact,3,0.01765039780539701
0train,AIRM,D_exact,4,0.005200963336146391
0train,AIRM,D_exact,5,0.00819685122958258
0train,AIRM,D_exact,6,-3.954458708466113e-05
0train,AIRM,D_exact,7,0.036488481856745913
0train,AIRM,D_exact,8,0.010076064237501625
0train,AIRM,D_exact,9,0.028557860346710595
0train,AIRM,D_tan,1,0.03197944641869099
0train,AIRM,D_tan,2,-0.025134640915271733
0train,AIRM,D_tan,3,0.01767111028332735
0train,AIRM,D_tan,4,0.005208448381498476
0train,AIRM,D_tan,5,0.008199758700722093
0train,AIRM,D_tan,6,-3.1809765693835423e-05
0train,AIRM,D_tan,7,0.03652030697010766
0train,AIRM,D_tan,8,0.01006473337305791
0train,AIRM,D_tan,9,0.02857580066909171
0train,AIRM,K_exact,1,0.22390888688242838
0train,AIRM,K_exact,2,-0.15201129474635866
0train,AIRM,K_exact,3,0.16800946085674473
0train,AIRM,K_exact,4,0.08205446746057787
0train,AIRM,K_exact,5,0.08260983944010858
0train,AIRM,K_exact,6,0.05384731217333194
0train,AIRM,K_exact,7,0.25346207976492585
0train,AIRM,K_exact,8,0.034538015078071416
0train,AIRM,K_exact,9,0.18483320787906787
0train,AIRM,G0,1,0.22402017632842774
0train,AIRM,G0,2,-0.1520484054964253
0train,AIRM,G0,3,0.16814923309339602
0train,AIRM,G0,4,0.08212067226776432
0train,AIRM,G0,5,0.08264024965110772
0train,AIRM,G0,6,0.05392934141810457
0train,AIRM,G0,7,0.2536047364692583
0train,AIRM,G0,8,0.03444250592798459
0train,AIRM,G0,9,0.18492456247706612
0train,AIRM,G,1,0.22401975485427628
0train,AIRM,G,2,-0.1520481971598462
0train,AIRM,G,3,0.1681494044351468
0train,AIRM,G,4,0.08212042665360075
0train,AIRM,G,5,0.0826406512556409
0train,AIRM,G,6,0.05392974459002409
0train,AIRM,G,7,0.25360487497065165
0train,AIRM,G,8,0.034442670745756354
0train,AIRM,G,9,0.18492398370306218
0train,LE,D_exact,1,0.03544965378986087
0train,LE,D_exact,2,-0.030791524844145268
0train,LE,D_exact,3,0.024021550648797962
0train,LE,D_exact,4,0.005033729293810629
0train,LE,D_exact,5,0.006778079985710006
0train,LE,D_exact,6,0.002406755447257103
0train,LE,D_exact,7,0.04134944126884621
0train,LE,D_exact,8,0.01335560199748731
0train,LE,D_exact,9,0.03370492734574737
0train,LE,D_tan,1,0.03544965378986087
0train,LE,D_tan,2,-0.030791524844145046
0train,LE,D_tan,3,0.02402155064879763
0train,LE,D_tan,4,0.005033729293810629
0train,LE,D_tan,5,0.006778079985710228
0train,LE,D_tan,6,0.002406755447256881
0train,LE,D_tan,7,0.04134944126884621
0train,LE,D_tan,8,0.013355601997487199
0train,LE,D_tan,9,0.03370492734574737
0train,LE,K_exact,1,0.23803067934422129
0train,LE,K_exact,2,-0.1763321535336999
0train,LE,K_exact,3,0.2056898249888124
0train,LE,K_exact,4,0.08794009177030238
0train,LE,K_exact,5,0.0741983694042968
0train,LE,K_exact,6,0.07656885817225179
0train,LE,K_exact,7,0.27167817412405026
0train,LE,K_exact,8,0.050133200826008695
0train,LE,K_exact,9,0.2016164690064408
0train,LE,G0,1,0.2380306793442214
0train,LE,G0,2,-0.1763321535336997
0train,LE,G0,3,0.2056898249888124
0train,LE,G0,4,0.08794009177030238
0train,LE,G0,5,0.0741983694042968
0train,LE,G0,6,0.07656885817225167
0train,LE,G0,7,0.27167817412405026
0train,LE,G0,8,0.050133200826008695
0train,LE,G0,9,0.2016164690064408
0train,LE,G,1,0.2380306793442215
0train,LE,G,2,-0.1763321535336999
0train,LE,G,3,0.2056898249888124
0train,LE,G,4,0.08794009177030249
0train,LE,G,5,0.0741983694042967
0train,LE,G,6,0.07656885817225179
0train,LE,G,7,0.27167817412405015
0train,LE,G,8,0.050133200826008695
0train,LE,G,9,0.20161646900644092
1test,AIRM,D_exact,1,0.02819678049879981
1test,AIRM,D_exact,2,-0.012357972738658018
1test,AIRM,D_exact,3,0.02075913560846132
1test,AIRM,D_exact,4,0.029745011722986492
1test,AIRM,D_exact,5,0.008032289155244565
1test,AIRM,D_exact,6,-0.015687985816350336
1test,AIRM,D_exact,7,0.03154951647778881
1test,AIRM,D_exact,8,0.0071701830509123266
1test,AIRM,D_exact,9,0.017586881533445342
1test,AIRM,D_tan,1,0.028237789622752252
1test,AIRM,D_tan,2,-0.01236473089974166
1test,AIRM,D_tan,3,0.020791134442278203
1test,AIRM,D_tan,4,0.02977886898580584
1test,AIRM,D_tan,5,0.008032599765502413
1test,AIRM,D_tan,6,-0.01569502796793598
1test,AIRM,D_tan,7,0.031571448157612036
1test,AIRM,D_tan,8,0.007169095035321704
1test,AIRM,D_tan,9,0.017602618735603426
1test,AIRM,K_exact,1,0.20944909647886756
1test,AIRM,K_exact,2,-0.087018879212575
1test,AIRM,K_exact,3,0.18833244425909046
1test,AIRM,K_exact,4,0.2194459364012349
1test,AIRM,K_exact,5,0.05026020569231093
1test,AIRM,K_exact,6,-0.07979745083651146
1test,AIRM,K_exact,7,0.23041486055898464
1test,AIRM,K_exact,8,0.05877486547955535
1test,AIRM,K_exact,9,0.16035742149979093
1test,AIRM,G0,1,0.20956960847682016
1test,AIRM,G0,2,-0.08702153236909216
1test,AIRM,G0,3,0.18851306277740632
1test,AIRM,G0,4,0.21955373620656093
1test,AIRM,G0,5,0.05027224721989121
1test,AIRM,G0,6,-0.07980358214040006
1test,AIRM,G0,7,0.23050186507981785
1test,AIRM,G0,8,0.0587818544460712
1test,AIRM,G0,9,0.1604707688361502
1test,AIRM,G,1,0.20956966189328596
1test,AIRM,G,2,-0.08702179507710484
1test,AIRM,G,3,0.18851311074722366
1test,AIRM,G,4,0.21955370645411398
1test,AIRM,G,5,0.05027212874121856
1test,AIRM,G,6,-0.0798032525246235
1test,AIRM,G,7,0.23050185202752882
1test,AIRM,G,8,0.05878286936895627
1test,AIRM,G,9,0.16047054075000877
1test,LE,D_exact,1,0.032160258958390475
1test,LE,D_exact,2,-0.013006309132726601
1test,LE,D_exact,3,0.0263145736013084
1test,LE,D_exact,4,0.033641798477193396
1test,LE,D_exact,5,0.007970911873226738
1test,LE,D_exact,6,-0.016779633678631223
1test,LE,D_exact,7,0.038200084643666754
1test,LE,D_exact,8,0.008690043811628967
1test,LE,D_exact,9,0.02192460140238972
1test,LE,D_tan,1,0.03216025895839025
