session,geometry,subject,split,pi_left_hand,pi_right_hand,pi_feet,pi_tongue,balanced,anchor_energy,trace_G,anchor_fraction
0train,AIRM,1,A,0.25,0.25,0.25,0.25,True,8.769591181657932e-06,4.717813227832307,1.8588254257126017e-06
0train,AIRM,1,B,0.25,0.25,0.25,0.25,True,1.5133899600526524e-05,5.164351200831494,2.930455155352306e-06
0train,AIRM,1,F,0.25,0.25,0.25,0.25,True,8.122788662807967e-06,4.780001496764575,1.6993276400239654e-06
0train,AIRM,2,A,0.25,0.25,0.25,0.25,True,1.3607194782822365e-06,1.190551137014164,1.1429324083422787e-06
0train,AIRM,2,B,0.25,0.25,0.25,0.25,True,1.165893225109349e-06,0.8598691902268046,1.355896034374514e-06
0train,AIRM,2,F,0.25,0.25,0.25,0.25,True,5.309085693649225e-07,0.8612327713392195,6.164518897015008e-07
0train,AIRM,3,A,0.25,0.25,0.25,0.25,True,1.241188709318053e-05,5.73024449928522,2.1660309773394075e-06
0train,AIRM,3,B,0.25,0.25,0.25,0.25,True,8.30935508910717e-06,2.5483441651054637,3.260687941168765e-06
0train,AIRM,3,F,0.25,0.25,0.25,0.25,True,6.399743745100911e-06,3.749866491901887,1.7066590927761373e-06
0train,AIRM,4,A,0.25,0.25,0.25,0.25,True,9.076339303603232e-07,0.6090981105667176,1.4901276405468434e-06
0train,AIRM,4,B,0.25,0.25,0.25,0.25,True,1.0334077816791937e-06,0.8485298527869074,1.2178802882244793e-06
0train,AIRM,4,F,0.25,0.25,0.25,0.25,True,3.8509798916874435e-07,0.5736506128904243,6.713110393596036e-07
0train,AIRM,5,A,0.25,0.25,0.25,0.25,True,8.02172016647288e-07,0.40030460395454537,2.003904048873679e-06
0train,AIRM,5,B,0.25,0.25,0.25,0.25,True,1.4185932886310248e-06,0.5527825241434483,2.566277381560088e-06
0train,AIRM,5,F,0.25,0.25,0.25,0.25,True,5.268784649418361e-07,0.3288522090124809,1.6021740176963186e-06
0train,AIRM,6,A,0.25,0.25,0.25,0.25,True,5.501763173084394e-06,1.0508138260109174,5.235716391332706e-06
0train,AIRM,6,B,0.25,0.25,0.25,0.25,True,4.608462081997361e-06,1.1392368571632185,4.04521856277786e-06
0train,AIRM,6,F,0.25,0.25,0.25,0.25,True,1.9751841988215404e-06,0.8669559642454205,2.2782981838537755e-06
0train,AIRM,7,A,0.25,0.25,0.25,0.25,True,4.120915710921838e-06,2.940893082927051,1.4012463543286376e-06
0train,AIRM,7,B,0.25,0.25,0.25,0.25,True,2.334495938510414e-06,1.8111879358625593,1.2889308129134787e-06
0train,AIRM,7,F,0.25,0.25,0.25,0.25,True,1.9660728910186887e-06,2.1840000289826595,9.002165132454304e-07
0train,AIRM,8,A,0.25,0.25,0.25,0.25,True,1.4562596299373676e-05,3.8600384996020525,3.7726557133756554e-06
0train,AIRM,8,B,0.25,0.25,0.25,0.25,True,1.1422069638212379e-05,3.06605664998104,3.7253289622952693e-06
0train,AIRM,8,F,0.25,0.25,0.25,0.25,True,8.1446169698067e-06,3.241538134954867,2.512577866038309e-06
0train,AIRM,9,A,0.25,0.25,0.25,0.25,True,1.5442823328868684e-05,4.000054574026472,3.860653159370241e-06
0train,AIRM,9,B,0.25,0.25,0.25,0.25,True,1.4078691231750491e-05,3.830435139728964,3.6754809096563056e-06
0train,AIRM,9,F,0.25,0.25,0.25,0.25,True,8.81749072961964e-06,3.6516504532597933,2.414659026782903e-06
0train,LE,1,A,0.25,0.25,0.25,0.25,True,-8.326672684688674e-17,3.731732963059173,-2.2313152540965028e-17
