session,geometry,subject,split,D_tan_reconstruction_relative_error,G0_formula_relative_error,D_tan_translation_relative_error,K_exact_formula_relative_error,LE_D_exact_D_tan_relative_error,LE_G_G0_relative_error,LE_K_exact_G0_relative_error,permutation_equivariance_max_relative_error,common_scaling_shape_max_relative_error,AIRM_curvature_min_scaled,q_cleanup_max,K_exact_psd_clipped,passed,object,v1_null_distribution_relative_error,v1_summary_max_absolute_error
0train,AIRM,1.0,A,1.7615165347435308e-16,0.0,5.714740034963949e-17,0.0,,,,1.5730414634629825e-16,1.4946834900704541e-16,0.0,0.0,False,True,,,
0train,AIRM,1.0,B,1.0016578445680985e-16,0.0,3.862290176374142e-17,0.0,,,,1.21420871985809e-16,1.3311106448512297e-16,0.0,0.0,False,True,,,
0train,AIRM,1.0,F,1.1771717478376355e-16,0.0,5.677441866848129e-17,0.0,,,,1.60185835273502e-16,1.415262216750919e-16,0.0,0.0,False,True,,,
0train,AIRM,2.0,A,1.0992278991846038e-16,0.0,0.0,0.0,,,,1.3122395350904494e-16,1.907900109159368e-16,0.0,0.0,False,True,,,
0train,AIRM,2.0,B,8.839984841289079e-17,0.0,6.692990742551896e-17,0.0,,,,1.3941589881812492e-16,1.9444385364611536e-16,0.0,0.0,False,True,,,
0train,AIRM,2.0,F,7.67149759081111e-17,0.0,8.459320780477335e-17,0.0,,,,1.3456210823551865e-16,1.5469220910896388e-16,0.0,0.0,False,True,,,
0train,AIRM,3.0,A,1.3636127139073614e-16,0.0,6.559043823097794e-17,0.0,,,,1.148357065384503e-16,1.9229626863835638e-16,0.0,0.0,False,True,,,
0train,AIRM,3.0,B,5.062988793259914e-17,0.0,9.200322391449756e-17,0.0,,,,1.3021906925588145e-16,1.594813855221478e-16,0.0,0.0,False,True,,,
0train,AIRM,3.0,F,4.681991519437481e-17,0.0,9.930347280355769e-17,0.0,,,,1.0609948424606184e-16,1.8410966031475738e-16,0.0,0.0,False,True,,,
0train,AIRM,4.0,A,9.567352952012148e-17,0.0,1.0058955807189164e-16,0.0,,,,1.314745216070766e-16,2.0770370905276122e-16,0.0,0.0,False,True,,,
0train,AIRM,4.0,B,7.264673562589412e-17,0.0,5.218892612339499e-17,0.0,,,,1.3625939979709145e-16,2.3263411494723067e-16,0.0,0.0,False,True,,,
0train,AIRM,4.0,F,9.670756765730729e-17,0.0,7.773799719852925e-17,0.0,,,,1.3577649278267968e-16,1.8631931528314482e-16,0.0,0.0,False,True,,,
0train,AIRM,5.0,A,1.033998798279553e-16,0.0,6.203998503510326e-17,0.0,,,,1.1758291433886354e-16,1.8200548080610225e-16,0.0,0.0,False,True,,,
0train,AIRM,5.0,B,1.383880676876162e-16,0.0,3.733148923302908e-17,0.0,,,,1.284814962647277e-16,2.0014830212433605e-16,0.0,0.0,False,True,,,
0train,AIRM,5.0,F,0.0,0.0,0.0,0.0,,,,1.3436994986284629e-16,1.9229626863835638e-16,0.0,0.0,False,True,,,
0train,AIRM,6.0,A,3.084584867803432e-17,0.0,0.0,0.0,,,,1.5380742881525452e-16,1.5700924586837752e-16,0.0,0.0,False,True,,,
0train,AIRM,6.0,B,1.2355668069813375e-16,0.0,1.560263643908662e-16,0.0,,,,1.7102139904003515e-16,1.689731085869606e-16,0.0,0.0,False,True,,,
0train,AIRM,6.0,F,8.975807249038915e-17,0.0,4.215690274425816e-17,0.0,,,,1.556036967071765e-16,1.3597399555105185e-16,0.0,0.0,False,True,,,
0train,AIRM,7.0,A,8.921440753168247e-17,0.0,1.3733400516421956e-16,0.0,,,,1.3649310776018191e-16,1.6243534171511178e-16,0.0,0.0,False,True,,,
0train,AIRM,7.0,B,7.538259889244044e-17,0.0,9.673439951327362e-17,0.0,,,,1.4980324266981042e-16,1.8619006149354548e-16,0.0,0.0,False,True,,,
0train,AIRM,7.0,F,1.2319228550209297e-16,0.0,1.2171646920578357e-16,0.0,,,,1.577810021465799e-16,1.5202354861220294e-16,0.0,0.0,False,True,,,
0train,AIRM,8.0,A,1.2422889823304582e-16,0.0,4.893823704827471e-17,0.0,,,,1.8470879777883074e-16,1.8619006149354548e-16,0.0,0.0,False,True,,,
0train,AIRM,8.0,B,8.605088236330082e-17,0.0,6.340498121212026e-17,0.0,,,,2.236364931554288e-16,1.1102230246251565e-16,0.0,0.0,False,True,,,
0train,AIRM,8.0,F,4.0109423962520994e-17,0.0,1.3959947322014285e-16,0.0,,,,9.315894255504173e-17,2.039609933265777e-16,0.0,0.0,False,True,,,
0train,AIRM,9.0,A,1.6494785042485454e-16,0.0,7.850469356162402e-17,0.0,,,,1.8691199227109754e-16,1.1443916996305594e-16,0.0,0.0,False,True,,,
0train,AIRM,9.0,B,7.298703448364744e-17,0.0,1.0226594747423628e-16,0.0,,,,1.0922376897742015e-16,1.2528499130684399e-16,0.0,0.0,False,True,,,
0train,AIRM,9.0,F,1.5377886358663388e-17,0.0,4.593119412261957e-17,0.0,,,,1.5537902421225336e-16,1.6971944417402975e-16,0.0,0.0,False,True,,,
0train,LE,1.0,A,1.6279812740028137e-16,0.0,4.063871364676191e-17,0.0,2.6241492701331607e-16,1.170952123041556e-14,2.360733278458737e-16,1.4121904444376494e-16,1.798766884999431e-16,,0.0,False,True,,,
0train,LE,1.0,B,1.089034470242001e-16,0.0,7.895580266441432e-17,0.0,1.510219085848191e-16,1.9580946031030106e-14,2.6010604249343226e-16,9.139194749464312e-17,1.7987668849994305e-16,,0.0,False,True,,,
0train,LE,1.0,F,1.319062585256134e-16,0.0,5.99881993678389e-17,0.0,1.5460807769334065e-16,2.622357132843297e-14,3.4306067137129996e-16,1.6623434441866969e-16,1.5202354861220294e-16,,0.0,False,True,,,
0train,LE,2.0,A,1.3208806629124093e-16,0.0,2.0119052128444257e-17,0.0,1.432696234646995e-16,6.198295584315243e-14,3.145647926212517e-16,1.2147016524349392e-16,1.7113203153366236e-16,,0.0,False,True,,,
0train,LE,2.0,B,9.676103127610372e-17,0.0,8.768311074570323e-17,0.0,4.740303072238766e-16,7.107188915366698e-14,6.05738427260972e-16,1.4968757134081842e-16,2.0955000055363631e-16,,0.0,False,True,,,
0train,LE,2.0,F,1.2864772414632273e-16,0.0,8.606171982270451e-17,0.0,2.341423921977691e-16,1.3304431138065022e-13,4.1939232634175214e-16,1.8903424475706219e-16,1.4321715647129733e-16,,0.0,False,True,,,
0train,LE,3.0,A,1.0140180680802519e-16,0.0,9.44210298595753e-17,0.0,3.3450845310935503e-16,1.8770324981941863e-14,2.9077203402149384e-16,1.369857688099776e-16,1.3597399555105182e-16,,0.0,False,True,,,
0train,LE,3.0,B,1.0633290368963262e-16,0.0,1.0195127501740374e-16,0.0,2.693533697184625e-16,1.521491304540974e-13,3.858107807979555e-16,1.3206510392566038e-16,1.716587549445839e-16,,0.0,False,True,,,
0train,LE,3.0,F,1.2227405107959561e-16,0.0,3.12929981838849e-17,0.0,0.0,1.9346571951500304e-14,1.4316248621759578e-16,1.2940126532350045e-16,1.8722159327344614e-16,,0.0,False,True,,,
0train,LE,4.0,A,1.2954010488811981e-16,0.0,5.74430186810582e-17,0.0,3.1321270075145995e-16,1.453872611877328e-13,4.8640409126303e-16,1.658511177422453e-16,1.7775626050888642e-16,,0.0,False,True,,,
0train,LE,4.0,B,1.02644778374522e-16,0.0,7.307220221089898e-17,0.0,2.1469695749602969e-16,2.1646176181897565e-13,2.447367340259478e-16,1.6363143129319403e-16,1.8824747269678055e-16,,0.0,False,True,,,
0train,LE,4.0,F,1.5320632111792543e-16,0.0,9.015679358125327e-17,0.0,1.4951405995515984e-16,1.840905142516196e-13,2.439681917014306e-16,1.2621224715956246e-16,1.9229626863835638e-16,,0.0,False,True,,,
0train,LE,5.0,A,1.0024352442477347e-16,0.0,1.0265746691047102e-16,0.0,1.8301879857089508e-16,1.8046976540055322e-13,2.8843417292761016e-16,2.078058004849418e-16,1.6004645656917941e-16,,0.0,False,True,,,
0train,LE,5.0,B,1.0663737681761632e-16,0.0,5.2941974878259576e-17,0.0,1.6860849722465278e-16,4.395321317266073e-13,2.436135305191023e-16,1.2657007187561639e-16,1.716587549445839e-16,,0.0,False,True,,,
0train,LE,5.0,F,8.79553758141495e-17,0.0,6.926189583246226e-17,0.0,3.357480155733388e-16,2.2724777321564007e-13,3.8207747883952526e-16,1.3661573136496397e-16,2.5781516093058697e-16,,0.0,False,True,,,
0train,LE,6.0,A,9.499388438108475e-17,0.0,6.370523351349658e-17,0.0,1.2015881537236888e-16,2.1256626025705906e-13,3.651457349945132e-16,1.686952490055574e-16,1.2719202621569003e-16,,0.0,False,True,,,
0train,LE,6.0,B,9.388299995834696e-17,0.0,4.1978788525890135e-17,0.0,2.326870247136686e-16,2.355743286108468e-13,3.4311835898087675e-16,1.2428413374943788e-16,2.1499376424746292e-16,,0.0,False,True,,,
