session,geometry,object,observed,null_median,effect,p_value,replicates,status
0train,AIRM,D_exact,0.9922532832994543,0.9894833875409792,0.0027698957584751,0.2005,1999,EXACT_V1_REGRESSION
0train,AIRM,D_tan,0.9922461974159487,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
0train,AIRM,K_exact,0.9432139518061056,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
0train,AIRM,G0,0.9432230476413199,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
0train,AIRM,G,0.9432225992969152,0.905211943841214,0.0380106554557011,0.08,1999,EXACT_V1_REGRESSION
0train,LE,D_exact,0.9911705648188278,0.9863429002903612,0.0048276645284667,0.119,1999,EXACT_V1_REGRESSION
0train,LE,D_tan,0.9911705648188278,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
0train,LE,K_exact,0.945733581410213,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
0train,LE,G0,0.9457335814102129,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
0train,LE,G,0.9457335814102129,0.8797442738296118,0.065989307580601,0.0095,1999,EXACT_V1_REGRESSION
1test,AIRM,D_exact,0.9957063448666952,0.986720502459426,0.008985842407269,0.002,1999,EXACT_V1_REGRESSION
1test,AIRM,D_tan,0.995702253057612,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
1test,AIRM,K_exact,0.9730352362891252,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
1test,AIRM,G0,0.9730242459657015,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
1test,AIRM,G,0.9730239362285069,0.8823795406029393,0.0906443956255675,0.0005,1999,EXACT_V1_REGRESSION
1test,LE,D_exact,0.994121697631731,0.9826964369272592,0.0114252607044718,0.001,1999,EXACT_V1_REGRESSION
1test,LE,D_tan,0.994121697631731,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
1test,LE,K_exact,0.9662802849304559,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
1test,LE,G0,0.9662802849304561,,,,0,NOT_COMPUTABLE_FROM_IMMUTABLE_SOURCE
1test,LE,G,0.9662802849304561,0.8543389854101096,0.1119412995203466,0.0005,1999,EXACT_V1_REGRESSION
