subject,protocol,split,fit_scope,fit_n,airm_tol,airm_maxiter,airm_warning_count,airm_iteration_count,airm_termination_reason,airm_normalized_karcher_residual,d_le_le_airm,d_airm_le_airm,d_le_le_ea,d_airm_airm_ea,le_dispersion,airm_dispersion,normalized_d_le_le_airm,normalized_d_airm_le_airm,normalized_d_le_le_ea,normalized_d_airm_airm_ea,le_airm_relative_frobenius,le_center_min_eigenvalue,le_center_max_eigenvalue,le_center_condition_number,airm_center_min_eigenvalue,airm_center_max_eigenvalue,airm_center_condition_number,ea_center_min_eigenvalue,ea_center_max_eigenvalue,ea_center_condition_number,le_airm_coordinate_difference_mean_l2,le_airm_coordinate_difference_median_l2,le_airm_coordinate_difference_maximum_l2
1,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,5.287342438608051e-11,0.2029903368929004,0.2064558865049765,0.618389569145425,0.6582721230070275,1.8735160961255923,2.2184627464846525,0.1083472607001786,0.09306258887246309,0.3300689918940365,0.2967244431082366,0.08800825642372974,1.0908693885881488e-13,3.9103590584344524e-10,3584.6262617153566,1.1094872990506878e-13,3.5962163110780403e-10,3241.331662070468,1.1635993026423505e-13,4.051057589324561e-10,3481.4884987686464,0.6816636789142743,0.6671683002548798,0.9542931196112059
1,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,5.1461282372312184e-11,0.20681151493351874,0.21048932777253912,0.6186101647771677,0.6565312985192785,1.8743274029915062,2.2237007358587593,0.11033905528107776,0.09465721910248474,0.33004381400487426,0.2952426502056879,0.0861741851152294,1.0535162209668423e-13,3.7228473594597045e-10,3533.7352053707723,1.0718610983862785e-13,3.430137628578339e-10,3200.169904237146,1.125578847108067e-13,3.853412078954475e-10,3423.493688474148,0.6868297267751543,0.6706616336474469,0.9423177664987066
1,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,5.4828449002284404e-11,0.19715789931039548,0.20084602537636115,0.6113270462933094,0.6545440858249401,1.856496551245842,2.194673584684187,0.1061989041552964,0.09151521519099289,0.32929069859196086,0.29824211235454806,0.08780096774058695,1.1276368424561521e-13,4.108511706533719e-10,3643.4706209002543,1.1462969073977776e-13,3.7787454013357604e-10,3296.480499030514,1.1985743060976752e-13,4.249011233346124e-10,3545.0544966044517,0.6701845925325531,0.656539357471114,0.9105255084988295
2,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,4.0554657808034e-11,0.157756651002621,0.15958031675387013,0.5320711624633881,0.5408229597553158,1.7716233967378692,2.0626463652030567,0.08904638045145596,0.07736678446000136,0.30032972213118375,0.26219858569991694,0.0892076482795702,9.325222224618878e-14,4.784430121812006e-10,5130.6338943655,9.45263962975237e-14,4.3920565215624017e-10,4646.381004241733,9.808595405952569e-14,4.964180393722206e-10,5061.051239517516,0.5988914478057493,0.5896733713726001,0.9540609046551609
2,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,3.12350545463896e-11,0.1523166786944222,0.1539393549972973,0.4732514289753585,0.4809846217459921,1.684051432238387,1.9802330611543149,0.09044657174868333,0.07773799863111222,0.28101958165632024,0.24289293577677024,0.09701521421652937,9.213251530055437e-14,4.740061731334875e-10,5144.83048234585,9.339306553331957e-14,4.3202211060758465e-10,4625.847841491544,9.695180807755566e-14,4.926408661507696e-10,5081.296325661986,0.5966669176804139,0.5866416010452944,0.9460331861113113
2,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,4.2663119157265105e-11,0.16169696317635746,0.16447687187433352,0.5253344057303462,0.5352700645545204,1.777306915884575,2.067816619131895,0.09097863837202255,0.07954132409641998,0.2955788901934726,0.2588576083595053,0.08149951447433157,9.376459074659522e-14,4.829436876024549e-10,5150.597723053482,9.499990177370261e-14,4.4652229235602834e-10,4700.239516243714,9.827896943907678e-14,5.002052174794378e-10,5089.646547316671,0.5944734910341292,0.5867589885768791,0.871909029923535
3,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,5.0307421748534577e-11,0.21387692810874565,0.22193360407000823,0.7127849247731379,0.7456747216556885,2.168638858281424,2.4836621420669203,0.09862265784457822,0.08935740506368293,0.32867848053686394,0.3002319474238686,0.10401701570881433,1.700321812086963e-13,8.158689462203886e-10,4798.3207674022415,1.7202627012649348e-13,7.397304873656927e-10,4300.101878752343,1.8108406335264176e-13,8.787656000068764e-10,4852.804734647327,0.7014697235950185,0.6814866164980908,1.0926061015483126
3,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,5.385021016447624e-11,0.22350315518968988,0.2318994031760561,0.746682934228952,0.784279537108562,2.231603504353352,2.5467254186529975,0.10015361364762419,0.09105787435015718,0.3345948026933741,0.30795606442856316,0.10553386453495303,1.5626462678802456e-13,7.48925521768795e-10,4792.6746901250035,1.5811623141730387e-13,6.780663600555496e-10,4288.404510894152,1.666777711333001e-13,8.122830879636675e-10,4873.373830479448,0.7118718340523552,0.6980718601758951,1.0577643848198859
3,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,4.6609876838885846e-11,0.20161296490263447,0.2096716121935923,0.6350975277053025,0.6678019312673007,2.009214457810543,2.3289994655030593,0.10034417387297409,0.09002647501608749,0.3160924535638537,0.2867333982505045,0.10088464195387055,1.8430429187635588e-13,8.888902649779757e-10,4822.949351468738,1.8638942243065612e-13,8.082621401756614e-10,4336.416356868992,1.945178318721254e-13,9.452691995264785e-10,4859.55035807664,0.6809940642249164,0.6708842404066855,1.0378641705696998
4,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,4.4246091448270914e-11,0.1532722646897371,0.1554728565928725,0.5132498496595935,0.5280922730968542,1.6468580465171494,1.9522168332601866,0.0930695059078615,0.07963913328891549,0.3116539708720116,0.27050902548306804,0.0794819463829186,9.537501874985819e-14,3.429974863792037e-10,3596.303213095973,9.670406410328453e-14,3.176119840202564e-10,3284.3705894411196,1.0039213256398377e-13,3.54126334558549e-10,3527.4311394157376,0.6067631640895504,0.5923661283908765,1.3744255715765623
4,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,6.24155289774825e-11,0.136334618101208,0.1376767239100883,0.379315711316959,0.3870445301082472,1.5182606023156553,1.8137033302644974,0.08979658557514439,0.07590917522879033,0.24983570721549755,0.21340013201155858,0.07085859047580818,8.980137019712263e-14,3.3040754691471293e-10,3679.315206320757,9.102564402439015e-14,3.0846274732905643e-10,3388.745563243743,9.397787504498658e-14,3.384948914416885e-10,3601.857259271432,0.578347129905148,0.5766202160898382,0.7456054604859444
4,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,6.359690356320729e-11,0.16877822047384886,0.17272014954290313,0.6200664787973518,0.6445692724367287,1.7092773944698822,2.027956504970662,0.0987424399456204,0.08516955325203182,0.3627652719233791,0.31784176379367346,0.08678371217201032,1.0119636174336219e-13,3.561707887701359e-10,3519.6007310361465,1.0260585454180733e-13,3.2756242183542215e-10,3192.4340311590604,1.0659348702687264e-13,3.6979998738139874e-10,3469.2549957406936,0.628670772038278,0.6122654732812292,1.3573743714975859
5,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,3.600696821389769e-11,0.1435676611971645,0.14542918126911272,0.48054344874291266,0.4954155322405953,1.6561280050554044,1.9374780117444832,0.08668874673872902,0.07506107444190808,0.2901608132197707,0.25570124111732695,0.06870959089954433,6.198022052690064e-14,2.536525351277093e-10,4092.4755183408734,6.288712124462518e-14,2.373444169043359e-10,3774.1339117923317,6.574149296628929e-14,2.6094590816175765e-10,3969.2726220191657,0.5671461022368631,0.5485018124738593,0.9575368192360354
5,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,3.357297183022959e-11,0.13841240072334143,0.13997380525306943,0.44787675392937915,0.4676119938103633,1.6258608212096577,1.903075876526893,0.08513176461215244,0.07355135282809698,0.27547053726047355,0.24571379395747142,0.06705994531793368,6.264402752552351e-14,2.444250124775149e-10,3901.808713974003,6.354770389414709e-14,2.2906011634734697e-10,3604.53804481902,6.578012945307467e-14,2.5087073198404277e-10,3813.77680569944,0.5624150673061474,0.5492263262747045,0.9077364464557143
5,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,4.108017202804698e-11,0.14366395896697515,0.1461266406456165,0.49781314764634665,0.5097959575946325,1.6264329977542513,1.910958569491977,0.08833069617091124,0.07646771781371683,0.30607664031270754,0.2667749922648298,0.06810858316757272,6.123111106750296e-14,2.632706608873027e-10,4299.622468014102,6.212133836539639e-14,2.464866779040763e-10,3967.8262637267558,6.5531852794201e-14,2.7103429373468234e-10,4135.916843154884,0.5618477364732688,0.5428616470219456,0.9894151231239188
6,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,5.051040966697851e-11,0.26829514410889166,0.2722794889868279,0.7927985967738733,0.8219363906720945,2.0919264337327492,2.500738822635484,0.12825266691150158,0.10887961850405371,0.3789801514956888,0.32867742254101945,0.12721401607053212,2.2302106399532068e-13,6.422862687476513e-10,2879.9354520213724,2.2723946305520333e-13,5.700705691647638e-10,2508.677680805277,2.3864347989359083e-13,6.871688413655983e-10,2879.4788010634156,0.8014654690452372,0.782144907887103,1.3881526515740599
6,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,5.0944628590071594e-11,0.26499696405336837,0.2696899914512099,0.768778101192783,0.7953058358304033,2.05196764897059,2.4602782157008396,0.1291428567045437,0.10961768052495864,0.37465410411243844,0.3232584960330801,0.1290594554891065,2.184096314815731e-13,6.059198925506889e-10,2774.2361380331777,2.22460961799324e-13,5.368449358462013e-10,2413.209632395973,2.3301286878178074e-13,6.522856200071763e-10,2799.3544880907384,0.7957610797948911,0.7729263910820598,1.2361694851278922
6,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,5.311612877845878e-11,0.26768501111295323,0.27159515934629064,0.7999620001938182,0.83443840375365,2.0835686484172515,2.4918115352348864,0.12847429400336569,0.10899506463705698,0.38393839377526445,0.3348721971764181,0.12211718232895036,2.2721090428388028e-13,6.810631030095901e-10,2997.4930347474037,2.314920318393692e-13,6.073546475624993e-10,2623.652497827393,2.433255847359399e-13,7.221205458126316e-10,2967.713183947698,0.7985574844095615,0.7786797694891212,1.3991752600619618
7,T1,ALL,all_subject_0train_whole_trials,288,1e-09,100,0,,NA_API_UNAVAILABLE,6.937334825335457e-11,0.16755923136391646,0.16876600566233305,0.49814340595401413,0.5031622607586789,1.7422224944968254,2.0599602104085806,0.09617556419641428,0.08192682791133103,0.2859241041414081,0.24425824257007359,0.0865270997049135,9.658725442182666e-14,3.1058219532458286e-10,3215.5608644612007,9.841855192580735e-14,2.8579917809718484e-10,2903.9156998838394,1.0294129566050907e-13,3.2257713829826745e-10,3133.602858099797,0.6285919791345501,0.6196820374335483,0.842269280758954
7,T2,A,calibration_runs_0_1_2,144,1e-09,100,0,,NA_API_UNAVAILABLE,3.0759811156511903e-11,0.1650353886890677,0.1664659965146004,0.5073579335411441,0.5131655115041042,1.7426923649309276,2.0569140327098463,0.0947013896486595,0.08092997270055696,0.29113453627901414,0.24948320802111648,0.08540702843180825,9.467811373226603e-14,3.047600504862117e-10,3218.9070786520156,9.637952729113654e-14,2.8070496858553106e-10,2912.49580149524,1.0078604627190105e-13,3.1618478103832806e-10,3137.1880605904844,0.6218636493600455,0.6155876176035102,0.807337834395219
7,T2,B,calibration_runs_3_4_5,144,1e-09,100,0,,NA_API_UNAVAILABLE,6.645791980261859e-11,0.16832332367921068,0.16971695508240542,0.47897573763556484,0.48573559404001415,1.7152146865504898,2.0352120575222616,0.09813542584440542,0.08339030542548219,0.2792511872661519,0.23866583938745217,0.08650946901067237,9.839186869439941e-14,3.1654271234820715e-10,3217.1633342118357,1.0031811425570228e-13,2.9131356855687923e-10,2903.8979721483392,1.0486141244351164e-13,3.289812950981964e-10,3137.2960503981108,0.6293299052715192,0.6242592134549352,0.8345585154564141
