protocol_version,config_sha256,seed,subject,target_subject,source_subjects,geometry,protocol,split,decoder,metric,native_metric,source_n,source_center_fit_n_per_subject,source_center_fit_n_total,calibration_n,target_center_fit_n,target_center_fit_instances,evaluation_n,source_trial_uid_hash,fit_trial_uid_hash,calibration_trial_uid_hash,evaluation_trial_uid_hash,source_target_overlap_n,center_evaluation_overlap_n,transductive_overlap,source_feature_sha256,source_label_sha256,target_input_sha256,feature_config_sha256,model_config_sha256,fitted_model_sha256,prediction_sha256,balanced_accuracy,accuracy,macro_f1,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,confusion_matrix_json,confusion_left_hand__left_hand,confusion_left_hand__right_hand,confusion_left_hand__feet,confusion_left_hand__tongue,confusion_right_hand__left_hand,confusion_right_hand__right_hand,confusion_right_hand__feet,confusion_right_hand__tongue,confusion_feet__left_hand,confusion_feet__right_hand,confusion_feet__feet,confusion_feet__tongue,confusion_tongue__left_hand,confusion_tongue__right_hand,confusion_tongue__feet,confusion_tongue__tongue,convergence_warning,warning_messages,status,primary_run_status,primary_failure_count,secondary_run_status,secondary_failure_count
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",RAW,T2,A,logistic,euclidean_log_svec,euclidean_log_svec,2304,0,0,144,0,0,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,not_applicable,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,0,0,not_applicable,5dd62cfcf62f25c1bad7de4ff43119ec7b4dff92ab1adf3754828ec3e480da57,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,dd57adaf9a437df242033a127f3b127f75fc9f0faae1413ce173604fd9b385ab,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,ba548136e4193f7ad42d5a52fc747ac76401884a23dbce22a5fbe900b812b77d,b01f9c717e741d4a0743e39187abc8a605a9b61d08628992698a238c2095b627,0.4375,0.4375,0.3282403217697336,0.7222222222222222,0.9444444444444444,0.08333333333333333,0.0,"[[26,10,0,0],[2,34,0,0],[9,24,3,0],[12,13,11,0]]",26,10,0,0,2,34,0,0,9,24,3,0,12,13,11,0,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",RAW,T2,B,logistic,euclidean_log_svec,euclidean_log_svec,2304,0,0,144,0,0,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,not_applicable,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,0,0,not_applicable,5dd62cfcf62f25c1bad7de4ff43119ec7b4dff92ab1adf3754828ec3e480da57,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,81bb936ad548b9b517717d64b33e43504a709eacca99d257bd4fe76e7b658c10,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,ba548136e4193f7ad42d5a52fc747ac76401884a23dbce22a5fbe900b812b77d,0267385009bdf93221217cd9406e3ec62cf915e6eb62c9d23e9c0940033f2873,0.46527777777777773,0.4652777777777778,0.3894752306517012,0.6388888888888888,0.8888888888888888,0.3333333333333333,0.0,"[[23,12,1,0],[4,32,0,0],[9,15,12,0],[19,15,2,0]]",23,12,1,0,4,32,0,0,9,15,12,0,19,15,2,0,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",RAW,T2,AGGREGATE,logistic,euclidean_log_svec,euclidean_log_svec,2304,0,0,288,0,0,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,not_applicable,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,0,not_applicable,5dd62cfcf62f25c1bad7de4ff43119ec7b4dff92ab1adf3754828ec3e480da57,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,e6bb7b8d8802fcf422afea347d566f7acb6b3338ea8f7e9b3a1e65adc0296f1e,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,ba548136e4193f7ad42d5a52fc747ac76401884a23dbce22a5fbe900b812b77d,acfbc2329d4e39a445f6284e9c1abc582e16d745996a154faa762717ed34e8ed,0.4513888888888889,0.4513888888888889,0.35883642053632675,0.6805555555555556,0.9166666666666666,0.20833333333333334,0.0,"[[49,22,1,0],[6,66,0,0],[18,39,15,0],[31,28,13,0]]",49,22,1,0,6,66,0,0,18,39,15,0,31,28,13,0,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",LE,T2,A,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,144,144,1,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,0,0,False,5527f9cc23c80d1dae8d8a5f4c8dd5443033ac1a0e9f3fe7204488fa07786c47,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,92c9bb9d2da852a9568ec0d43f31ddb52b166d3a46a2f0abbb637ee71dfc492f,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,ca8a7f1891c6c824aeb580d4f05856b986624acdc94815543b6e90254952b053,e7f03c7b827a5a39a70d4a1539749e314c11d78173acae09882ae19c4f9e5dce,0.6805555555555556,0.6805555555555556,0.6443452380952381,0.8333333333333334,0.8888888888888888,0.19444444444444445,0.8055555555555556,"[[30,5,0,1],[4,32,0,0],[2,9,7,18],[0,2,5,29]]",30,5,0,1,4,32,0,0,2,9,7,18,0,2,5,29,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",LE,T2,B,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,144,144,1,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,0,0,False,5527f9cc23c80d1dae8d8a5f4c8dd5443033ac1a0e9f3fe7204488fa07786c47,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,467aa18383696f0ef7aea804783b70ae17e9af7e8fc3ea1f99c08011fed84566,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,ca8a7f1891c6c824aeb580d4f05856b986624acdc94815543b6e90254952b053,a026a62050e0661cd770174df70e0e92afa07ef2efeabcb0c879b2c5bbbedc01,0.6458333333333333,0.6458333333333334,0.6441026346353689,0.7777777777777778,0.6111111111111112,0.6666666666666666,0.5277777777777778,"[[28,4,4,0],[13,22,1,0],[2,5,24,5],[3,3,11,19]]",28,4,4,0,13,22,1,0,2,5,24,5,3,3,11,19,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",LE,T2,AGGREGATE,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,288,288,2,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,0,False,5527f9cc23c80d1dae8d8a5f4c8dd5443033ac1a0e9f3fe7204488fa07786c47,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,9b1368cf0d246f042b87afd58d4255b497e51e8a4cef37aa5545ea12383a1a67,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,ca8a7f1891c6c824aeb580d4f05856b986624acdc94815543b6e90254952b053,b196438bc106cf586fc83483fffae783621fc29b81b2e83f0b289b8e2538b778,0.6631944444444444,0.6631944444444444,0.6553030303030303,0.8055555555555556,0.75,0.4305555555555556,0.6666666666666666,"[[58,9,4,1],[17,54,1,0],[4,14,31,23],[3,5,16,48]]",58,9,4,1,17,54,1,0,4,14,31,23,3,5,16,48,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",AIRM,T2,A,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,144,144,1,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,0,0,False,db34c7910d198b73c6dbc8554aebc68f6407055625ce20ae25c4756f7ab6bf02,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,14673270026b5a4399d0cb2fd29312a3bce604a2feff74e520629fa93dadbb5d,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,e4f92b711274e363095c2c7a3af5ca9a722786a77270e30583ce1958d279d3a9,46f0558bc1d39c32fdde81f1af89547165a438649a0496cf1ead44957da1abd0,0.6875,0.6875,0.6486504735749861,0.8055555555555556,0.8888888888888888,0.19444444444444445,0.8611111111111112,"[[29,7,0,0],[4,32,0,0],[3,10,7,16],[0,1,4,31]]",29,7,0,0,4,32,0,0,3,10,7,16,0,1,4,31,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",AIRM,T2,B,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,144,144,1,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,0,0,False,db34c7910d198b73c6dbc8554aebc68f6407055625ce20ae25c4756f7ab6bf02,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,987363f3ff5f2f9ba130f2d762557456a434c03da51debddf4d1cefde1e93ba1,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,e4f92b711274e363095c2c7a3af5ca9a722786a77270e30583ce1958d279d3a9,7d7a684446a760a25ebddd001c1a4be9eb6289c6e52ea9c8344f9db0469f6fe6,0.6458333333333333,0.6458333333333334,0.646217072216406,0.75,0.6388888888888888,0.6388888888888888,0.5555555555555556,"[[27,4,5,0],[9,23,3,1],[2,5,23,6],[2,2,12,20]]",27,4,5,0,9,23,3,1,2,5,23,6,2,2,12,20,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",AIRM,T2,AGGREGATE,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,288,288,2,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,0,False,db34c7910d198b73c6dbc8554aebc68f6407055625ce20ae25c4756f7ab6bf02,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,a42030f907d9d72422a559d48c7d3f078e22e45762d7768b1919288b66e02f0f,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,e4f92b711274e363095c2c7a3af5ca9a722786a77270e30583ce1958d279d3a9,40993bbd2afb83baa61012391eb1f534e08060d4b9ca1f6c3ad4e2daf98f982c,0.6666666666666666,0.6666666666666666,0.6591763937654349,0.7777777777777778,0.7638888888888888,0.4166666666666667,0.7083333333333334,"[[56,11,5,0],[13,55,3,1],[5,15,30,22],[2,3,16,51]]",56,11,5,0,13,55,3,1,5,15,30,22,2,3,16,51,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",EA,T2,A,logistic,euclidean_log_svec,euclidean_log_svec,2304,288,2304,144,144,1,144,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,240e0752f0377c4fb6dc56e86086a12c75c660b8ca72215ed8c4469e1376816c,5ea6667e21c268ca42417d2fb0585b0e90c9c3b02ec63e7941b8c995e8d5fc43,0,0,False,457166bcc86c09c0efbd20c371644efa5f7679f166becee08bcfd88d0e382435,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,9c3c59aa5fc56f10bb8df6315ce083b9b22ec09c0bcf5532a5444d187249f44c,08ed244f310605414b659256363166c79fb5d699a344e7233bcc070e95937c12,bad18b2f5f99af9bc14bc370e13be60ca579f53458ecfbb0b7f5888393ecc916,064f3f433d63d138b8222d9668aa63a51f52de1c6a72d0cdce2b2c5a1b78efd4,81b92c6d52ca30ac74785762e2242d461d2a37e67d4d7a1ba8922f3a61ab7c86,0.6736111111111112,0.6736111111111112,0.623526966650463,0.8333333333333334,0.8611111111111112,0.1388888888888889,0.8611111111111112,"[[30,6,0,0],[5,31,0,0],[2,12,5,17],[1,2,2,31]]",30,6,0,0,5,31,0,0,2,12,5,17,1,2,2,31,False,[],PASS,FAILED,1,PASS,0
