protocol_version,config_sha256,seed,subject,target_subject,source_subjects,geometry,protocol,split,decoder,metric,native_metric,source_n,source_center_fit_n_per_subject,source_center_fit_n_total,calibration_n,target_center_fit_n,target_center_fit_instances,evaluation_n,source_trial_uid_hash,fit_trial_uid_hash,calibration_trial_uid_hash,evaluation_trial_uid_hash,source_target_overlap_n,center_evaluation_overlap_n,transductive_overlap,source_feature_sha256,source_label_sha256,target_input_sha256,feature_config_sha256,model_config_sha256,fitted_model_sha256,prediction_sha256,balanced_accuracy,accuracy,macro_f1,recall_left_hand,recall_right_hand,recall_feet,recall_tongue,confusion_matrix_json,confusion_left_hand__left_hand,confusion_left_hand__right_hand,confusion_left_hand__feet,confusion_left_hand__tongue,confusion_right_hand__left_hand,confusion_right_hand__right_hand,confusion_right_hand__feet,confusion_right_hand__tongue,confusion_feet__left_hand,confusion_feet__right_hand,confusion_feet__feet,confusion_feet__tongue,confusion_tongue__left_hand,confusion_tongue__right_hand,confusion_tongue__feet,confusion_tongue__tongue,convergence_warning,warning_messages,status,primary_run_status,primary_failure_count,secondary_run_status,secondary_failure_count
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",RAW,T1,ALL,MDM,riemann,riemann,2304,0,0,0,0,0,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,not_applicable,not_applicable,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,0,not_applicable,10a28138d65f5e0b1435dfcd389833cb7f0dae25ea44af3de6f694259406d63f,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,10128e0e6fb2182450b13b42efd4c1e24c072ba5ea7c9d1eee6af6d798a24cc5,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,5425444c778323273037ce5367ee3bb9dcc138fb81e799e0bbeecb882f6a1eb5,8be7431bfec8ee556fcd9937ac774dd1d517d7caac79186c1a79586bfebdc6c4,51a6e53f5c90273dc3e38033c736f11ba70f45e5209c2442cc028ee66cddedaf,0.4166666666666667,0.4166666666666667,0.3696914509134312,1.0,0.18055555555555555,0.19444444444444445,0.2916666666666667,"[[72,0,0,0],[59,13,0,0],[23,28,14,7],[13,8,30,21]]",72,0,0,0,59,13,0,0,23,28,14,7,13,8,30,21,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",RAW,T1,ALL,MDM,logeuclid,logeuclid,2304,0,0,0,0,0,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,not_applicable,not_applicable,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,0,not_applicable,10a28138d65f5e0b1435dfcd389833cb7f0dae25ea44af3de6f694259406d63f,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,10128e0e6fb2182450b13b42efd4c1e24c072ba5ea7c9d1eee6af6d798a24cc5,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,a2b29db0651a7f3cf288f9d58ca4306d578725e1219a1981c48e4b9f5de21049,012f78a7c0be149dcc7df612524ed1b4710d5aeb8d2cb3eeedf899794efc30b3,e42ac3465f1df469177247253e086a9cc93bd7eda9ad77f8a0beb793127e2bcc,0.4131944444444445,0.4131944444444444,0.3648876817994465,1.0,0.1527777777777778,0.19444444444444445,0.3055555555555556,"[[72,0,0,0],[61,11,0,0],[23,27,14,8],[15,10,25,22]]",72,0,0,0,61,11,0,0,23,27,14,8,15,10,25,22,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",LE,T1,ALL,MDM,logeuclid,logeuclid,2304,288,2304,288,288,1,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,288,True,d143d94e5cf7b9be680561206f7ff5a45466323ec1963e9d6674015b55b83605,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,cfa7cf297f9647e9b74c5aa2e90f542a09180c90db563fa970b54e13bc044c88,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,a2b29db0651a7f3cf288f9d58ca4306d578725e1219a1981c48e4b9f5de21049,9c9d747fd51cfbd1079907e25ea590661cd945ad4d43dadf5a3b373d437788d8,0c709e980a868adaf111a797d63fe000d2dba29f319b4c8eb6e96cc80b7c0593,0.5763888888888888,0.5763888888888888,0.5388491467752967,0.8333333333333334,0.2916666666666667,0.2916666666666667,0.8888888888888888,"[[60,4,3,5],[46,21,1,4],[5,6,21,40],[0,0,8,64]]",60,4,3,5,46,21,1,4,5,6,21,40,0,0,8,64,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",AIRM,T1,ALL,MDM,riemann,riemann,2304,288,2304,288,288,1,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,288,True,710367e21cd1405fe84ef46290b8d34d1c813bb6261ca8fd29f64d8e182f0035,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,393504c7f11467d9859c6699d820a5073932af66b6cdd72f3ba9430214c16501,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,5425444c778323273037ce5367ee3bb9dcc138fb81e799e0bbeecb882f6a1eb5,f7470458b9954f49463928fe4c9aa6b7ef65ca8b23569b7e72d5c49634113efe,25a1c78cd518a7c12b3b5ef0ba85f39e9a788e72d49025b6152c39a16c0f0ffa,0.6180555555555556,0.6180555555555556,0.5921254323047562,0.8472222222222222,0.3888888888888889,0.3472222222222222,0.8888888888888888,"[[61,4,3,4],[41,28,0,3],[3,6,25,38],[0,0,8,64]]",61,4,3,4,41,28,0,3,3,6,25,38,0,0,8,64,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,1,1,"[2,3,4,5,6,7,8,9]",EA,T1,ALL,MDM,riemann,riemann,2304,288,2304,288,288,1,288,70e764352a7314a332385309d73b620d4428406d4234c9dd45f2ff7503f2d98c,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,c293204e2862c16fc5706155d58a15f5b940222162b451966a2e59da52086469,0,288,True,158603ef3bdd9973e07d827617492849ee6e0f5f448611fe89234b761779c769,6d5ce1739901576cb6ade42db7ab79bebecff1177a516618337bbc4a997a1f70,7e759a54057617a254cc4e1f5562d39fea68c53cb0439affcfb8662734cabe31,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,5425444c778323273037ce5367ee3bb9dcc138fb81e799e0bbeecb882f6a1eb5,6c919c5b67551548c1b5bc2e1a3477ed7e99c0cf85f51cfb89a0edc85866f215,29da6d30a8ceaa6cbb6238aab4db45d919ec072c29f513c5bc5203e4664fb019,0.607638888888889,0.6076388888888888,0.5750103453154265,0.8611111111111112,0.3611111111111111,0.3055555555555556,0.9027777777777778,"[[62,4,1,5],[43,26,0,3],[4,7,22,39],[0,0,7,65]]",62,4,1,5,43,26,0,3,4,7,22,39,0,0,7,65,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,2,2,"[1,3,4,5,6,7,8,9]",RAW,T1,ALL,MDM,riemann,riemann,2304,0,0,0,0,0,288,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,not_applicable,not_applicable,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,0,0,not_applicable,08d39399062bcffb9795b698928cd38efe9b6e879d39f4dfa1d93673270491c2,324204204ed33cba54a857d2e25eb566b3fa184199200cb2e48e628346283924,8226e6a6c8a26a2748dd296ae9763f1be5ed5ac77d7ab80918a8b934444711e4,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,5425444c778323273037ce5367ee3bb9dcc138fb81e799e0bbeecb882f6a1eb5,296d823ad8be97aeabe4c83b6fbf62d03d0b0c9f0a716b0acbfebbdaa8724ff5,3706b5f479b5a12bd2470007b219761aed265717e1064d93fd0a54234e9ccd64,0.2534722222222222,0.2534722222222222,0.11348528015194682,0.9861111111111112,0.027777777777777776,0.0,0.0,"[[71,1,0,0],[70,2,0,0],[68,4,0,0],[70,2,0,0]]",71,1,0,0,70,2,0,0,68,4,0,0,70,2,0,0,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,2,2,"[1,3,4,5,6,7,8,9]",RAW,T1,ALL,MDM,logeuclid,logeuclid,2304,0,0,0,0,0,288,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,not_applicable,not_applicable,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,0,0,not_applicable,08d39399062bcffb9795b698928cd38efe9b6e879d39f4dfa1d93673270491c2,324204204ed33cba54a857d2e25eb566b3fa184199200cb2e48e628346283924,8226e6a6c8a26a2748dd296ae9763f1be5ed5ac77d7ab80918a8b934444711e4,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,a2b29db0651a7f3cf288f9d58ca4306d578725e1219a1981c48e4b9f5de21049,359ecd8f072ab798e224f3341bfafdc4b83c960ba355304443ddf57f89ffaec7,5f4d209dd0d427177b9908b1fbfdb306af469880623bc566ded5f1af9ef9eee1,0.25,0.25,0.10669274228596264,0.9861111111111112,0.013888888888888888,0.0,0.0,"[[71,1,0,0],[71,1,0,0],[69,3,0,0],[71,1,0,0]]",71,1,0,0,71,1,0,0,69,3,0,0,71,1,0,0,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,2,2,"[1,3,4,5,6,7,8,9]",LE,T1,ALL,MDM,logeuclid,logeuclid,2304,288,2304,288,288,1,288,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,0,288,True,a6cc0bf59e1c02040f350c135e91dabbd939e341e6ec72abe047388174a32362,324204204ed33cba54a857d2e25eb566b3fa184199200cb2e48e628346283924,c113d32ae2fe0ecae270b213ba494e30d9696dd5de79d05a7a296d676f3b3648,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,a2b29db0651a7f3cf288f9d58ca4306d578725e1219a1981c48e4b9f5de21049,549fef5b80df8eb7c7d4eff4442bdab9c5646c37f400f2a6959fe6668464100e,c6ca0d54eebb51afa27c60347f01597632dd9d924fa4293ce1bf2635519e7e12,0.2465277777777778,0.2465277777777778,0.24592107423093337,0.25,0.20833333333333334,0.2361111111111111,0.2916666666666667,"[[18,16,25,13],[18,15,24,15],[9,13,17,33],[25,14,12,21]]",18,16,25,13,18,15,24,15,9,13,17,33,25,14,12,21,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,2,2,"[1,3,4,5,6,7,8,9]",AIRM,T1,ALL,MDM,riemann,riemann,2304,288,2304,288,288,1,288,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,0,288,True,a1d0838f3fbcf1dc93039b38fdefab4f9678fba7d3fdc0ecc0d6257e2b4e6c32,324204204ed33cba54a857d2e25eb566b3fa184199200cb2e48e628346283924,ff5d4bae1528d0aa6b56931ed739386787bdc6a2e36545fac0fa8b361ea0da40,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,5425444c778323273037ce5367ee3bb9dcc138fb81e799e0bbeecb882f6a1eb5,fbaed182c8b132a4a0d6d623cf695597e5e0137509b3aab94664c53c09a20c11,bf75ee01e7f9754b196487c4b7478474e0a2b6ffe33868a65d29f3d40c41dc2f,0.25,0.25,0.25027819830791825,0.3055555555555556,0.2222222222222222,0.19444444444444445,0.2777777777777778,"[[22,15,22,13],[16,16,28,12],[10,13,14,35],[27,11,14,20]]",22,15,22,13,16,16,28,12,10,13,14,35,27,11,14,20,False,[],PASS,FAILED,1,PASS,0
2.0,ddb96fc11a77a8640996755b25031d8c2c4ed0b7d20c4e59b6549b29303c6914,20260809,2,2,"[1,3,4,5,6,7,8,9]",EA,T1,ALL,MDM,riemann,riemann,2304,288,2304,288,288,1,288,debe6a399e369b816e518e4a7b997330a929775b2f57c8b8a3758fed9805082a,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,c413c084a1e52fede11309916f5f24245c28580e60d0e2c967402ceec6c6b0b3,0,288,True,ae8b6d1641223fff9420aed0e2d81c0a01dfa611b555b3a8e9c11695204010c2,324204204ed33cba54a857d2e25eb566b3fa184199200cb2e48e628346283924,12db7065ba2d0245d6c4a0ffd83b6e4bb088e1910e27824df96bce674a4dcb7c,90ae10bd86b4b58fb50ff21511d34cd5560eb0a82ae6f46c3dbf6952e8b72668,5425444c778323273037ce5367ee3bb9dcc138fb81e799e0bbeecb882f6a1eb5,c280a3f917c484f5b457db99064d6be784bc989ebd4bc23c0467ae7d7b85252f,f8a106c7b7c58e1aef8e9efc2b5add92291b7eebc6bfe219f34288b04a9a7c7b,0.22569444444444442,0.22569444444444445,0.22418255097202466,0.2222222222222222,0.18055555555555555,0.1388888888888889,0.3611111111111111,"[[16,13,25,18],[10,13,28,21],[6,8,10,48],[21,8,17,26]]",16,13,25,18,10,13,28,21,6,8,10,48,21,8,17,26,False,[],PASS,FAILED,1,PASS,0
