registration_id,fixture_type,solver,subject,session,class_label,gpa_start,gpa_outer_iteration,trial_position,global_sample_index,target_hash,source_hash,converged_starts,total_starts,det_minus_certified,det_plus_certified,both_sectors_certified,best_converged_objective,total_runtime_seconds,truth_determinant,dimension,audit_index
failed_real_registration,frozen_failed_real,ConjugateGradient,1.0,0train,left_hand,0.0,1.0,0.0,3.0,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,324e9aad5de12568fc062f30b528805d24587a1a67884a541cae390024c86a61,1,4,False,True,False,1.4878062661692633e-16,1.653723041061312,,,
failed_real_registration,frozen_failed_real,TrustRegions,1.0,0train,left_hand,0.0,1.0,0.0,3.0,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,324e9aad5de12568fc062f30b528805d24587a1a67884a541cae390024c86a61,4,4,True,True,True,7.69652042577573e-20,1.1799724160227925,,,
known_q_d4_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,4,4,True,True,True,6.428723339485488e-29,0.1400097080040723,-1.0,4.0,
known_q_d4_det_-1,known_q_synthetic,TrustRegions,,,,,,,,2404ea75c4b26e50c3829c43c43d1d5c7da5f883da64e300aef271daf634d831,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,4,4,True,True,True,9.44907453035042e-30,0.07753291702829301,-1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,ConjugateGradient,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,4,4,True,True,True,9.180615303542405e-29,0.12718404200859368,1.0,4.0,
known_q_d4_det_+1,known_q_synthetic,TrustRegions,,,,,,,,094f4ad989115a71ef3e74c4cc3bb3f37886ef124f917d7cd3c129bc3bb24c2e,d59baceb0721b339e1d3412bd2c9dd7a0fc1f27ebb74f54ce123a6ebf91ceed8,4,4,True,True,True,1.384450888662878e-29,0.07672191597521305,1.0,4.0,
known_q_d22_det_-1,known_q_synthetic,ConjugateGradient,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,4,4,True,True,True,5.1217913467883236e-26,0.8141335418913513,-1.0,22.0,
known_q_d22_det_-1,known_q_synthetic,TrustRegions,,,,,,,,d56c37b63ff8bfc92a5981e385ff61a275a1fd37260b8a4c22b689a863c10520,acfbba5b28f8251c19d22dd133036e55f12e2ef8ec4a73bcc13c8d9f4da90b1a,4,4,True,True,True,1.920950259923025e-28,0.6748150000348687,-1.0,22.0,
real_audit_0,deterministic_real_audit_bank,ConjugateGradient,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,0,4,False,False,False,inf,2.1733568750787526,,,0.0
real_audit_0,deterministic_real_audit_bank,TrustRegions,3.0,1test,left_hand,0.0,1.0,32.0,3292.0,e5bd806c9a1dac1634745c59bee260b725e59357a3904d02711c3b27d20afa46,4d5d9a675defa1abf85b0ddea9d964ae6edb131a1eb37051c36c505b04489b89,4,4,True,True,True,3.8474336352301295,1.9723260418977588,,,0.0
real_audit_1,deterministic_real_audit_bank,ConjugateGradient,6.0,0train,tongue,0.0,1.0,68.0,1715.0,e10ea8d6ded91aa06d17b832ecd60a1caabd5797534e4c846c9c9d35c0dbc0d3,cec1d2780b8079418178463b664c6b67e6a6fb4c2494cbc599a14dc7a5b2760c,0,4,False,False,False,inf,2.189595458097756,,,1.0
real_audit_1,deterministic_real_audit_bank,TrustRegions,6.0,0train,tongue,0.0,1.0,68.0,1715.0,e10ea8d6ded91aa06d17b832ecd60a1caabd5797534e4c846c9c9d35c0dbc0d3,cec1d2780b8079418178463b664c6b67e6a6fb4c2494cbc599a14dc7a5b2760c,4,4,True,True,True,7.187994885584951,1.8119622089434415,,,1.0
real_audit_2,deterministic_real_audit_bank,ConjugateGradient,5.0,0train,left_hand,0.0,1.0,26.0,1252.0,8af67793452933180cddb7ed45dd60a1225997834c56ab7daef981ff969aa91a,da2ca786f917b6865136360ff106211ebf08d90084ea3f1280e4e0411169e42c,0,4,False,False,False,inf,2.1912937499582767,,,2.0
real_audit_2,deterministic_real_audit_bank,TrustRegions,5.0,0train,left_hand,0.0,1.0,26.0,1252.0,8af67793452933180cddb7ed45dd60a1225997834c56ab7daef981ff969aa91a,da2ca786f917b6865136360ff106211ebf08d90084ea3f1280e4e0411169e42c,4,4,True,True,True,3.167457342008054,2.43252733303234,,,2.0
real_audit_3,deterministic_real_audit_bank,ConjugateGradient,2.0,0train,left_hand,0.0,1.0,60.0,529.0,7cd1d84e0b3a38f6b24ab77577010d251b9e10d65085eb6804fb4f5322bc1ce8,867ea03cc1a531f3442087b847a23ff75a4ab079f6dc6a5c90053b7fbdadbe28,0,4,False,False,False,inf,2.2009091661311686,,,3.0
real_audit_3,deterministic_real_audit_bank,TrustRegions,2.0,0train,left_hand,0.0,1.0,60.0,529.0,7cd1d84e0b3a38f6b24ab77577010d251b9e10d65085eb6804fb4f5322bc1ce8,867ea03cc1a531f3442087b847a23ff75a4ab079f6dc6a5c90053b7fbdadbe28,4,4,True,True,True,5.624753933440909,2.23368208296597,,,3.0
