identity,start_index,prototype_initial_step_size,initial_trial_position,cell_configuration_sha256,initial_prototype_sha256,outer_iteration,joint_final_block_objective,aligned_registration_objective,projected_prototype_gradient_norm,relative_objective_change,prototype_inner_iterations,prototype_accepted_step_sizes,prototype_backtracking_reductions,prototype_total_backtracking_reductions,final_prototype_line_search_step_size,changed_trial_permutations,registration_objective_minimum,registration_objective_median,registration_objective_mean,registration_objective_maximum,consecutive_prototype_quotient_distance,prototype_constraint_residual,convergence_boolean,elapsed_seconds
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,1,3.371826795067419,4.731473385681511,0.0008356826552588409,inf,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0]",1,4.0,-1,7.69652042577573e-20,4.561640272088413,4.731473385681511,9.644443644719933,,1.6522070313821905e-14,False,150.23880325001664
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,2,3.3129132763733264,3.33580037402399,0.0001799470086072373,0.01747228498814827,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]",1,4.0,0,1.3512202376931142,3.1912216706333765,3.33580037402399,5.586428571257484,0.1498797780119348,1.6017375150508785e-14,False,17.65021724998951
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,3,3.2866863706702296,3.297561217778067,0.000989540055212562,0.007916568746347516,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.450564421008102,3.1540421971408845,3.297561217778067,5.540675149985595,0.10313097711283109,1.651187859677087e-14,False,17.485358957899734
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,4,3.270118553536188,3.2776979446545464,0.0013985293562010618,0.005040887771309615,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.5381538835628286,3.127050407860091,3.2776979446545464,5.520330728068688,0.0860998170407585,1.8469995139745558e-14,False,15.616123124957085
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,5,3.2584350812311773,3.264022956500367,6.983005430323061e-05,0.0035727977789602404,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,4.0,0,1.6097861524693908,3.1048432901104377,3.264022956500367,5.487780454570756,0.07409485094623396,1.8342765721206917e-14,False,15.065424375003204
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,6,3.2501954639635864,3.254000299186851,5.709213716642289e-05,0.0025287038293479347,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,4.0,0,1.6700762972429195,3.0867102186269717,3.254000299186851,5.451953717807482,0.06114479257876999,1.568701989767728e-14,False,14.228781416080892
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,7,3.243635925018763,3.2467169230933006,0.0005889309353681281,0.002018198295318489,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.7165583023225985,3.074784235228836,3.2467169230933006,5.435465020772407,0.05490860761890136,1.5931308355656796e-14,False,12.67009454104118
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,8,3.238857867824576,3.241068408248296,0.00040307443390599394,0.0014730559485215573,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.7551169085283362,3.0667444454660555,3.241068408248296,5.425521045465517,0.04650851266490469,1.8304611548587872e-14,False,12.348465292016044
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,9,3.2344934676107138,3.2368394153470827,4.681647346256519e-05,0.0013475121144459845,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]",1,4.0,0,1.788079355548538,3.0594196066990618,3.2368394153470827,5.418256927047096,0.04800977523120523,1.874166010240704e-14,False,13.018224167171866
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,10,3.230463879949323,3.23244401305629,3.9448151966805424e-05,0.0012458172204525535,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,4.0,0,1.82031853182325,3.053131737873006,3.23244401305629,5.404735332250159,0.04410860281949937,1.613078678350308e-14,False,12.336183540988714
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,11,3.22725337247432,3.2287657679070687,3.825727064705684e-05,0.0009938224336541507,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0]",1,4.0,0,1.8516029884048606,3.0503451708485065,3.2287657679070687,5.394485868962507,0.0385491947162432,1.551374177785568e-14,False,11.76549220806919
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,12,3.2236783184304847,3.2253568356676956,4.719151252384891e-05,0.0011077698684359306,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]",1,4.0,0,1.8796904180746075,3.046801105008277,3.2253568356676956,5.38741524335572,0.04061174442048386,1.65291546025961e-14,False,12.050437374971807
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,13,3.2212529705161015,3.222367966839433,3.156332610029892e-05,0.0007523541975379336,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]",1,4.0,0,1.9046289458873595,3.0419132966226843,3.222367966839433,5.381722238273978,0.03309844816706753,1.8518484082839828e-14,False,11.511707874946296
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,14,3.217781787497336,3.2192959925263476,0.00044700611330176907,0.0010775878363286555,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9270641259129817,3.033446499503137,3.2192959925263476,5.377506785110439,0.5528729015888934,1.7966035367544412e-14,False,12.61966041708365
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,15,3.215460266635389,3.2165584913520906,0.00027949617923407957,0.0007214662196693859,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9497114909937594,3.0257136515074956,3.2165584913520906,5.3746236414714295,0.03278733022105636,1.702216001591336e-14,False,11.662695999955758
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,16,3.2133631647617347,3.214450910498479,0.000365255468319778,0.0006521933719457195,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9704679807298464,3.0213130939553374,3.214450910498479,5.371127052310175,0.0326245733915044,1.6993657430673597e-14,False,11.687869625166059
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,17,3.2115664316662356,3.2124206540397218,0.0002963455961557126,0.0005591441126861638,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,4.0,0,1.9685124156714675,3.016569069343679,3.2124206540397218,5.366311358295738,0.028905536541127878,1.4240690379148248e-14,False,11.51081566605717
1|0train|left_hand|Full,0,4.0,0,1f775f813c0e634327519322a5e1e8db7f34f91a034b737a6ef327283ea4914b,42fbff415a91b8fec4941c827338c4e5057dbd8df0e783c617fbd72662eed8f7,18,3.2087419579230523,3.210203308623622,0.0009532245340489432,0.0008794691946377967,16,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]",1,2.0,0,1.9643174174209481,3.011706290306239,3.210203308623622,5.363623144907227,0.0378910065244843,1.7145633294041133e-14,False,11.7850437911693
