session0_anchor,S1 Left,S1 Right,S1 Feet,S1 Tongue,S2 Left,S2 Right,S2 Feet,S2 Tongue,S3 Left,S3 Right,S3 Feet,S3 Tongue,S4 Left,S4 Right,S4 Feet,S4 Tongue,S5 Left,S5 Right,S5 Feet,S5 Tongue,S6 Left,S6 Right,S6 Feet,S6 Tongue,S7 Left,S7 Right,S7 Feet,S7 Tongue,S8 Left,S8 Right,S8 Feet,S8 Tongue,S9 Left,S9 Right,S9 Feet,S9 Tongue
S1 Left,0.7110064618985354,0.7190242408127111,1.2293988183607767,1.4674647018169353,1.152013664567817,1.2364720922566013,1.4981469186248326,1.2974567458551847,0.925815257090615,0.9146033033532022,1.3272197287611853,1.601561356991732,0.9052876848691463,1.1944958078550878,1.5507260922745505,1.6404095506779421,0.8389600160778582,0.9173729748929796,0.9507731800866998,0.9723991422945139,0.9749536449958506,0.9542643788968916,1.255009866261214,1.0771186123642427,0.9203639833458871,0.9110135641777855,0.9784730526873415,1.1797720259557056,1.0131727079082555,0.9227633334910219,0.8778500181916472,1.2549270848826357,2.011766413970848,1.044443367950068,1.0819626164277976,1.3836726888412585
S1 Right,0.8144102501140049,0.7399335642008933,1.2628698405289773,1.453046421094827,1.1322598656291523,1.2137752282575491,1.4547592389216024,1.3225733588555866,0.9737378562152089,0.9222621886332596,1.3405377302280908,1.5990574327261284,0.8813719782069653,1.2088337376606688,1.513208888395681,1.623805358247983,0.8257769576597993,0.8496737986937313,0.9571048498130428,0.9642516867485036,1.0183152888044442,0.9393238803318338,1.3237044449911501,1.0775985894161682,0.9469779000243919,0.8802352804501745,0.9096462268979162,1.2005345326846824,1.0945203402249544,0.9035762920766744,0.927971209183427,1.2758719177868176,1.9809169519805974,1.016137093296338,1.124663557118442,1.3791816677330209
S1 Feet,1.3446202496617765,1.4227935396765905,0.8506844766036181,0.8013145823516453,0.8470754809605671,0.8912310486878465,0.8693841564038496,0.8956792463172062,1.2680245882380825,1.3422942000651739,1.040766932804074,1.1399281098884642,1.0625117267209963,1.0979200334518786,1.0557735207884136,1.185364514214938,1.0495098113991683,0.984061324352036,1.0369000256756988,0.9072269800130771,1.0352946600353545,1.1057189123199898,1.079443816951563,1.2285682352509246,1.3267724314969513,1.2783888389002485,1.121659049708607,1.0312584196137677,1.3991273716902741,1.3061532303848278,1.114590917598148,1.0306650223483533,2.8579613530404115,1.0989416548325783,1.4299622652399853,1.0424362043332391
S1 Tongue,1.523706968578769,1.5872760402676216,0.852235436696432,0.8117498676291435,0.8908978050003405,0.9062661761716592,0.9411377437072701,0.8829956635107202,1.4149169777309227,1.4937217095998865,1.0334796805708322,1.0483357063427035,1.3146357274883258,1.145940588833089,1.0372103154940344,1.1348800879748797,1.258098639021355,1.190094275664403,1.212578422708478,1.0143025670182635,1.2178048734511637,1.285866001552885,1.1428667699653376,1.3421633170534368,1.4452395249178305,1.4605469351684717,1.3587646991928128,1.1377588806451926,1.5468991824089828,1.489925897221752,1.2673658725907555,0.9659815691770162,3.135017934544597,1.2596269440008458,1.5790621696643519,1.0199091303208812
S2 Left,1.528749433812788,1.6061406050995939,1.0984291157219102,1.0004405536634025,0.8897262185641185,0.9555916806687469,0.8946211178254565,0.7922987526901923,1.4030121444674901,1.4578776259474242,1.0016971383624802,0.8758992274434644,1.3746739020997725,1.241918860869515,0.8384456642349692,0.9641736107812686,1.2846931467149882,1.244181845959183,1.2141658262235617,1.1174036723360243,1.2338006721584087,1.3194119658227907,1.0750034229573615,1.4395736806009523,1.4970298162868652,1.488310330396726,1.5266533167798992,1.0660213949873174,1.5729166386673121,1.5003552240124112,1.3193904764290738,1.0330641965289835,3.076883631867764,1.3038264043224073,1.6673008951988464,0.9879118176156447
S2 Right,1.6509538102517385,1.7200622416081204,1.1443782822907878,0.9973708613924848,0.8977594041249163,0.8539040759778549,0.9468776506957034,0.8117442755645976,1.4899027282394253,1.5765445273010033,1.1245572929576666,0.9572544935093045,1.4262239069222071,1.2133121104290887,0.9582352366512786,1.0245104826096147,1.3633634364851024,1.30813962620255,1.2696662980106486,1.2006870354060923,1.3492694410881931,1.4299416530506392,1.145245068618021,1.498314721311605,1.5419933095010108,1.5451282121785859,1.5030576610484603,1.1533840902496009,1.6602328729685762,1.505608175941257,1.3805256541525177,0.9955231316703173,3.2111296486016396,1.3982819546980678,1.8155182237835812,1.0580968417887107
S2 Feet,1.9225719426197756,2.0031632071031815,1.3293197715149243,1.0794211874106743,1.1058805989082447,1.1231972796314318,0.8249174969342044,0.9757779107336948,1.7425956337718764,1.8204729441991214,1.266119799287873,1.0405283841449795,1.6535821555027757,1.4888750387422236,0.9509843201796403,1.027505543179434,1.6027577384404088,1.5148141678286753,1.52394168217553,1.4104079226437836,1.5388663890913423,1.6091974640080933,1.3423235743604733,1.739256680246384,1.8093520570522525,1.794990053377807,1.749954256080737,1.344115821152393,1.9562507948188015,1.8087557039874758,1.6830923436061918,1.1988800717446633,3.456167330143532,1.5857760132956058,2.0153385377217563,1.191067574566634
S2 Tongue,1.704304685156505,1.741381689794546,1.1843885804713314,0.9879877176980653,0.9487148841979478,0.9500986798500174,0.8633605426364401,0.8466588199838029,1.5000525997457794,1.568294437931563,1.0527813818993152,0.9304807758951039,1.4440127277662258,1.312830267385204,0.8174512293956188,0.9795673636691574,1.389195161021182,1.3236416616533089,1.376793334231872,1.1938926798565297,1.3226839876769885,1.4062439962666877,1.1985984849586595,1.5298461156622298,1.5902571914502452,1.5998260262407575,1.5741546422186812,1.1853063478304857,1.7182624524845171,1.5897634543452586,1.438063940783432,1.027663870490001,3.2189411402328476,1.3791182464508172,1.7493277476274645,1.0153169493959235
S3 Left,0.9223933162006337,0.9580416246814569,1.2088045323949062,1.4217684838741789,1.0996724879345736,1.167377179899174,1.421845280871723,1.2164069580592956,0.6722560831601175,0.780074110496993,1.0501978312343838,1.3876159243002768,0.9486341658770654,1.1514832071737329,1.3550477363088382,1.5165424945095036,0.8752490814465028,0.9470743165007401,1.0064753141073417,0.9747394696390433,0.9759566067005034,0.9764249604385251,1.1886796236177097,1.0554029026825924,0.9692382346396653,0.9642393098394685,1.018358839418169,1.1250219811102244,1.0511225402285524,0.9903480299489171,0.8922841609430322,1.1786755921636147,2.160085165941266,1.023041994538338,1.1000420776897644,1.3083050220765144
S3 Right,1.0194980324317884,1.018711385954333,1.2852806196015862,1.49516159946261,1.1900283828698945,1.2579470080114281,1.5098318055393134,1.257980363657482,0.7993676094959298,0.6856744656128188,1.095013334277219,1.4139379413896331,1.0665991440143785,1.2185591915943783,1.4152846829329286,1.5266613950121302,0.9782277446187415,1.0794549054277214,1.0612875298585076,1.1140202697646722,1.0585771328235938,1.122226428098839,1.205940294124929,1.2006917658546845,1.0118300405537255,1.0228154260864635,1.1804770901828217,1.1782929384355332,1.1316676617017016,1.0595200963849705,0.9457851929805441,1.2479307648834024,2.1718607982445035,1.1391664144867208,1.2431449434951813,1.3883631815282325
