session0_anchor,S1 Left,S1 Right,S1 Feet,S1 Tongue,S2 Left,S2 Right,S2 Feet,S2 Tongue,S3 Left,S3 Right,S3 Feet,S3 Tongue,S4 Left,S4 Right,S4 Feet,S4 Tongue,S5 Left,S5 Right,S5 Feet,S5 Tongue,S6 Left,S6 Right,S6 Feet,S6 Tongue,S7 Left,S7 Right,S7 Feet,S7 Tongue,S8 Left,S8 Right,S8 Feet,S8 Tongue,S9 Left,S9 Right,S9 Feet,S9 Tongue
S1 Left,0.08628186534137408,0.09368125162289809,0.2601690849545301,0.4105075140357577,0.14254917736129832,0.18422790067732953,0.455520722329845,0.30686957043964297,0.1656585449336558,0.19502578705127552,0.41228853328873677,0.6592181179811607,0.18059685347137422,0.28242505141948754,0.6020693030923135,0.6853369320829619,0.22451490993655188,0.16723453582942993,0.1589315255074864,0.09354125772846719,0.10072266220148134,0.1250170213316143,0.3495420493630992,0.2579183350327115,0.1291274476266611,0.05754104273089649,0.18019126201278834,0.20633657804649666,0.21859008837605756,0.25154522565004256,0.23072310279781025,0.28953622438979165,1.59776176873443,0.11349424926450297,0.28950266773646804,0.40328610967438727
S1 Right,0.07995467449169169,0.08737190599574662,0.2536428643724325,0.4122027659082958,0.1375770609267179,0.1732190532191718,0.45650189054571205,0.2997827056175081,0.19651904008333576,0.22139059022642094,0.41490010520120996,0.6579328792863474,0.17968385285938432,0.2854666710469933,0.6007318245099085,0.6766439589085226,0.2204406871051434,0.17613814370009667,0.15072602185540598,0.08623798551309028,0.11011428436277838,0.11272516683445981,0.38141319843204746,0.2746422211605112,0.14063617554108682,0.0552364143874957,0.16684844214293787,0.21935587555217625,0.2247188242028697,0.2610047462081133,0.232830254081181,0.27574488715355056,1.5984715680071957,0.145756593926921,0.28934866523064795,0.3977826735489436
S1 Feet,0.19510833496947053,0.15862325452592108,0.21760649377848643,0.21234794712371055,0.15673660324431699,0.10664657573096552,0.2497215544633251,0.14186526187039075,0.15536317134462385,0.10460988189377778,0.19445758119895146,0.4550873591241745,0.3911971543963822,0.28231174004697807,0.3981079703233804,0.4986652482104006,0.44508292061507726,0.3850903943734076,0.3627109988617374,0.29629770580133424,0.2582671274451755,0.2881527684025855,0.2747293736753984,0.3152087737785298,0.19493104678059237,0.2112624959494301,0.3346248487162107,0.15362209489635553,0.2076465213405223,0.38020789345640477,0.405752637864115,0.19249646152333166,1.3759464349801143,0.21630541345509247,0.18897206784373202,0.24597018181389868
S1 Tongue,0.435860697551259,0.4079424373561378,0.31959861854914623,0.23819993019459837,0.37721030112175785,0.3123903964814042,0.21525450431294024,0.2565506975220076,0.4057872066442111,0.3631494179290983,0.16137524451195379,0.3437468820849239,0.632255308583869,0.39952006032274284,0.29056247446591443,0.3866512470472003,0.6797998262351014,0.6270527468073666,0.6012815888097732,0.5286082001539198,0.48662510298372885,0.5107805451956606,0.44430594639774124,0.5028592118402078,0.4186868442207573,0.45573149189082907,0.5572476577438693,0.376225246684668,0.3995708804726794,0.5940960607123461,0.6156403641837314,0.28523963251104956,1.1290450508451237,0.464872356369636,0.32502540886981424,0.2708846807170519
S2 Left,0.49368967422136867,0.461335366261966,0.47417374919877076,0.14363760599510617,0.4644331951092945,0.3832015626167641,0.1575886090312327,0.26623069335461863,0.4575320844718328,0.4031116190691527,0.18057925248556186,0.12078739872909038,0.6953988376750848,0.5451451418465023,0.1579118819405471,0.16669612736573342,0.7640334826774141,0.7102571099649908,0.6586991008335682,0.6199453549383573,0.57768074749188,0.5859518000426659,0.4621645343831157,0.583018427544593,0.5034090329425316,0.5204996591744896,0.6036969678597294,0.402306845371301,0.451057091427303,0.6533837972656832,0.7169718058006547,0.3594273538725737,1.1060377315519796,0.5313083451554269,0.3507729675627694,0.22873103190758187
S2 Right,0.5733420762819773,0.539837905424862,0.5238554719988118,0.2269994259530811,0.5316473282216391,0.4555887475312482,0.20267625552018365,0.33931735209372543,0.5297507502640594,0.47363049773656646,0.2242778186529508,0.09879370623633998,0.7775548115962634,0.595443342316192,0.1440138741997563,0.17551218833550805,0.8419243777337526,0.7869734262164354,0.742014137154003,0.6932005733996303,0.650297602406189,0.6637255940959518,0.5214129504833153,0.6500562278334986,0.5747274129134549,0.5989955638415944,0.6879732096693819,0.48096793678957084,0.5254079745176674,0.7308988469263307,0.7888852336859892,0.4254795173422333,1.005236706590342,0.6056965403497395,0.4250125284816063,0.30361746929067335
S2 Feet,0.8895645692369794,0.8418629530829213,0.8401429366808608,0.548050286637262,0.8183361631529086,0.7649542319276992,0.47440156694878155,0.6284979358564735,0.8466104488724516,0.7763114055416843,0.5234735827748258,0.3124188462823577,1.0934129727296955,0.9202185179919049,0.3297879594319923,0.3767989623633098,1.1455425012834881,1.09553206879328,1.0579261439965226,0.9923253859863282,0.9688414329230723,0.9837359478918672,0.8330146759590532,0.9835367104944247,0.8983525434361547,0.9124252756548441,1.0114391917147803,0.8079435883694284,0.8587025609854105,1.0632195349929734,1.111997546891719,0.7516663801116966,0.7625716470593435,0.9250392756033542,0.760554085555484,0.6374854234310657
S2 Tongue,0.6839089356714346,0.6339111854328748,0.6440249850782304,0.35309612826943304,0.6095640265511559,0.5589760534035395,0.266474645908212,0.42124368103637416,0.6442348205256706,0.5718740643980463,0.3182761605432645,0.16569235085322367,0.887199891613983,0.7272411573812494,0.12410355353675458,0.26987359842259895,0.9371298534019314,0.8872723051936313,0.8523645274298784,0.7836845355238741,0.7630742637449556,0.7791000170827114,0.6498147926121303,0.7887685455104231,0.694818295269056,0.7057498666395761,0.8097978702090985,0.6089417880903205,0.6623867566547164,0.8649787722442248,0.9078171592973672,0.5582151022222975,0.9361449382284083,0.7207312257377365,0.5692940256657275,0.4570617473516958
S3 Left,0.09489862000299801,0.1008692835648929,0.23283124858436757,0.32013546478893257,0.15695653074978683,0.1442676259142041,0.3797829339922599,0.25107954728466103,0.06239469721566897,0.09976533342611092,0.3310411972679449,0.5731862118710649,0.26111931998374,0.25486799380976055,0.5274311541171943,0.6051504905234303,0.3278298636970967,0.26011864874947255,0.23720498968359405,0.20084384821253107,0.14554004732007908,0.17919314782921877,0.24849990548978998,0.22311527948240512,0.09972031219187079,0.10142386639393881,0.22076715439352726,0.10927555182415953,0.15068089272262095,0.2595249937192332,0.29030693433989274,0.2356196652410658,1.5114468759268476,0.08212901110514752,0.20587965865782126,0.3187488535702646
S3 Right,0.2709290010038863,0.2599508450087779,0.3333550207103536,0.2752078318375909,0.28534394136084645,0.2608297984622703,0.3340991061305429,0.28513614297493317,0.13346817870916608,0.10837507924707365,0.28878426613211794,0.5023303119087796,0.4200683496950505,0.3451729261549026,0.4687730734650305,0.563460460273117,0.48831641072092696,0.41355069380007375,0.40291741239486495,0.36863171998139027,0.3090907429194949,0.350172893699155,0.1333370845523703,0.3031906107271835,0.2490489356755716,0.28099251621955273,0.3808574557768156,0.1735460073588716,0.24154263687965002,0.37562525373481886,0.4381746790929684,0.3180709546107593,1.4159776685541985,0.22058162712952772,0.24837848806111715,0.3194690639580409
