split_cell,subject,session,class,d_mov
0,1,0train,left_hand,0.6128323905532881
1,1,0train,right_hand,0.6495480046774701
2,1,0train,feet,0.6436983501672162
3,1,0train,tongue,0.6525854664254229
4,2,0train,left_hand,0.6355722805149213
5,2,0train,right_hand,0.7100534963252492
6,2,0train,feet,0.7543131634680359
7,2,0train,tongue,0.8495871514586175
8,3,0train,left_hand,0.728855306952538
9,3,0train,right_hand,0.7012798044195329
10,3,0train,feet,0.6992683056434089
11,3,0train,tongue,0.6971926217646831
12,4,0train,left_hand,0.7552088678382937
13,4,0train,right_hand,0.6238714939679809
14,4,0train,feet,0.7007817023550741
15,4,0train,tongue,0.7317107256223498
16,5,0train,left_hand,0.5733726322833353
17,5,0train,right_hand,0.5773214170687444
18,5,0train,feet,0.5242660603698023
19,5,0train,tongue,0.695320064690226
20,6,0train,left_hand,0.7640159702655007
21,6,0train,right_hand,0.7246384011331174
22,6,0train,feet,0.8487115687229119
23,6,0train,tongue,0.8029614558756208
24,7,0train,left_hand,0.6418116970777871
25,7,0train,right_hand,0.6524640721887689
26,7,0train,feet,0.6943737043237636
27,7,0train,tongue,0.7371554588887936
28,8,0train,left_hand,0.7122647670991695
29,8,0train,right_hand,0.8075844081714675
30,8,0train,feet,0.6359630227630187
31,8,0train,tongue,0.7048261029905805
32,9,0train,left_hand,1.2539514752383156
33,9,0train,right_hand,0.8543346413981334
34,9,0train,feet,0.9076377585654611
35,9,0train,tongue,0.737943959778165
36,1,1test,left_hand,0.6835579814974461
37,1,1test,right_hand,0.6953255276232687
38,1,1test,feet,0.6956063352667535
39,1,1test,tongue,0.6512233876570173
40,2,1test,left_hand,0.5824342596720996
41,2,1test,right_hand,0.9035521718612286
42,2,1test,feet,0.613332189578862
43,2,1test,tongue,0.5084253272164123
44,3,1test,left_hand,0.6935619815193691
45,3,1test,right_hand,0.7146652739160192
46,3,1test,feet,0.7624371572381335
47,3,1test,tongue,0.7741380912252642
48,4,1test,left_hand,0.8913979479707603
49,4,1test,right_hand,0.7079923113409891
50,4,1test,feet,0.7259911696290801
51,4,1test,tongue,0.8962550094397513
52,5,1test,left_hand,0.5126494524657189
53,5,1test,right_hand,0.5781987074342968
54,5,1test,feet,0.7223795642726689
55,5,1test,tongue,0.5364831185924268
56,6,1test,left_hand,0.868977687797808
57,6,1test,right_hand,0.7011770073557607
58,6,1test,feet,0.8144599597747699
59,6,1test,tongue,0.8669133172881758
60,7,1test,left_hand,0.6616866349489415
61,7,1test,right_hand,0.7261434457922535
62,7,1test,feet,0.7251008675946661
63,7,1test,tongue,0.8920785222105454
64,8,1test,left_hand,0.8552203139294592
65,8,1test,right_hand,0.7796865756911698
66,8,1test,feet,0.8932198593819627
67,8,1test,tongue,0.7969715349999602
68,9,1test,left_hand,1.111197589776456
69,9,1test,right_hand,0.7514341754329548
70,9,1test,feet,1.1572218652082562
71,9,1test,tongue,0.8929865649363502
