split_cell,distance,objective,determinant,gradient_norm,best_start_index,second_best_objective,objective_spread
0,0.6128323905532881,0.3755635389112579,-1,3.626738627670487e-07,5,0.38379783632848086,0.025184656988065213
1,0.6495480046774701,0.4219126103804828,-1,2.091909822359171e-07,5,0.4323951232031997,0.02799182670117817
2,0.6436983501672162,0.41434756600799605,1,9.302604756352594e-07,5,0.41513716654829047,0.01964676470182014
3,0.6525854664254229,0.42586779098968675,1,8.839362584013966e-07,3,0.42586779100543465,0.03174134692847541
4,0.6355722805149213,0.40395212375893785,-1,3.576672819489425e-07,2,0.4280533556579728,0.046743083552503506
5,0.7100534963252492,0.5041759676437106,-1,3.154526916331538e-07,0,0.504175967644359,0.03395797284245039
6,0.7543131634680359,0.5689883485811558,1,3.1549394404502434e-07,3,0.5689883485984388,0.0015604980152181813
7,0.8495871514586175,0.7217983279235679,1,1.0007835594008267e-07,1,0.7217983279244836,0.030555908374393148
8,0.728855306952538,0.5312300584728784,1,4.3087173499136856e-07,0,0.5312300585689211,0.015763693544454616
9,0.7012798044195329,0.49179336408669827,1,5.931351681245483e-07,4,0.5010703559111425,0.034502078862422736
10,0.6992683056434089,0.488976163277404,-1,4.668570298628005e-07,2,0.4930956024382906,0.01756646448464927
11,0.6971926217646831,0.4860775518431125,-1,2.9980387625691277e-07,2,0.48607755186976087,0.016568298191887876
12,0.7552088678382937,0.5703404340615973,-1,1.652116875353495e-07,0,0.5703404340618976,0.023871656556930687
13,0.6238714939679809,0.3892156409858405,-1,2.672518636991751e-07,2,0.3892156410039314,0.007545927934122898
14,0.7007817023550741,0.4910949943556757,1,5.772672452483428e-07,1,0.5006367929922121,0.022571820449492574
15,0.7317107256223498,0.5354005859907858,-1,7.769844622662016e-07,5,0.5389790640351904,0.03211668438403592
16,0.5733726322833353,0.3287561754515209,-1,1.5571397852523606e-07,1,0.32875617545921915,0.013069830529454152
17,0.5773214170687444,0.33330001860626307,-1,2.1680690557687588e-07,2,0.33330001861990816,0.012984547671864966
18,0.5242660603698023,0.2748549020556732,1,8.252748071149901e-07,5,0.2752867168305542,0.016345281785185073
19,0.695320064690226,0.48346999236082006,1,7.111902926418087e-08,3,0.48412209837777587,0.008413664924088404
20,0.7640159702655007,0.5837204028207346,-1,2.750908482714027e-07,3,0.5837204028232267,0.04527896939802423
21,0.7246384011331174,0.5251008123967608,1,2.5196119313062013e-07,4,0.5276682276596548,0.024020617184077775
22,0.8487115687229119,0.7203113268841059,-1,9.543125708657746e-08,4,0.7352837852550116,0.03296157618142348
23,0.8029614558756208,0.6447470996218966,1,3.895281964582683e-07,5,0.652299116130754,0.014539434933277806
24,0.6418116970777871,0.41192225450586906,1,1.3691300652413033e-07,1,0.4132103210853032,0.02568589030675622
25,0.6524640721887689,0.42570936549715105,-1,3.6587050359947693e-07,3,0.42820575054961807,0.0349248819513297
26,0.6943737043237636,0.4821548412563054,1,2.3391120652324263e-07,5,0.48442837666226357,0.0054379948715253534
27,0.7371554588887936,0.5433981705695479,-1,8.915101506088599e-08,0,0.546668806029698,0.034935652409892826
28,0.7122647670991695,0.5073210984508342,1,1.47013362506717e-07,0,0.5073210984529783,0.0239361240524939
29,0.8075844081714675,0.6521925763216594,-1,2.492856708031474e-07,5,0.6608838921859347,0.03568203216858801
30,0.6359630227630187,0.4044489663218759,1,3.851610449005369e-07,4,0.40450962934895934,0.015871218095315553
31,0.7048261029905805,0.4967798354568883,-1,6.873440647627694e-07,2,0.4967798354871774,0.029439621231179602
32,1.2539514752383156,1.572394302252348,-1,7.866694561376379e-07,0,1.57239430228853,0.03952332091366095
33,0.8543346413981334,0.7298876794928771,1,3.5864281394265214e-07,4,0.737697455124926,0.015943415513275605
34,0.9076377585654611,0.8238063007737344,-1,7.000455821612296e-07,5,0.8305462810158437,0.03239002333776264
35,0.737943959778165,0.5445612877730779,1,2.2196069787147008e-07,0,0.544561287784306,0.06989379617694569
36,0.6835579814974461,0.4672515140688628,-1,5.660847367842605e-07,1,0.4672515140746763,0.02578279414904966
37,0.6953255276232687,0.48347758936457697,-1,8.071282124817368e-07,0,0.48399000069496156,0.016232588335651554
38,0.6956063352667535,0.48386817366324314,1,1.4434181782955612e-07,0,0.48386817366461843,0.012242596667804473
39,0.6512233876570173,0.4240919006314818,1,8.385777718726799e-07,5,0.43167629897343357,0.0170152002690222
40,0.5824342596720996,0.3392296668397867,1,1.0353382419940666e-07,3,0.33922966685574474,0.020942357770613373
41,0.9035521718612286,0.8164065272751433,-1,3.116197531972836e-07,5,0.8177224280912079,0.020371248873475745
42,0.613332189578862,0.3761763747736011,1,3.81524326199226e-07,0,0.3761763748035366,0.010857737738938722
43,0.5084253272164123,0.2584963133551159,1,5.650241119754441e-07,4,0.25881183785908357,0.02400657769482828
44,0.6935619815193691,0.4810282222090737,-1,1.5464701452689816e-07,3,0.48102822221358765,0.019165216539557828
45,0.7146652739160192,0.5107464537414588,-1,4.692913235800706e-07,3,0.5107464537427951,0.04407083958171254
46,0.7624371572381335,0.5813104187373663,1,9.299613808009729e-07,0,0.5813104187426449,0.025183618782112283
47,0.7741380912252642,0.5992897842858955,-1,4.1085388201067336e-07,2,0.599289784294985,0.01990738516596602
