representation,subject,S_s,C_s,J_s
d_mov,1,0.19762011298224577,0.3725037617820629,0.2025244431346249
d_mov,2,0.5142251515657815,0.04992784974237094,0.04264922263908261
d_mov,3,0.25241259028296703,0.30227068543958274,0.18442732119365482
d_mov,4,0.18391253724238754,0.14741623432708212,0.10937519265639387
d_mov,5,0.2750450150462287,0.061803016079684775,0.008682937256598217
d_mov,6,0.1718587515524169,0.06316180836191762,0.010886815248890125
d_mov,7,0.17271968693385312,0.09066672232525291,0.031093389003905014
d_mov,8,0.21616686208211155,0.2188641966800173,0.09503427776129819
d_mov,9,0.3404661198655854,0.8461719069376068,0.7017205423817168
d_len,1,0.14108187816304435,0.11260490496088621,0.054039892327806205
d_len,2,0.18663664980033076,0.006705273813421425,0.01602699325217742
d_len,3,0.20095222334539892,0.16786247674548016,0.1309227674801144
d_len,4,0.08141682590206639,0.21118421945381805,0.1733212518847087
d_len,5,0.27389466931789375,0.019669670554602146,0.014600284059784752
d_len,6,0.1835364036068265,0.07495574809361293,0.06222744282117101
d_len,7,0.18523176394102486,0.035743949213828355,0.020724798089042415
d_len,8,0.1654152648889662,0.07629306701787583,0.08778815347205497
d_len,9,0.26708748295076556,0.42696482192470187,0.39188370659802874
d_direct,1,0.2832488598994505,0.42816983158037464,0.26776922575274126
d_direct,2,0.5643206594134212,0.0850252452622873,0.06724409620669863
d_direct,3,0.35580901224987943,0.3147567187751735,0.19894554740629472
d_direct,4,0.31601568632845467,0.20772847220086021,0.1749617997616691
d_direct,5,0.3269000336277669,0.08047913114420208,0.026195441827906174
d_direct,6,0.2146194040797389,0.07723385307165612,0.01887369299506686
d_direct,7,0.26591177469923266,0.14729972833540522,0.08078469021525214
d_direct,8,0.3122072949552549,0.32727872421771964,0.1997412571193774
d_direct,9,0.38635240816130667,0.8935300968900388,0.7283399652532654
