row_cell,S1-left_hand,S1-right_hand,S1-feet,S1-tongue,S2-left_hand,S2-right_hand,S2-feet,S2-tongue,S3-left_hand,S3-right_hand,S3-feet,S3-tongue,S4-left_hand,S4-right_hand,S4-feet,S4-tongue,S5-left_hand,S5-right_hand,S5-feet,S5-tongue,S6-left_hand,S6-right_hand,S6-feet,S6-tongue,S7-left_hand,S7-right_hand,S7-feet,S7-tongue,S8-left_hand,S8-right_hand,S8-feet,S8-tongue,S9-left_hand,S9-right_hand,S9-feet,S9-tongue
S1-left_hand,0.00744456028678701,0.008776176905632746,0.0676879527660775,0.1685164190798178,0.020320267966382886,0.03393991938797599,0.20749912847190372,0.094168933261811,0.02744275350953606,0.03803505761496947,0.1699818346813778,0.4345685270746235,0.03261522348376101,0.07976390966930018,0.3624874457260641,0.4696867104768863,0.050406944783818,0.027967389974084884,0.0252592298001368,0.008749966897423524,0.010145054680953718,0.015629255622629304,0.12217964427295526,0.06652186754604601,0.016673897730576103,0.003310971598558856,0.03246889090576134,0.04257478343993801,0.04778162673625266,0.06327500054733083,0.05323315016464891,0.08383122523389579,2.5528426696293747,0.012880944616113133,0.08381179462653182,0.16263968625630193
S1-right_hand,0.006392749973072374,0.007633849957329585,0.06433470264705218,0.1699111202224493,0.01892744769323385,0.030004840398146274,0.20839397607180926,0.08986967058735351,0.03861973311527573,0.049013793440803026,0.1721420972959751,0.4328756736460233,0.03228628697839287,0.08149122027865228,0.3608787249790035,0.4578470471273984,0.04859409653138773,0.031024645666115905,0.022718333664356324,0.0074369901453559695,0.01212515562072682,0.012706963237856797,0.14547602793816442,0.07542834964397914,0.019778533870823387,0.003051061474387142,0.027838402645525284,0.04811700013926184,0.050498549951120256,0.06812347754316164,0.0542099272155073,0.07603524279132433,2.555111353727383,0.021244984673177345,0.08372265007075758,0.15823105537574542
S1-feet,0.03806726237455912,0.02516133687639514,0.04735258613456645,0.04509165064765417,0.02456636279656644,0.011373492115140563,0.06236085476357945,0.020125752525554545,0.02413771501025895,0.010943227389830135,0.0378137508857468,0.20710450443461534,0.1530352136078269,0.07969991856835251,0.15848995603500154,0.24866702977274044,0.19809880622324716,0.14829461183866657,0.13155926869527929,0.08779233046313402,0.06670190911878252,0.08303201793807409,0.07547622876007669,0.09935657106696437,0.03799811299897749,0.04463184219478297,0.11197378937834689,0.023599748040344863,0.04311707782481999,0.14455804224655683,0.16463520313368762,0.03705488769900351,1.8932285919344858,0.046788031889978494,0.03571044242513606,0.060501330341562375
S1-tongue,0.18997454766987007,0.1664170321960664,0.10214327697852267,0.056739206744711536,0.14228761127236722,0.09758775981380892,0.04633450162700961,0.06581826039902863,0.16466325707611168,0.1318774997422429,0.02604196954129287,0.11816191894310656,0.3997467752324834,0.15961627860028807,0.08442655156775518,0.1494991868431551,0.46212780374927404,0.39319514727866334,0.36153954904160523,0.2794266292699666,0.2368039908539247,0.2608967653503763,0.19740777400439252,0.25286738693255495,0.1752986735235367,0.2076911927010408,0.3105249520610285,0.1415454362429393,0.15965688852171225,0.3529501293539276,0.37901305801227736,0.0813616479550386,1.2747427268378682,0.21610630771665784,0.10564151641098991,0.07337851024717915
S2-left_hand,0.24372949443280112,0.21283032016406228,0.22484074442921875,0.02063176185600536,0.215698192719428,0.14684343759192975,0.024834169696398716,0.07087878208408098,0.20933560832114034,0.16249897742855368,0.0326088664282443,0.014589595691740263,0.483579543439859,0.29718322567884314,0.02493616245800528,0.027787598878732816,0.5837471626521784,0.504465162255821,0.43388450543895124,0.38433224310964587,0.33371504602277724,0.3433395119732403,0.21359605684156216,0.3399104868565698,0.25342065444813483,0.2709198952007598,0.36445002900303114,0.16185079783260792,0.20345249972685836,0.4269103865293234,0.5140485703130516,0.12918802271184032,1.223319463616649,0.2822885576317983,0.12304167477279165,0.052317884957507235
S2-right_hand,0.3287211364353287,0.2914249641335022,0.27442455554309786,0.05152873938302834,0.28264888160520724,0.2075611068770914,0.04107766455168277,0.11513626543189724,0.2806358574053338,0.2243258483861877,0.050300539939725886,0.009760196391912243,0.6045914850365006,0.3545527739086778,0.020739995962023236,0.03080452825431885,0.7088366578223666,0.6193271735708353,0.5505849797363995,0.48052703496157617,0.4228869716952378,0.44053166425802415,0.27187146493171616,0.42257309934511744,0.33031159915419284,0.35879568550190954,0.47330713722279133,0.2313301562196166,0.27605353968675783,0.5342131244382398,0.6223399119277977,0.18103281967777984,1.0105008362765975,0.36686829899164364,0.18063564936632823,0.09218356765847298
S2-feet,0.7913251228417726,0.7087332317734969,0.7058401540547409,0.300359116683185,0.6696740759238238,0.5851549769440962,0.22505684672345927,0.39500965537584787,0.7167492521400141,0.6026593983741054,0.2740245918631124,0.09760553551239946,1.1955519289335899,0.8468021208552178,0.10876009818631739,0.14197745803806694,1.3122676222468304,1.2001905137544837,1.1192077261513511,0.9847096716729153,0.9386537221484321,0.9677364151747105,0.6939134503631664,0.9673444608901938,0.8070372922982082,0.8325198836538182,1.023009238536648,0.6527728419872683,0.7373700882429027,1.1304357795906745,1.2365385442932006,0.5650023469902216,0.5815155168988,0.8556976614087782,0.5784425170551385,0.4063876650870852
S2-tongue,0.4677314322912345,0.40184339101691263,0.4147681814050148,0.12467687579886391,0.37156830246525835,0.31245422827859665,0.07100873691190697,0.17744623881307453,0.415038503977743,0.32703994553114085,0.10129971437016189,0.027453955131267773,0.7871236476798633,0.5288797009892191,0.01540169200045011,0.0728317591255622,0.8782123621371255,0.7872521435636204,0.72652528762076,0.6141614512192702,0.582282331989906,0.6069968366182812,0.4222592646975459,0.6221558183866284,0.48277246344059715,0.4980828742617794,0.655772590595192,0.3708101012826368,0.4387562153915544,0.7481882764331266,0.8241319947147413,0.31160410034905006,0.8763673453706703,0.5194534997534201,0.32409568765869,0.2089054408921854
S3-left_hand,0.009005748078473413,0.010174612366894773,0.05421039031735557,0.10248671581562588,0.024635352545008777,0.02081314788692074,0.1442350769517692,0.06304093906467033,0.0038930982406350087,0.009953121753623085,0.10958827428859441,0.3285424334791013,0.0681832992687708,0.06495769426861214,0.2781836223333956,0.3662071161807483,0.10747241953165701,0.06766171142725147,0.05626620713079396,0.040338251364818216,0.02118190537393086,0.03211018422894425,0.06175220302843455,0.04978042793851174,0.009944140663644173,0.01028680067429555,0.0487381364590155,0.011941146226474575,0.022704731431686002,0.06735322236496803,0.0842781161258268,0.05551662664831192,2.2844716587490272,0.0067451744651094445,0.042386433849060996,0.10160083165235799
S3-right_hand,0.07340252358496381,0.06757444182077768,0.11112556983280028,0.07573935070474772,0.08142116487134218,0.06803218376586853,0.11162221271722776,0.08130262003062153,0.017813754727941895,0.011745157801809495,0.08339635236546591,0.2523357422623718,0.17645741841552326,0.11914434895033783,0.2197481944058509,0.3174876902911929,0.23845291697936905,0.17102417634252237,0.16234244121097366,0.13588934497643812,0.09553708735852529,0.1226210554816397,0.01777877811692595,0.09192454643312252,0.062025372361135,0.0789567941713956,0.14505240162078906,0.030118216670205516,0.05834284543077447,0.14109433124334705,0.19199704939822587,0.1011691321669997,2.0049927578441835,0.04865625422711,0.061691873331526516,0.10206048282622684
