component,subject,S_s,C_s,J_s
len,1,0.1263001959736132,0.057913634913915484,0.026170825391043435
len,2,0.25658049210856665,0.0507501684551306,0.04876486591798296
len,3,0.15846184535169594,0.10622433405096432,0.07906819673523482
len,4,0.09380310707838194,0.15771756115491264,0.13071720586245394
len,5,0.23208659836374962,0.007094990116619984,-0.002933151193718661
len,6,0.1587270443033828,0.033145764668075395,0.030150860510521155
len,7,0.14617374225184657,0.01080096569579701,0.0011740876805736433
len,8,0.13349091572375252,0.042943434979326685,0.03917233855185812
len,9,0.5032365906178902,0.7632586302682834,0.7587990488812646
ang,1,0.18564309356563657,0.5555626278019876,0.2422969575656401
ang,2,0.8555791821879057,0.033932563197719444,-0.02406853911585838
ang,3,0.24018524035857453,0.3750392521504267,0.14637347373342283
ang,4,0.29225778289170257,0.07722377741994452,0.01425662349152415
ang,5,0.17600499539850936,0.05802825835709723,-0.05216957548581562
ang,6,0.15107729809755022,0.058731044019193185,-0.052812393488075426
ang,7,0.152640414922184,0.11820702159907133,0.0027626534437679567
ang,8,0.24485484737469482,0.3402181737543327,0.023179234757731038
ang,9,0.48416273998607456,1.9209431874611433,1.4318612558257557
ori,1,0.2540269639609108,0.32704876212059447,0.23507447585031313
ori,2,0.32227719201022437,0.07642462594905527,0.04990307993900578
ori,3,0.3171585566478896,0.149235488099968,0.08022428471437582
ori,4,0.35166092204754057,0.17416574542085997,0.16769375443927176
ori,5,0.22634576973537082,0.05923139756698996,0.03533496750740711
ori,6,0.17063334735829383,0.05862848174935878,0.014189562280149143
ori,7,0.2562678313022284,0.1419328314776692,0.08813364375020333
ori,8,0.3016026695751135,0.3260143395737173,0.2564240632160343
ori,9,0.2698132312114562,0.5724589369374234,0.43511594450447977
full,1,0.3119432895392497,0.613476262715903,0.2684677829566835
full,2,1.1121596742964723,0.08468273165285001,0.024696326802124663
full,3,0.39864708571027047,0.48126358620139104,0.22544167046865754
full,4,0.38606088997008453,0.23494133857485722,0.14497382935397835
full,5,0.408091593762259,0.06512324847371723,-0.055102726679534336
full,6,0.309804342400933,0.09187680868726855,-0.022661532977554258
full,7,0.2988141571740306,0.12900798729486834,0.003936741124341586
full,8,0.3783457630984473,0.3831616087336593,0.06235157330958915
full,9,0.9873993306039646,2.684201817729427,2.1906603047070203
sensor,1,0.5659702535001605,0.9405250248364976,0.5035422588069967
sensor,2,1.4344368663066969,0.16110735760190534,0.07459940674113064
sensor,3,0.7158056423581602,0.6304990743013591,0.30566595518303336
sensor,4,0.7377218120176251,0.40910708399571716,0.3126675837932497
sensor,5,0.6344373634976298,0.12435464604070719,-0.019767759172127308
sensor,6,0.48043768975922685,0.1505052904366274,-0.008471970697404851
sensor,7,0.5550819884762589,0.2709408187725375,0.09207038487454478
sensor,8,0.679948432673561,0.7091759483073766,0.31877563652562363
sensor,9,1.2572125618154208,3.256660754666851,2.6257762492114995
