comparison,transition,c_len_step,c_ang_step,c_full_step
S1 Left0 -> S1 Left1,1->2,0.0014423988399372165,0.04397928451111627,0.04542168335105348
S1 Left0 -> S1 Left1,2->3,0.005288988186069984,0.06549369392177441,0.0707826821078444
S1 Left0 -> S1 Left1,3->4,1.0935394298151167e-06,0.056416647674664186,0.056417741214094
S1 Left0 -> S1 Left1,4->5,0.0007120797213499949,0.04645090658005337,0.047162986301403365
S1 Left0 -> S2 Left1,1->2,0.012391372153344347,0.7049368845743995,0.7173282567277438
S1 Left0 -> S2 Left1,2->3,0.0025953806362582783,0.03418838636666472,0.036783767002923
S1 Left0 -> S2 Left1,3->4,0.004338710974239487,0.05048143755690704,0.05482014853114653
S1 Left0 -> S2 Left1,4->5,0.0009948042025407706,0.04281344385576089,0.04380824805830166
S1 Left0 -> S1 Feet1,1->2,0.009688477970232827,0.51988871414703,0.5295771921172628
S1 Left0 -> S1 Feet1,2->3,0.004192836965665139,0.061688272564553254,0.06588110953021839
S1 Left0 -> S1 Feet1,3->4,4.76159596185889e-05,0.06917828173576636,0.06922589769538495
S1 Left0 -> S1 Feet1,4->5,0.05375902187056095,0.10227669706634451,0.15603571893690546
S1 Left0 -> S2 Feet1,1->2,0.20652993029041972,1.0443230444401557,1.2508529747305754
S1 Left0 -> S2 Feet1,2->3,1.897964347800552e-05,0.05843864516771725,0.05845762481119525
S1 Left0 -> S2 Feet1,3->4,0.00013457228986511814,0.1494585811271754,0.14959315341704052
S1 Left0 -> S2 Feet1,4->5,0.0008156462481409035,0.06431937478714295,0.06513502103528385
