subject,session,class,full_trials,half_A_trials,half_B_trials,passed
1,0train,left_hand,72,36,36,True
1,0train,right_hand,72,36,36,True
1,0train,feet,72,36,36,True
1,0train,tongue,72,36,36,True
1,1test,left_hand,72,36,36,True
1,1test,right_hand,72,36,36,True
1,1test,feet,72,36,36,True
1,1test,tongue,72,36,36,True
2,0train,left_hand,72,36,36,True
2,0train,right_hand,72,36,36,True
2,0train,feet,72,36,36,True
2,0train,tongue,72,36,36,True
2,1test,left_hand,72,36,36,True
2,1test,right_hand,72,36,36,True
2,1test,feet,72,36,36,True
2,1test,tongue,72,36,36,True
3,0train,left_hand,72,36,36,True
3,0train,right_hand,72,36,36,True
3,0train,feet,72,36,36,True
3,0train,tongue,72,36,36,True
3,1test,left_hand,72,36,36,True
3,1test,right_hand,72,36,36,True
3,1test,feet,72,36,36,True
3,1test,tongue,72,36,36,True
4,0train,left_hand,72,36,36,True
4,0train,right_hand,72,36,36,True
4,0train,feet,72,36,36,True
4,0train,tongue,72,36,36,True
4,1test,left_hand,72,36,36,True
4,1test,right_hand,72,36,36,True
4,1test,feet,72,36,36,True
4,1test,tongue,72,36,36,True
5,0train,left_hand,72,36,36,True
5,0train,right_hand,72,36,36,True
5,0train,feet,72,36,36,True
5,0train,tongue,72,36,36,True
5,1test,left_hand,72,36,36,True
5,1test,right_hand,72,36,36,True
5,1test,feet,72,36,36,True
5,1test,tongue,72,36,36,True
6,0train,left_hand,72,36,36,True
6,0train,right_hand,72,36,36,True
6,0train,feet,72,36,36,True
6,0train,tongue,72,36,36,True
6,1test,left_hand,72,36,36,True
6,1test,right_hand,72,36,36,True
6,1test,feet,72,36,36,True
6,1test,tongue,72,36,36,True
7,0train,left_hand,72,36,36,True
7,0train,right_hand,72,36,36,True
7,0train,feet,72,36,36,True
7,0train,tongue,72,36,36,True
7,1test,left_hand,72,36,36,True
7,1test,right_hand,72,36,36,True
7,1test,feet,72,36,36,True
7,1test,tongue,72,36,36,True
8,0train,left_hand,72,36,36,True
8,0train,right_hand,72,36,36,True
8,0train,feet,72,36,36,True
8,0train,tongue,72,36,36,True
8,1test,left_hand,72,36,36,True
8,1test,right_hand,72,36,36,True
8,1test,feet,72,36,36,True
8,1test,tongue,72,36,36,True
9,0train,left_hand,72,36,36,True
9,0train,right_hand,72,36,36,True
9,0train,feet,72,36,36,True
9,0train,tongue,72,36,36,True
9,1test,left_hand,72,36,36,True
9,1test,right_hand,72,36,36,True
9,1test,feet,72,36,36,True
9,1test,tongue,72,36,36,True
