stage,split,target,source,session_or_direction_index,heldout_class,semantic_permutation,start_index,initial_determinant,final_determinant,objective,gradient_norm,iterations,converged,near_optimal,stopping_criterion,actual_total_starts
A_semantic,F,1,2,0,left_hand,0,0,1,0.9999999999999998,2.47290654490969,1.7269050534943282e-06,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.26 seconds.",4
A_semantic,F,1,2,0,left_hand,0,1,-1,-1.000000000000003,2.474675872876718,2.61133613143497e-06,15,True,False,"Terminated - min grad norm reached after 15 iterations, 0.12 seconds.",4
A_semantic,F,1,2,0,left_hand,0,2,-1,-0.9999999999999972,2.4710705218701055,8.024581461764374e-06,19,True,True,"Terminated - min grad norm reached after 19 iterations, 0.27 seconds.",4
A_semantic,F,1,2,0,left_hand,0,3,1,1.0000000000000058,2.4761234099693628,8.892576741952365e-09,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.22 seconds.",4
A_semantic,F,1,2,0,left_hand,1,0,1,1.0000000000000027,4.091674564563145,9.118867425662718e-06,21,True,True,"Terminated - min grad norm reached after 21 iterations, 0.10 seconds.",4
A_semantic,F,1,2,0,left_hand,1,1,-1,-0.9999999999999997,4.092089669737911,7.775249866977315e-08,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.18 seconds.",4
A_semantic,F,1,2,0,left_hand,1,2,-1,-1.0000000000000095,4.100289637980757,2.2627529244740085e-07,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.16 seconds.",4
A_semantic,F,1,2,0,left_hand,1,3,1,1.0000000000000007,4.10926445256038,6.476280512378885e-06,31,True,False,"Terminated - min grad norm reached after 31 iterations, 0.40 seconds.",4
A_semantic,F,1,2,0,left_hand,2,0,1,0.9999999999999999,2.2297788922989814,2.1622514133702501e-07,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.26 seconds.",4
A_semantic,F,1,2,0,left_hand,2,1,-1,-1.0000000000000002,2.2217404803892604,9.508904216225237e-06,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.20 seconds.",4
A_semantic,F,1,2,0,left_hand,2,2,1,0.9999999999999962,2.2208541157395296,5.744447966091045e-06,24,True,True,"Terminated - min grad norm reached after 24 iterations, 0.23 seconds.",4
A_semantic,F,1,2,0,left_hand,2,3,-1,-1.0000000000000073,2.2343819033704246,4.46301724861736e-07,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.31 seconds.",4
A_semantic,F,1,2,0,left_hand,3,0,-1,-1.0000000000000067,3.966429571874692,4.201332099634395e-07,24,True,True,"Terminated - min grad norm reached after 24 iterations, 0.20 seconds.",4
