stage,split,target,source,session_or_direction_index,heldout_class,semantic_permutation,start_index,initial_determinant,final_determinant,objective,gradient_norm,iterations,converged,near_optimal,stopping_criterion,actual_total_starts
A,F,1,2,0,left_hand,-1,0,1,1.0000000000000022,3.0206697186147347,1.586551197024991e-06,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.24 seconds.",4
A,F,1,2,0,left_hand,-1,1,-1,-1.0000000000000009,3.0172877416512125,3.8061097630922464e-07,27,True,True,"Terminated - min grad norm reached after 27 iterations, 0.19 seconds.",4
A,F,1,2,0,left_hand,-1,2,-1,-1.0000000000000087,3.0226082192755577,1.7109414616232792e-06,30,True,False,"Terminated - min grad norm reached after 30 iterations, 0.25 seconds.",4
A,F,1,2,0,left_hand,-1,3,1,0.9999999999999991,3.0203923042347416,5.697477231322468e-07,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.14 seconds.",4
A,A,1,2,0,left_hand,-1,0,-1,-0.9999999999999927,2.969742304643547,6.1867672871101535e-06,17,True,True,"Terminated - min grad norm reached after 17 iterations, 0.11 seconds.",4
A,A,1,2,0,left_hand,-1,1,1,1.0000000000000018,2.981071116192564,3.0257445900100084e-07,25,True,False,"Terminated - min grad norm reached after 25 iterations, 0.14 seconds.",4
A,A,1,2,0,left_hand,-1,2,1,1.0000000000000109,2.9728260626027083,2.697589534818314e-07,24,True,False,"Terminated - min grad norm reached after 24 iterations, 0.25 seconds.",4
A,A,1,2,0,left_hand,-1,3,-1,-1.000000000000006,2.9740834066513817,2.358563068706649e-06,22,True,False,"Terminated - min grad norm reached after 22 iterations, 0.20 seconds.",4
A,B,1,2,0,left_hand,-1,0,-1,-0.9999999999999953,3.132953427691308,1.1355752281793335e-06,19,True,False,"Terminated - min grad norm reached after 19 iterations, 0.13 seconds.",4
A,B,1,2,0,left_hand,-1,1,1,1.000000000000004,3.1308795208210976,9.479107929634282e-07,18,True,False,"Terminated - min grad norm reached after 18 iterations, 0.14 seconds.",4
A,B,1,2,0,left_hand,-1,2,1,1.000000000000003,3.128374208198873,1.0948525332194344e-06,18,True,True,"Terminated - min grad norm reached after 18 iterations, 0.13 seconds.",4
A,B,1,2,0,left_hand,-1,3,-1,-1.0000000000000024,3.1288538913001447,1.2926694311922788e-08,21,True,False,"Terminated - min grad norm reached after 21 iterations, 0.18 seconds.",4
A,F,1,2,0,right_hand,-1,0,-1,-1.000000000000011,2.544423112684143,1.5148665299482112e-08,23,True,True,"Terminated - min grad norm reached after 23 iterations, 0.21 seconds.",4
A,F,1,2,0,right_hand,-1,1,1,1.0000000000000027,2.5448921502702437,1.331693667250351e-06,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.17 seconds.",4
A,F,1,2,0,right_hand,-1,2,-1,-0.9999999999999976,2.5527036787612323,1.405228487999606e-07,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.17 seconds.",4
A,F,1,2,0,right_hand,-1,3,1,0.9999999999999991,2.5530730821406564,6.477050125499942e-07,20,True,False,"Terminated - min grad norm reached after 20 iterations, 0.19 seconds.",4
A,A,1,2,0,right_hand,-1,0,-1,-0.9999999999999999,2.042260139004358,3.470717403116906e-08,34,True,True,"Terminated - min grad norm reached after 34 iterations, 0.25 seconds.",4
A,A,1,2,0,right_hand,-1,1,1,1.000000000000009,2.0469929683780865,5.6119126816833265e-09,16,True,False,"Terminated - min grad norm reached after 16 iterations, 0.15 seconds.",4
A,A,1,2,0,right_hand,-1,2,-1,-0.9999999999999958,2.0463189947289466,4.053081759894086e-07,29,True,False,"Terminated - min grad norm reached after 29 iterations, 0.37 seconds.",4
