target,source,train_session,test_session,heldout_class,permutation_index,gain
1,2,0train,1test,left_hand,0,0.1217178268642829
1,2,0train,1test,left_hand,1,-0.12956090358641315
1,2,0train,1test,left_hand,2,0.04668059883019482
1,2,0train,1test,left_hand,3,-0.1495954697202686
1,2,0train,1test,left_hand,4,-0.027905700988605897
1,2,0train,1test,right_hand,0,0.11750530680428029
1,2,0train,1test,right_hand,1,-0.057416724982672473
1,2,0train,1test,right_hand,2,-0.009465870659410847
1,2,0train,1test,right_hand,3,-0.13389679199063298
1,2,0train,1test,right_hand,4,-0.1538205459930685
1,2,0train,1test,feet,0,0.04448114498320144
1,2,0train,1test,feet,1,0.03230049168299709
1,2,0train,1test,feet,2,0.08788001436832893
1,2,0train,1test,feet,3,-0.04591113650691281
1,2,0train,1test,feet,4,0.04449700488811292
1,2,0train,1test,tongue,0,0.018392745854070247
1,2,0train,1test,tongue,1,-0.0012525277980841576
1,2,0train,1test,tongue,2,0.01565016219648241
1,2,0train,1test,tongue,3,0.049849186192126194
1,2,0train,1test,tongue,4,0.0404747863825794
1,2,1test,0train,left_hand,0,0.2077673517297124
1,2,1test,0train,left_hand,1,-0.08809229393935036
1,2,1test,0train,left_hand,2,0.0016880458727966952
1,2,1test,0train,left_hand,3,-0.12376824877928516
1,2,1test,0train,left_hand,4,-0.029011349372248807
1,2,1test,0train,right_hand,0,0.24013316356521885
1,2,1test,0train,right_hand,1,0.05418865350282309
1,2,1test,0train,right_hand,2,0.12176740936432362
1,2,1test,0train,right_hand,3,0.0734187331905991
1,2,1test,0train,right_hand,4,0.07890781297224558
1,2,1test,0train,feet,0,0.3473597593689156
1,2,1test,0train,feet,1,0.41721039096059165
1,2,1test,0train,feet,2,0.4249609473055964
1,2,1test,0train,feet,3,0.2053482761737353
1,2,1test,0train,feet,4,0.4025936253918593
1,2,1test,0train,tongue,0,0.017353956445795404
1,2,1test,0train,tongue,1,0.014433181991361455
1,2,1test,0train,tongue,2,0.028657187829051578
