target,session_or_direction,heldout_class,median_over_8_sources_gain
1,0train->1test,left_hand,-0.014226022944294814
1,0train->1test,right_hand,0.06053953137085594
1,0train->1test,feet,0.09790198731149086
1,0train->1test,tongue,0.06392167134743121
1,1test->0train,left_hand,0.006502213582592509
1,1test->0train,right_hand,0.03557633884470801
1,1test->0train,feet,0.0030608721222765145
1,1test->0train,tongue,0.0632226772048411
2,0train->1test,left_hand,0.2866272424330911
2,0train->1test,right_hand,0.3118552174062309
2,0train->1test,feet,0.35886432656673084
2,0train->1test,tongue,0.10142616764060186
2,1test->0train,left_hand,0.4043518891135798
2,1test->0train,right_hand,0.3669401878684623
2,1test->0train,feet,0.4693061633305964
2,1test->0train,tongue,-0.23913613130774092
3,0train->1test,left_hand,-0.04097892791482832
3,0train->1test,right_hand,0.10418846575047147
3,0train->1test,feet,0.18733407821385695
3,0train->1test,tongue,0.0023136909578393983
3,1test->0train,left_hand,-0.0010749133608849437
3,1test->0train,right_hand,0.10329545075593397
3,1test->0train,feet,-0.011479351020629303
3,1test->0train,tongue,-0.012564974883381042
4,0train->1test,left_hand,-0.04819494526659285
4,0train->1test,right_hand,0.009478336640113383
4,0train->1test,feet,0.32489006925191843
4,0train->1test,tongue,0.11208884257771368
4,1test->0train,left_hand,-0.042896572664141264
4,1test->0train,right_hand,-0.22465559372363497
4,1test->0train,feet,0.040903788634226945
4,1test->0train,tongue,0.12047122048066139
5,0train->1test,left_hand,-0.042575913672296295
5,0train->1test,right_hand,-0.3715835504788144
5,0train->1test,feet,-0.2147770262943549
5,0train->1test,tongue,0.41296076183300645
5,1test->0train,left_hand,0.25571301637981114
5,1test->0train,right_hand,-0.1366220559126372
5,1test->0train,feet,-0.16757681477910857
5,1test->0train,tongue,0.13760483726763573
6,0train->1test,left_hand,0.014432952581184155
6,0train->1test,right_hand,-0.10272207325292149
6,0train->1test,feet,0.3190817544577203
6,0train->1test,tongue,-0.20033642582319544
6,1test->0train,left_hand,-0.036657123880707077
6,1test->0train,right_hand,-0.15583253549414033
6,1test->0train,feet,0.40883469817646123
6,1test->0train,tongue,0.0986739381271925
7,0train->1test,left_hand,0.151994255047385
7,0train->1test,right_hand,0.03600946025327689
7,0train->1test,feet,0.3526637274687976
7,0train->1test,tongue,0.03261163127898414
7,1test->0train,left_hand,0.062235140659093025
7,1test->0train,right_hand,0.2272850056651753
7,1test->0train,feet,0.07860592039451902
7,1test->0train,tongue,0.01997629518395866
8,0train->1test,left_hand,-0.12267258394530989
8,0train->1test,right_hand,-0.2802522752460521
8,0train->1test,feet,-0.14054541002732668
8,0train->1test,tongue,0.08361532947597397
8,1test->0train,left_hand,-0.14738052140897495
8,1test->0train,right_hand,-0.14534963713794735
8,1test->0train,feet,-0.44680771431612243
8,1test->0train,tongue,0.012275998862575549
9,0train->1test,left_hand,0.008294374092509937
9,0train->1test,right_hand,-0.1708039430599393
9,0train->1test,feet,0.10044251134935711
9,0train->1test,tongue,0.0028489654792253627
9,1test->0train,left_hand,-0.028720839824887434
9,1test->0train,right_hand,-0.003480769080814128
9,1test->0train,feet,-0.1674822295921624
9,1test->0train,tongue,-0.025700240940570607
