protocol_version,protocol_sha256,config_sha256,seed,session,generated_at_utc,status,analysis,representation,subject,scalar,airm_value,le_value,paired_delta,delta_category,airm_status,le_status,agreement_category,interpretation
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,1,balanced_accuracy,0.2604166666666667,0.2743055555555556,0.013888888888888895,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,2,balanced_accuracy,0.2638888888888889,0.2743055555555556,0.010416666666666685,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,3,balanced_accuracy,0.26388888888888884,0.25,-0.01388888888888884,worsened,PASS,PASS,DISAGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,4,balanced_accuracy,0.28125,0.2777777777777778,-0.00347222222222221,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,5,balanced_accuracy,0.2534722222222222,0.24999999999999997,-0.0034722222222222376,worsened,PASS,PASS,DISAGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,6,balanced_accuracy,0.2465277777777778,0.23958333333333331,-0.006944444444444475,worsened,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,7,balanced_accuracy,0.2569444444444444,0.23611111111111113,-0.020833333333333287,worsened,PASS,PASS,DISAGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,8,balanced_accuracy,0.27083333333333337,0.27777777777777773,0.006944444444444364,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_subject_ba,PATH_D10,9,balanced_accuracy,0.2569444444444444,0.2673611111111111,0.010416666666666685,improved,PASS,PASS,AGREE,LE is a paired secondary robustness repeat; delta is LE minus AIRM.
0.0,16062edc068a8287bee1abc97d00ab9d6b15f9fcb29f76225e391594474ed75e,b75890b1f4f8215561501c50ca4049b833efccee7bfce8559a548b59587c99db,20260809,0train,2026-08-09T11:33:48.749158Z,PASS,observed_class_loso_group,PATH_D10,GROUP,mean_subject_ba,0.2615740740740741,0.2608024691358024,-0.0007716049382717194,worsened,PASS,PASS,AGREE,Nine-subject aggregate; no geometry selection or voting.
