comparison,omitted_subject,leave_one_subject_out_mean_delta,all_subject_mean_delta,top_contributor_share
DELTA_LEN,1,0.00043402777777776236,0.0023148148148148064,0.2272727272727284
DELTA_LEN,2,0.0030381944444444406,0.0023148148148148064,0.2272727272727284
DELTA_LEN,3,0.002170138888888881,0.0023148148148148064,0.2272727272727284
DELTA_LEN,4,0.003906249999999986,0.0023148148148148064,0.2272727272727284
DELTA_LEN,5,0.0013020833333333287,0.0023148148148148064,0.2272727272727284
DELTA_LEN,6,0.002170138888888888,0.0023148148148148064,0.2272727272727284
DELTA_LEN,7,0.002170138888888881,0.0023148148148148064,0.2272727272727284
DELTA_LEN,8,0.0013020833333333287,0.0023148148148148064,0.2272727272727284
DELTA_LEN,9,0.004340277777777762,0.0023148148148148064,0.2272727272727284
DELTA_GRAM,1,0.002170138888888881,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,2,0.003472222222222217,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,3,0.0008680555555555525,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,4,0.00347222222222221,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,5,0.0013020833333333287,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,6,0.0030381944444444337,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,7,0.003906249999999993,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,8,-0.0004340277777777901,0.0027006172839506076,0.25806451612903275
DELTA_GRAM,9,0.0065104166666666435,0.0027006172839506076,0.25806451612903275
DELTA_SENSOR,1,-0.03602430555555555,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,2,-0.040364583333333336,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,3,-0.03385416666666667,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,4,-0.029947916666666678,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,5,-0.041232638888888895,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,6,-0.039496527777777776,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,7,-0.04166666666666667,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,8,-0.036892361111111105,-0.03742283950617284,0.28865979381443274
DELTA_SENSOR,9,-0.037326388888888895,-0.03742283950617284,0.28865979381443274
