protocol,target_subject,condition,true_class,predicted_class,count
T2,1,STATIC,left_hand,left_hand,54
T2,1,STATIC,left_hand,right_hand,12
T2,1,STATIC,left_hand,feet,6
T2,1,STATIC,left_hand,tongue,0
T2,1,STATIC,right_hand,left_hand,16
T2,1,STATIC,right_hand,right_hand,50
T2,1,STATIC,right_hand,feet,4
T2,1,STATIC,right_hand,tongue,2
T2,1,STATIC,feet,left_hand,4
T2,1,STATIC,feet,right_hand,19
T2,1,STATIC,feet,feet,29
T2,1,STATIC,feet,tongue,20
T2,1,STATIC,tongue,left_hand,3
T2,1,STATIC,tongue,right_hand,4
T2,1,STATIC,tongue,feet,20
T2,1,STATIC,tongue,tongue,45
T2,1,MOV_LEN,left_hand,left_hand,39
T2,1,MOV_LEN,left_hand,right_hand,23
T2,1,MOV_LEN,left_hand,feet,1
T2,1,MOV_LEN,left_hand,tongue,9
T2,1,MOV_LEN,right_hand,left_hand,47
T2,1,MOV_LEN,right_hand,right_hand,16
T2,1,MOV_LEN,right_hand,feet,2
T2,1,MOV_LEN,right_hand,tongue,7
T2,1,MOV_LEN,feet,left_hand,33
T2,1,MOV_LEN,feet,right_hand,19
T2,1,MOV_LEN,feet,feet,5
T2,1,MOV_LEN,feet,tongue,15
T2,1,MOV_LEN,tongue,left_hand,25
T2,1,MOV_LEN,tongue,right_hand,21
T2,1,MOV_LEN,tongue,feet,2
T2,1,MOV_LEN,tongue,tongue,24
T2,1,MOV_GRAM,left_hand,left_hand,34
T2,1,MOV_GRAM,left_hand,right_hand,19
T2,1,MOV_GRAM,left_hand,feet,12
T2,1,MOV_GRAM,left_hand,tongue,7
T2,1,MOV_GRAM,right_hand,left_hand,44
T2,1,MOV_GRAM,right_hand,right_hand,12
T2,1,MOV_GRAM,right_hand,feet,9
T2,1,MOV_GRAM,right_hand,tongue,7
T2,1,MOV_GRAM,feet,left_hand,36
T2,1,MOV_GRAM,feet,right_hand,12
T2,1,MOV_GRAM,feet,feet,13
T2,1,MOV_GRAM,feet,tongue,11
T2,1,MOV_GRAM,tongue,left_hand,30
T2,1,MOV_GRAM,tongue,right_hand,21
T2,1,MOV_GRAM,tongue,feet,5
T2,1,MOV_GRAM,tongue,tongue,16
T2,1,MOV_SENSOR,left_hand,left_hand,29
T2,1,MOV_SENSOR,left_hand,right_hand,15
T2,1,MOV_SENSOR,left_hand,feet,18
T2,1,MOV_SENSOR,left_hand,tongue,10
T2,1,MOV_SENSOR,right_hand,left_hand,19
T2,1,MOV_SENSOR,right_hand,right_hand,13
T2,1,MOV_SENSOR,right_hand,feet,23
T2,1,MOV_SENSOR,right_hand,tongue,17
T2,1,MOV_SENSOR,feet,left_hand,10
T2,1,MOV_SENSOR,feet,right_hand,13
T2,1,MOV_SENSOR,feet,feet,25
