half,subject,session,class,transition,v_airm_norm,u_frobenius_norm,z_frobenius_norm,expected_airm_speed,maximum_norm_absolute_error,maximum_edge_transport_relative_error,z_symmetry_relative_error,passed
full,1,0,left_hand,1,0.8264589207204646,0.8264589207204647,0.8264589207204646,0.8264589207204647,1.1102230246251565e-16,0.0,0.0,True
full,1,0,left_hand,2,0.9667056885153605,0.9667056885153594,0.9667056885153615,0.9667056885153594,2.1094237467877974e-15,1.0336141951302513e-15,0.0,True
full,1,0,left_hand,3,0.9382969927257859,0.9382969927257859,0.938296992725788,0.9382969927257859,2.1094237467877974e-15,2.0114943951593182e-15,0.0,True
full,1,0,left_hand,4,1.265778159215571,1.2657781592155688,1.2657781592155761,1.2657781592155688,7.327471962526033e-15,1.929635644597469e-15,0.0,True
full,1,0,right_hand,1,0.8362154157268356,0.8362154157268348,0.8362154157268354,0.8362154157268348,7.771561172376096e-16,0.0,0.0,True
full,1,0,right_hand,2,1.3338734522791662,1.3338734522791644,1.3338734522791695,1.3338734522791644,5.10702591327572e-15,2.496990301579513e-15,0.0,True
full,1,0,right_hand,3,1.0299804819199774,1.029980481919974,1.0299804819199871,1.029980481919974,1.3100631690576847e-14,5.1739529163376484e-15,0.0,True
full,1,0,right_hand,4,1.1465008559504888,1.146500855950491,1.1465008559504988,1.146500855950491,7.771561172376096e-15,5.229132016657381e-15,0.0,True
full,2,0,left_hand,1,0.8345913223602247,0.8345913223602256,0.8345913223602248,0.8345913223602256,8.881784197001252e-16,0.0,0.0,True
full,2,0,left_hand,2,0.9695236879491957,0.9695236879491933,0.9695236879491994,0.9695236879491933,6.106226635438361e-15,3.893415220942306e-15,0.0,True
full,2,0,left_hand,3,1.1241617748415715,1.124161774841572,1.124161774841575,1.124161774841572,3.1086244689504383e-15,3.160322436066797e-15,0.0,True
full,2,0,left_hand,4,0.962357158367866,0.9623571583678643,0.9623571583678682,0.9623571583678644,3.774758283725532e-15,3.1148541271016006e-15,0.0,True
full,2,0,right_hand,1,1.0319424649224989,1.0319424649224995,1.0319424649224989,1.0319424649224995,6.661338147750939e-16,0.0,0.0,True
full,2,0,right_hand,2,0.8423204685212003,0.8423204685212001,0.8423204685212008,0.8423204685212001,6.661338147750939e-16,5.272212019609555e-16,0.0,True
full,2,0,right_hand,3,1.006906022196712,1.0069060221967128,1.0069060221967148,1.0069060221967128,1.9984014443252818e-15,2.4257384505921306e-15,0.0,True
full,2,0,right_hand,4,1.1036878268943406,1.1036878268943426,1.1036878268943375,1.1036878268943426,5.10702591327572e-15,3.621316454941012e-15,0.0,True
full,3,0,left_hand,1,1.027446661067018,1.0274466610670159,1.027446661067018,1.0274466610670157,2.4424906541753444e-15,0.0,0.0,True
full,3,0,left_hand,2,1.1196876551373047,1.1196876551373063,1.1196876551373052,1.1196876551373063,1.5543122344752192e-15,3.966188318791501e-16,0.0,True
full,3,0,left_hand,3,0.8473044749766909,0.8473044749766914,0.8473044749766899,0.8473044749766914,1.4432899320127035e-15,1.179269969263562e-15,0.0,True
full,3,0,left_hand,4,0.8216619132849285,0.8216619132849282,0.8216619132849269,0.8216619132849282,1.3322676295501878e-15,2.837503252879071e-15,0.0,True
full,3,0,right_hand,1,1.37270818178822,1.3727081817882238,1.3727081817882203,1.3727081817882238,3.774758283725532e-15,0.0,0.0,True
full,3,0,right_hand,2,0.7609067228481092,0.76090672284811,0.7609067228481099,0.7609067228481101,8.881784197001252e-16,8.754474034369463e-16,0.0,True
full,3,0,right_hand,3,0.7669775275721463,0.7669775275721468,0.7669775275721441,0.7669775275721467,2.55351295663786e-15,2.4608010978329848e-15,0.0,True
full,3,0,right_hand,4,0.9272033918579662,0.9272033918579673,0.9272033918579623,0.9272033918579673,4.9960036108132044e-15,2.993472183056969e-15,0.0,True
full,4,0,left_hand,1,0.788792581706076,0.788792581706076,0.7887925817060761,0.788792581706076,1.1102230246251565e-16,0.0,0.0,True
full,4,0,left_hand,2,0.7417383380411211,0.741738338041121,0.7417383380411208,0.7417383380411211,3.3306690738754696e-16,4.49035583447329e-16,0.0,True
full,4,0,left_hand,3,0.9559300371114682,0.9559300371114691,0.955930037111468,0.9559300371114691,1.1102230246251565e-15,2.32281230115943e-15,0.0,True
full,4,0,left_hand,4,0.705492721871118,0.7054927218711181,0.7054927218711184,0.7054927218711181,3.3306690738754696e-16,1.4163161308206617e-15,0.0,True
full,4,0,right_hand,1,0.9331803664549208,0.9331803664549208,0.9331803664549209,0.9331803664549208,1.1102230246251565e-16,0.0,0.0,True
full,4,0,right_hand,2,0.8386941072662788,0.8386941072662804,0.8386941072662772,0.8386941072662804,3.1086244689504383e-15,1.853252837964363e-15,0.0,True
full,4,0,right_hand,3,0.8718256944436318,0.8718256944436316,0.871825694443629,0.8718256944436314,2.4424906541753444e-15,1.7828245306157513e-15,0.0,True
full,4,0,right_hand,4,0.9191758973871589,0.9191758973871567,0.9191758973871597,0.9191758973871565,3.1086244689504383e-15,3.261184475146563e-15,0.0,True
full,5,0,left_hand,1,1.0232631886672656,1.0232631886672665,1.0232631886672656,1.0232631886672665,8.881784197001252e-16,0.0,0.0,True
full,5,0,left_hand,2,1.0070573667092673,1.0070573667092668,1.007057366709267,1.0070573667092668,4.440892098500626e-16,4.4097707293597414e-16,0.0,True
full,5,0,left_hand,3,0.8439336800155509,0.843933680015551,0.8439336800155504,0.8439336800155509,5.551115123125783e-16,1.183980146572926e-15,0.0,True
full,5,0,left_hand,4,0.987228961126013,0.9872289611260142,0.9872289611260106,0.9872289611260141,3.552713678800501e-15,2.249170290464046e-15,0.0,True
full,5,0,right_hand,1,1.5073963876001983,1.5073963876001968,1.5073963876001983,1.5073963876001968,1.5543122344752192e-15,0.0,0.0,True
full,5,0,right_hand,2,1.0159388525724766,1.0159388525724788,1.0159388525724755,1.0159388525724788,3.3306690738754696e-15,1.0928049673599364e-15,0.0,True
full,5,0,right_hand,3,1.0090047715139816,1.0090047715139832,1.0090047715139792,1.0090047715139832,3.9968028886505635e-15,1.5404409159958877e-15,0.0,True
full,5,0,right_hand,4,1.0589540793506238,1.0589540793506231,1.0589540793506205,1.058954079350623,2.4424906541753444e-15,1.467780581598367e-15,0.0,True
full,6,0,left_hand,1,0.837279390142313,0.8372793901423137,0.837279390142313,0.8372793901423136,5.551115123125783e-16,0.0,0.0,True
full,6,0,left_hand,2,0.9373435754627822,0.9373435754627824,0.9373435754627825,0.9373435754627824,1.1102230246251565e-16,2.368871038726692e-16,0.0,True
full,6,0,left_hand,3,0.8444778800471029,0.8444778800471017,0.8444778800471058,0.8444778800471017,4.107825191113079e-15,3.4181829177863022e-15,0.0,True
full,6,0,left_hand,4,0.8354809229060678,0.8354809229060681,0.8354809229060725,0.835480922906068,4.440892098500626e-15,4.119413480282319e-15,0.0,True
full,6,0,right_hand,1,1.0066919888116002,1.0066919888116015,1.0066919888116002,1.0066919888116013,1.1102230246251565e-15,0.0,0.0,True
full,6,0,right_hand,2,1.013227902550475,1.0132279025504722,1.0132279025504771,1.0132279025504722,4.884981308350689e-15,2.1914576608688435e-15,0.0,True
full,6,0,right_hand,3,0.8647740091267381,0.8647740091267396,0.8647740091267391,0.8647740091267396,1.5543122344752192e-15,1.5405962893074577e-15,0.0,True
