subject,class,identity_cost,median_derangement_cost,identity_advantage,identity_rank_among_120
1,left_hand,1.1242787388836106,1.2716273134613547,0.14734857457774408,1
1,right_hand,1.2232226888073268,1.2805694834531964,0.05734679464586967,28
2,left_hand,2.8447330214514652,2.849456597597852,0.004723576146386854,28
2,right_hand,2.8872454125463167,2.889219561306743,0.001974148760426342,46
3,left_hand,2.3081723523329565,2.3141491035948833,0.0059767512619268715,40
3,right_hand,1.8254952337819916,1.834150636293281,0.008655402511289267,28
4,left_hand,2.422785955035443,2.4210015483816685,-0.0017844066537744396,74
4,right_hand,2.631070284211148,2.637817706811438,0.00674742260028971,8
5,left_hand,1.9241298356407055,1.9205501402461191,-0.0035796953945863574,75
5,right_hand,1.7838777573322988,1.8065346723011617,0.022656914968862907,5
6,left_hand,1.3748968188601713,1.3849738547400743,0.01007703587990294,25
6,right_hand,1.3989243469301114,1.4592202074993905,0.06029586056927916,5
7,left_hand,1.374508760104198,1.3858332848760344,0.01132452477183632,12
7,right_hand,1.618876042164976,1.6808437979447948,0.061967755779818834,7
8,left_hand,1.6152461231306527,1.7841749363240793,0.16892881319342656,6
8,right_hand,1.4494149711562183,1.5753179878306205,0.12590301667440218,10
9,left_hand,1.1186194534004021,1.1300051442230954,0.01138569082269325,12
9,right_hand,0.9964507016388657,1.0009578565426525,0.004507154903786725,45
10,left_hand,1.7419721081360209,1.839591911965609,0.09761980382958813,2
10,right_hand,1.8868418332401087,1.9172045304493135,0.030362697209204814,30
11,left_hand,2.3852353149690684,2.3887343557655676,0.0034990407964992087,30
11,right_hand,2.572835563308779,2.565076654451703,-0.007758908857076197,119
12,left_hand,1.530706820502827,1.5310682622297012,0.00036144172687424536,59
12,right_hand,1.3112929508177829,1.3097743475693042,-0.0015186032484786338,58
13,left_hand,1.785800680263341,1.8061611689778685,0.020360488714527447,20
13,right_hand,1.545042883224158,1.5610833117315304,0.016040428507372306,37
14,left_hand,2.1542866121582964,2.1721326408211468,0.017846028662850344,33
14,right_hand,2.0953391390647678,2.1046340658088543,0.009294926744086496,36
15,left_hand,2.3667577058087694,2.372778913031904,0.006021207223134706,10
15,right_hand,2.2255369927062105,2.245179768932813,0.019642776226602265,26
16,left_hand,3.1491305141374206,3.150727647385392,0.001597133247971172,54
16,right_hand,1.7310086820075412,1.7126621702036322,-0.018346511803909005,91
17,left_hand,2.727934220210332,2.7431198810071455,0.015185660796813494,22
17,right_hand,2.654630458268683,2.665135972662309,0.010505514393626125,7
18,left_hand,2.458391794830406,2.457431867955372,-0.0009599268750339895,70
18,right_hand,2.5238590496783853,2.5241561904716616,0.00029714079327636256,56
19,left_hand,1.580271280820822,1.5654152183024301,-0.014856062518391777,108
19,right_hand,1.7408084999690698,1.7499927141464453,0.009184214177375472,51
20,left_hand,2.9638642750933966,2.9701830071702418,0.0063187320768451904,23
20,right_hand,2.823452883704447,2.8225943699097984,-0.0008585137946486299,60
21,left_hand,1.364717980220499,1.400560107833361,0.035842127612861985,7
21,right_hand,1.797625238554518,1.797126290588599,-0.0004989479659189833,56
22,left_hand,2.303617347123444,2.30710245153431,0.0034851044108661355,22
22,right_hand,2.5087043422636994,2.5261974583351177,0.017493116071418235,23
23,left_hand,1.3978737790034015,1.395555118190356,-0.0023186608130454367,63
23,right_hand,1.250287100298928,1.2686818332399161,0.018394732940988145,41
24,left_hand,1.9127047955946301,1.9111926695085548,-0.001512126086075316,65
24,right_hand,1.8983339769525986,1.9085317671996653,0.010197790247066685,4
25,left_hand,1.3901867145311602,1.4215936548140848,0.03140694028292468,21
25,right_hand,1.4852437468388724,1.4817263167558254,-0.0035174300830469463,68
26,left_hand,1.5535094822617879,1.5758722548468378,0.022362772585049928,34
26,right_hand,1.2685380555061518,1.2552779492722193,-0.01326010623393259,68
27,left_hand,1.6900297059901586,1.7023277678146977,0.012298061824539186,5
27,right_hand,2.055427558089594,2.0677326094844264,0.0123050513948324,6
28,left_hand,2.1748449626299187,2.2102136291436723,0.03536866651375359,3
28,right_hand,2.294374419197026,2.305345396991136,0.010970977794110048,20
29,left_hand,1.6745540816264743,1.8816644144018015,0.2071103327753272,1
29,right_hand,2.114203924963644,2.117111422460051,0.00290749749640673,46
30,left_hand,2.292196100886772,2.292395962758542,0.00019986187177023496,57
30,right_hand,2.1671025174449543,2.1786992255024553,0.011596708057501015,10
31,left_hand,1.3546003059704732,1.3682279354093492,0.013627629438875966,9
31,right_hand,1.569923048524647,1.5278170468215766,-0.04210600170307033,107
32,left_hand,2.3041411335573794,2.3302443061984968,0.02610317264111739,1
32,right_hand,2.3916340095670106,2.4124747652076546,0.020840755640644026,4
33,left_hand,1.3308700639509523,1.2948301190377793,-0.03603994491317297,100
33,right_hand,1.4827618912563325,1.476183343523359,-0.006578547732973616,63
34,left_hand,3.696081717153987,3.725870935131756,0.029789217977769233,8
34,right_hand,3.385276966306485,3.40029202053483,0.01501505422834537,13
35,left_hand,3.311883534047889,3.311804002025138,-7.953202275112758e-05,53
35,right_hand,3.6099036112069793,3.610886647909063,0.0009830367020837727,19
36,left_hand,1.4406627371601033,1.4467427291795572,0.0060799920194538615,18
36,right_hand,1.4767736496344466,1.4716340032651085,-0.005139646369338058,93
37,left_hand,1.1361085072038766,1.27556219892374,0.13945369171986344,8
37,right_hand,1.0722778331204512,1.0987029100499925,0.026425076929541325,38
38,left_hand,1.336047916419849,1.3239401096403811,-0.012107806779467989,78
38,right_hand,1.5196328213539216,1.5410280790712176,0.021395257717296,9
39,left_hand,1.5626006123589842,1.5782776529730795,0.01567704061409536,11
39,right_hand,1.3298388643822139,1.3143706343070298,-0.015468230075184053,92
40,left_hand,1.5308602268916491,1.536491379370843,0.005631152479193879,24
40,right_hand,1.4938845986979226,1.5410012488458071,0.047116650147884576,10
41,left_hand,1.7550409036665737,1.7557565485684574,0.0007156449018836941,42
41,right_hand,1.7271948000578512,1.7335288026875606,0.006334002629709401,42
42,left_hand,1.2081888342342468,1.1963594205726777,-0.011829413661569088,89
42,right_hand,1.0927920714454349,1.0936586590400812,0.0008665875946463064,61
43,left_hand,1.055122465612061,1.1792972507765795,0.12417478516451852,2
43,right_hand,1.0112976654835681,1.0936695033879928,0.0823718379044247,4
