half,component,subject,J_s,T_J
A,sensor,1,-0.02897954683089754,0.08280633124228906
A,sensor,2,-0.22131908173481185,0.08280633124228906
A,sensor,3,0.5919608803197534,0.08280633124228906
A,sensor,4,-0.2813605744524945,0.08280633124228906
A,sensor,5,0.11326641852764263,0.08280633124228906
A,sensor,6,-0.4360354441311367,0.08280633124228906
A,sensor,7,-0.723695476638538,0.08280633124228906
A,sensor,8,-0.8230588504949217,0.08280633124228906
A,sensor,9,-0.039489155470944226,0.08280633124228906
A,sensor,10,-0.11356874719892085,0.08280633124228906
A,sensor,11,-0.19408575802611638,0.08280633124228906
A,sensor,12,-0.3168138797405806,0.08280633124228906
A,sensor,13,0.12313192849504295,0.08280633124228906
A,sensor,14,0.12033087754104144,0.08280633124228906
A,sensor,15,0.7791712160793429,0.08280633124228906
A,sensor,16,-0.19819208421691736,0.08280633124228906
A,sensor,17,0.050348511440071464,0.08280633124228906
A,sensor,18,0.5291800316531463,0.08280633124228906
A,sensor,19,2.350958227807342,0.08280633124228906
A,sensor,20,0.0071433529792939154,0.08280633124228906
A,sensor,21,0.3888438050143199,0.08280633124228906
A,sensor,22,1.4152192695180728,0.08280633124228906
A,sensor,23,0.9931598836251156,0.08280633124228906
A,sensor,24,-0.188092114207274,0.08280633124228906
A,sensor,25,-0.18269483464367386,0.08280633124228906
A,sensor,26,-0.03472655833024696,0.08280633124228906
A,sensor,27,-0.1285285363692832,0.08280633124228906
A,sensor,28,0.12800319109720215,0.08280633124228906
A,sensor,29,-0.05236533612702621,0.08280633124228906
A,sensor,30,0.4167343848107261,0.08280633124228906
A,sensor,31,-0.8761306540811369,0.08280633124228906
A,sensor,32,0.6661818274013245,0.08280633124228906
A,sensor,33,0.6940319312440693,0.08280633124228906
A,sensor,34,-0.16868947941494694,0.08280633124228906
A,sensor,35,0.07818350137012797,0.08280633124228906
A,sensor,36,0.2993361143848372,0.08280633124228906
A,sensor,37,-0.11592294913829515,0.08280633124228906
A,sensor,38,0.7144495302188489,0.08280633124228906
A,sensor,39,-0.1047772092303576,0.08280633124228906
A,sensor,40,0.20836902546985336,0.08280633124228906
A,sensor,41,-0.12358685312078155,0.08280633124228906
A,sensor,42,0.24971576806605533,0.08280633124228906
