dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
stieger,1,1,200,0.30208145645645651,0.27669093603691225,0.060947051653523265
stieger,1,2,200,0.33257142857142852,0.31326025085983272,0.05077332967966227
stieger,1,4,200,0.36449643493761141,0.34557319088813726,0.047752178647252022
stieger,1,8,200,0.38663218390804599,0.3650487618822163,0.037914314947638639
stieger,1,16,200,0.41525703463203462,0.39400161929606126,0.048215485163949384
stieger,1,FULL_ORACLE,1,0.46586059743954478,0.44225435581367789,0
stieger,2,1,200,0.34066347597597596,0.31784289575544505,0.065005099915304607
stieger,2,2,200,0.37308531746031748,0.35263665480089335,0.05583224106886911
stieger,2,4,200,0.40000668449197863,0.38385053912969197,0.048706854005455873
stieger,2,8,200,0.41291522988505747,0.39795079272334233,0.04016789165990977
stieger,2,16,200,0.43308982683982677,0.41832452178205015,0.037314137581545011
stieger,2,FULL_ORACLE,1,0.54694167852062592,0.54015922406301686,0
stieger,3,1,200,0.24979724367224371,0.22849233526895632,0.031354117282520626
stieger,3,2,200,0.25052993697478987,0.23536014158437568,0.028704878781753339
stieger,3,4,200,0.25027448195187163,0.23575273183739465,0.03006302801014096
stieger,3,8,200,0.24316133004926108,0.22823412917268499,0.032377425193453165
stieger,3,16,200,0.2396720779220779,0.2231901934781218,0.035267978061537142
stieger,3,FULL_ORACLE,1,0.4307234866445393,0.4194162975433795,0
stieger,4,1,200,0.27273552123552125,0.24557384722088269,0.041596535363697465
stieger,4,2,200,0.27693831699346405,0.25936656288330534,0.042771357495119851
stieger,4,4,200,0.28113970588235299,0.26907542104910381,0.040393156709933917
stieger,4,8,200,0.29469047619047622,0.28502013685780764,0.04317515814595764
stieger,4,16,200,0.31722159090909091,0.30717888322238113,0.046978382644889426
stieger,4,FULL_ORACLE,1,0.54861111111111116,0.53573576623335639,0
stieger,5,1,200,0.27488046975546981,0.26053036764187387,0.043946281097704418
stieger,5,2,200,0.29082142857142856,0.27935451036424963,0.048790785844016367
stieger,5,4,200,0.31075395499108738,0.30255695066465477,0.043144000941368957
stieger,5,8,200,0.33529515599343185,0.32922453442309729,0.044057465474814102
stieger,5,16,200,0.36444155844155846,0.35724820179211014,0.048426668183885101
stieger,5,FULL_ORACLE,1,0.48581476213055164,0.46406222618143589,0
stieger,6,1,200,0.24566535285285285,0.21179297909544714,0.028971032410796495
stieger,6,2,200,0.24542956349206349,0.22020373581758637,0.030682985735458485
stieger,6,4,200,0.24362410873440285,0.21689403657452297,0.027131841268523648
stieger,6,8,200,0.24340517241379314,0.21777719805518614,0.030224933181329853
stieger,6,16,200,0.23387175324675322,0.20339375748750135,0.036786246194529082
stieger,6,FULL_ORACLE,1,0.36059743954480794,0.3335999965536256,0
stieger,7,1,200,0.24547393822393823,0.22623717456569636,0.025567351588695577
stieger,7,2,200,0.24767565359477126,0.23389404122367735,0.031423465819022292
stieger,7,4,200,0.24658318014705885,0.23752132482874827,0.034947478587952836
stieger,7,8,200,0.24347619047619048,0.23573691612640046,0.036337136790244258
stieger,7,16,200,0.23912499999999998,0.23335072042869226,0.045502274792543616
stieger,7,FULL_ORACLE,1,0.53508771929824561,0.53891712444935835,0
stieger,8,1,200,0.31878659909909912,0.30637939496087652,0.050314065644040652
