outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,1,1.0000000000000001e-05,0.050000000000000003,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,1.0000000000000001e-05,0.10000000000000001,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,1.0000000000000001e-05,0.20000000000000001,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,1.0000000000000001e-05,0.5,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,1.0000000000000001e-05,1,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,1.0000000000000001e-05,2,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,1.0000000000000001e-05,5,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,0.050000000000000003,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,0.10000000000000001,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,0.20000000000000001,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,0.5,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,1,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,2,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.0001,5,0.67355555555555569,0.65000000000000002|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64888888888888885
0,LRCM,1,0.001,0.050000000000000003,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
0,LRCM,1,0.001,0.10000000000000001,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
0,LRCM,1,0.001,0.20000000000000001,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
0,LRCM,1,0.001,0.5,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
0,LRCM,1,0.001,1,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
