dataset,direction,outer_fold,rank,ridge_lambda,mean_balanced_accuracy
openbmi,reverse,0,1,100,0.68555555555555558
openbmi,reverse,0,2,100,0.68555555555555558
openbmi,reverse,0,3,100,0.68444444444444441
openbmi,reverse,0,5,100,0.68444444444444441
openbmi,reverse,0,8,100,0.68555555555555558
openbmi,reverse,0,13,100,0.68555555555555558
openbmi,reverse,1,1,1,0.64555555555555555
openbmi,reverse,1,2,0.10000000000000001,0.63444444444444459
openbmi,reverse,1,3,1,0.65111111111111108
openbmi,reverse,1,5,10,0.64555555555555566
openbmi,reverse,1,8,10,0.64666666666666672
openbmi,reverse,1,13,10,0.64777777777777779
openbmi,reverse,2,1,10,0.61555555555555563
openbmi,reverse,2,2,1,0.59777777777777785
openbmi,reverse,2,3,10,0.61555555555555552
openbmi,reverse,2,5,1,0.59444444444444444
openbmi,reverse,2,8,1,0.59222222222222221
openbmi,reverse,2,13,1,0.59222222222222221
openbmi,reverse,3,1,1,0.71111111111111114
openbmi,reverse,3,2,1,0.7122222222222222
openbmi,reverse,3,3,10,0.71333333333333337
openbmi,reverse,3,5,10,0.7155555555555555
openbmi,reverse,3,8,1,0.70666666666666655
openbmi,reverse,3,13,10,0.71444444444444444
openbmi,reverse,4,1,100,0.66111111111111098
openbmi,reverse,4,2,100,0.65777777777777779
openbmi,reverse,4,3,100,0.65777777777777779
openbmi,reverse,4,5,100,0.65777777777777779
openbmi,reverse,4,8,100,0.65777777777777779
openbmi,reverse,4,13,100,0.65777777777777779
openbmi,reverse,5,1,100,0.66888888888888898
openbmi,reverse,5,2,100,0.66888888888888898
openbmi,reverse,5,3,100,0.66888888888888898
openbmi,reverse,5,5,100,0.66888888888888898
openbmi,reverse,5,8,100,0.66888888888888898
openbmi,reverse,5,13,100,0.6677777777777778
