dataset,direction,outer_fold,subject,memory_dimension,memory_bytes_float64
stieger,chronological,0,5,1,8
stieger,chronological,0,11,1,8
stieger,chronological,0,15,1,8
stieger,chronological,0,26,1,8
stieger,chronological,0,28,1,8
stieger,chronological,0,37,1,8
stieger,chronological,0,41,1,8
stieger,chronological,0,48,1,8
stieger,chronological,0,56,1,8
stieger,chronological,0,60,1,8
stieger,chronological,1,4,3,24
stieger,chronological,1,16,3,24
stieger,chronological,1,19,3,24
stieger,chronological,1,22,3,24
stieger,chronological,1,33,3,24
stieger,chronological,1,34,3,24
stieger,chronological,1,44,3,24
stieger,chronological,1,49,3,24
stieger,chronological,1,61,3,24
stieger,chronological,1,62,3,24
stieger,chronological,2,3,3,24
stieger,chronological,2,17,3,24
stieger,chronological,2,20,3,24
stieger,chronological,2,24,3,24
stieger,chronological,2,29,3,24
stieger,chronological,2,40,3,24
stieger,chronological,2,43,3,24
stieger,chronological,2,45,3,24
stieger,chronological,2,47,3,24
stieger,chronological,2,55,3,24
stieger,chronological,3,1,3,24
stieger,chronological,3,8,3,24
stieger,chronological,3,10,3,24
stieger,chronological,3,13,3,24
stieger,chronological,3,30,3,24
stieger,chronological,3,35,3,24
stieger,chronological,3,42,3,24
stieger,chronological,3,52,3,24
stieger,chronological,3,53,3,24
stieger,chronological,3,57,3,24
stieger,chronological,3,59,3,24
stieger,chronological,4,2,3,24
stieger,chronological,4,7,3,24
stieger,chronological,4,12,3,24
stieger,chronological,4,14,3,24
stieger,chronological,4,25,3,24
stieger,chronological,4,39,3,24
stieger,chronological,4,46,3,24
stieger,chronological,4,50,3,24
stieger,chronological,4,51,3,24
stieger,chronological,4,54,3,24
stieger,chronological,4,58,3,24
stieger,chronological,5,6,8,64
stieger,chronological,5,9,8,64
stieger,chronological,5,18,8,64
stieger,chronological,5,21,8,64
stieger,chronological,5,23,8,64
stieger,chronological,5,27,8,64
stieger,chronological,5,31,8,64
stieger,chronological,5,32,8,64
stieger,chronological,5,36,8,64
stieger,chronological,5,38,8,64
