dataset,direction,outer_fold,subject,memory_dimension,memory_bytes_float64
stieger,reverse,0,5,5,40
stieger,reverse,0,11,5,40
stieger,reverse,0,15,5,40
stieger,reverse,0,26,5,40
stieger,reverse,0,28,5,40
stieger,reverse,0,37,5,40
stieger,reverse,0,41,5,40
stieger,reverse,0,48,5,40
stieger,reverse,0,56,5,40
stieger,reverse,0,60,5,40
stieger,reverse,1,4,1,8
stieger,reverse,1,16,1,8
stieger,reverse,1,19,1,8
stieger,reverse,1,22,1,8
stieger,reverse,1,33,1,8
stieger,reverse,1,34,1,8
stieger,reverse,1,44,1,8
stieger,reverse,1,49,1,8
stieger,reverse,1,61,1,8
stieger,reverse,1,62,1,8
stieger,reverse,2,3,13,104
stieger,reverse,2,17,13,104
stieger,reverse,2,20,13,104
stieger,reverse,2,24,13,104
stieger,reverse,2,29,13,104
stieger,reverse,2,40,13,104
stieger,reverse,2,43,13,104
stieger,reverse,2,45,13,104
stieger,reverse,2,47,13,104
stieger,reverse,2,55,13,104
stieger,reverse,3,1,5,40
stieger,reverse,3,8,5,40
stieger,reverse,3,10,5,40
stieger,reverse,3,13,5,40
stieger,reverse,3,30,5,40
stieger,reverse,3,35,5,40
stieger,reverse,3,42,5,40
stieger,reverse,3,52,5,40
stieger,reverse,3,53,5,40
stieger,reverse,3,57,5,40
stieger,reverse,3,59,5,40
stieger,reverse,4,2,1,8
stieger,reverse,4,7,1,8
stieger,reverse,4,12,1,8
stieger,reverse,4,14,1,8
stieger,reverse,4,25,1,8
stieger,reverse,4,39,1,8
stieger,reverse,4,46,1,8
stieger,reverse,4,50,1,8
stieger,reverse,4,51,1,8
stieger,reverse,4,54,1,8
stieger,reverse,4,58,1,8
stieger,reverse,5,6,13,104
stieger,reverse,5,9,13,104
stieger,reverse,5,18,13,104
stieger,reverse,5,21,13,104
stieger,reverse,5,23,13,104
stieger,reverse,5,27,13,104
stieger,reverse,5,31,13,104
stieger,reverse,5,32,13,104
stieger,reverse,5,36,13,104
stieger,reverse,5,38,13,104
