dataset,direction,outer_fold,rank,ridge_lambda,mean_balanced_accuracy
stieger,reverse,0,1,100,0.37271910067962699
stieger,reverse,0,2,100,0.37136873715821084
stieger,reverse,0,3,100,0.36864825351667457
stieger,reverse,0,5,100,0.36864825351667452
stieger,reverse,0,8,100,0.36934171013118378
stieger,reverse,0,13,100,0.36799035877983244
stieger,reverse,1,1,10,0.31020423674448444
stieger,reverse,1,2,10,0.30938137440846419
stieger,reverse,1,3,100,0.31232626478756514
stieger,reverse,1,5,100,0.31029824993060284
stieger,reverse,1,8,100,0.30962257425492723
stieger,reverse,1,13,100,0.31028046899176931
stieger,reverse,2,1,100,0.29970661450924613
stieger,reverse,2,2,100,0.29565058479532158
stieger,reverse,2,3,10,0.29615931721194877
stieger,reverse,2,5,100,0.29420637743006167
stieger,reverse,2,8,100,0.29685573731626363
stieger,reverse,2,13,100,0.2961978425794215
stieger,reverse,3,1,100,0.3537108023950129
stieger,reverse,3,2,100,0.35015371660108502
stieger,reverse,3,3,100,0.34834239571081677
stieger,reverse,3,5,100,0.34957179496653179
stieger,reverse,3,8,100,0.34713095699937802
stieger,reverse,3,13,100,0.34834329373803058
stieger,reverse,4,1,10,0.33581986805671016
stieger,reverse,4,2,100,0.33847623255517995
stieger,reverse,4,3,100,0.33752881384460331
stieger,reverse,4,5,100,0.33736267881004722
stieger,reverse,4,8,10,0.3475641909852436
stieger,reverse,4,13,0.10000000000000001,0.31185054671896772
stieger,reverse,5,1,0.01,0.29139711817330055
stieger,reverse,5,2,0.10000000000000001,0.29007936932098888
stieger,reverse,5,3,1,0.28203450503746763
stieger,reverse,5,5,1,0.28764913353095267
stieger,reverse,5,8,1,0.2912746138512125
stieger,reverse,5,13,1,0.29131215138875011
