outer_fold,inner_fold,method,l2,kappa,mean_balanced_accuracy
0,0,SELECTIVE_GATE,0.0001,,0.62333333333333329
0,0,SELECTIVE_GATE,0.001,,0.63444444444444459
0,0,SELECTIVE_GATE,0.01,,0.64333333333333331
0,0,SELECTIVE_GATE,0.10000000000000001,,0.64000000000000001
0,0,SELECTIVE_GATE,1,,0.64555555555555566
0,0,SELECTIVE_GATE,10,,0.64555555555555566
0,0,GLOBAL_KAPPA,,0,0.65666666666666673
0,0,GLOBAL_KAPPA,,0.10000000000000001,0.6544444444444445
0,0,GLOBAL_KAPPA,,0.20000000000000001,0.6477777777777779
0,0,GLOBAL_KAPPA,,0.29999999999999999,0.64333333333333342
0,0,GLOBAL_KAPPA,,0.40000000000000002,0.6333333333333333
0,0,GLOBAL_KAPPA,,0.5,0.62777777777777777
0,0,GLOBAL_KAPPA,,0.59999999999999998,0.62555555555555564
0,0,GLOBAL_KAPPA,,0.69999999999999996,0.62
0,0,GLOBAL_KAPPA,,0.80000000000000004,0.61777777777777776
0,0,GLOBAL_KAPPA,,0.90000000000000002,0.60888888888888892
0,0,GLOBAL_KAPPA,,1,0.59666666666666668
0,1,SELECTIVE_GATE,0.0001,,0.67888888888888888
0,1,SELECTIVE_GATE,0.001,,0.69444444444444442
0,1,SELECTIVE_GATE,0.01,,0.68666666666666676
0,1,SELECTIVE_GATE,0.10000000000000001,,0.65777777777777779
0,1,SELECTIVE_GATE,1,,0.64888888888888896
0,1,SELECTIVE_GATE,10,,0.64888888888888885
0,1,GLOBAL_KAPPA,,0,0.69222222222222218
0,1,GLOBAL_KAPPA,,0.10000000000000001,0.68999999999999995
0,1,GLOBAL_KAPPA,,0.20000000000000001,0.67000000000000004
0,1,GLOBAL_KAPPA,,0.29999999999999999,0.64888888888888896
0,1,GLOBAL_KAPPA,,0.40000000000000002,0.63555555555555565
0,1,GLOBAL_KAPPA,,0.5,0.62666666666666671
0,1,GLOBAL_KAPPA,,0.59999999999999998,0.62222222222222223
0,1,GLOBAL_KAPPA,,0.69999999999999996,0.61888888888888893
