dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_left_hand,recall_right_hand
openbmi,reverse,0,4,SELECTIVE_GATE,0.60999999999999999,0.60681520314547832,0.60999999999999999,0.67104467862015593,0.47836366528656993,0.088432832513773332,0.24160291208619503,0.69999999999999996,0.52000000000000002
openbmi,reverse,0,4,GLOBAL_KAPPA,0.60999999999999999,0.60522320072881874,0.60999999999999999,0.67116935675521705,0.47847606251429203,0.086929554260282399,0.20000000000000001,0.71999999999999997,0.5
openbmi,reverse,0,4,FIXED_RELIABILITY_KAPPA,0.60999999999999999,0.60522320072881874,0.60999999999999999,0.67117063729453252,0.47847715275786595,0.086916789807084241,0.19965701035917621,0.71999999999999997,0.5
openbmi,reverse,0,4,CLASSWISE_SELECTIVE_GATE,0.60999999999999999,0.60522320072881874,0.60999999999999999,0.67118087915451352,0.47849432001592512,0.086665348549562884,0.19965701035917621,0.71999999999999997,0.5
openbmi,reverse,0,4,ORACLE_CONTINUOUS_KAPPA,0.70999999999999996,0.7099709970997099,0.70999999999999996,0.6736641174031659,0.48056186571979237,0.18979935822510269,0.64000000000000001,0.71999999999999997,0.69999999999999996
openbmi,reverse,0,4,POPULATION_ONLY,0.60999999999999999,0.60522320072881874,0.60999999999999999,0.67254774214552127,0.47948133063510007,0.079052555082205947,,0.71999999999999997,0.5
openbmi,reverse,0,4,IDENTITY_RESIDUAL_CARRY,0.65000000000000002,0.64714184897671134,0.65000000000000002,0.68377965208673042,0.49027765919649768,0.13432425075517621,,0.56000000000000005,0.73999999999999999
openbmi,reverse,0,4,PAST_PROTOTYPE_DIRECT,0.66000000000000003,0.65986394557823125,0.66000000000000003,0.67333868997806368,0.4802406292854301,0.13650002171273645,,0.68000000000000005,0.64000000000000001
openbmi,reverse,0,4,LRCM_HISTORICAL_CONTROL,0.62,0.61616161616161613,0.62,0.67229451202345303,0.47934900293533245,0.090301802386867011,,0.71999999999999997,0.52000000000000002
openbmi,reverse,0,10,SELECTIVE_GATE,0.64999999999999991,0.64827655512008842,0.65000000000000002,0.62042162272654255,0.43144986011994574,0.057498830774771435,0.24102311949388555,0.57999999999999996,0.71999999999999997
openbmi,reverse,0,10,GLOBAL_KAPPA,0.66999999999999993,0.66917293233082709,0.67000000000000004,0.62005964081922382,0.43085656730727223,0.06691400958395867,0.20000000000000001,0.62,0.71999999999999997
openbmi,reverse,0,10,FIXED_RELIABILITY_KAPPA,0.66999999999999993,0.66917293233082709,0.67000000000000004,0.62013165596934006,0.4307057023351249,0.062635519016239205,0.16898198147496735,0.62,0.71999999999999997
openbmi,reverse,0,10,CLASSWISE_SELECTIVE_GATE,0.66999999999999993,0.66917293233082709,0.67000000000000004,0.62012919978296943,0.4306921301123125,0.062731297736275102,0.16898198147496735,0.62,0.71999999999999997
openbmi,reverse,0,10,ORACLE_CONTINUOUS_KAPPA,0.67000000000000004,0.66996699669966997,0.67000000000000004,0.62487716028453066,0.43410094527443421,0.087128264094042687,0.02,0.68000000000000005,0.66000000000000003
openbmi,reverse,0,10,POPULATION_ONLY,0.66000000000000003,0.65986394557823125,0.66000000000000003,0.62609513455815557,0.43513468837785174,0.079694203793242879,,0.68000000000000005,0.64000000000000001
openbmi,reverse,0,10,IDENTITY_RESIDUAL_CARRY,0.60000000000000009,0.59855479727017258,0.59999999999999998,0.70020459917778677,0.48747154776626905,0.14393092805054039,,0.54000000000000004,0.66000000000000003
openbmi,reverse,0,10,PAST_PROTOTYPE_DIRECT,0.6100000000000001,0.60807958999095568,0.60999999999999999,0.70164710825778898,0.4867610311058379,0.15240934744428941,,0.54000000000000004,0.68000000000000005
openbmi,reverse,0,10,LRCM_HISTORICAL_CONTROL,0.67999999999999994,0.67987194877951174,0.68000000000000005,0.62687840835136399,0.43581687781236073,0.10139357658517323,,0.69999999999999996,0.66000000000000003
openbmi,reverse,0,11,SELECTIVE_GATE,0.5,0.49979991996798717,0.5,0.70139061564897431,0.50809229592083627,0.043609091229493427,0.24124787057956656,0.47999999999999998,0.52000000000000002
openbmi,reverse,0,11,GLOBAL_KAPPA,0.47999999999999998,0.47999999999999998,0.47999999999999998,0.70116525220102999,0.50786617355127217,0.06288993642190277,0.20000000000000001,0.47999999999999998,0.47999999999999998
openbmi,reverse,0,11,FIXED_RELIABILITY_KAPPA,0.51000000000000001,0.50955860274246823,0.51000000000000001,0.70358317227915113,0.51028699961477963,0.038424383968333087,0.46823899469254138,0.54000000000000004,0.47999999999999998
openbmi,reverse,0,11,CLASSWISE_SELECTIVE_GATE,0.5,0.49979991996798717,0.5,0.70358325884649853,0.51028717350099784,0.048411959156070543,0.46823899469254138,0.52000000000000002,0.47999999999999998
openbmi,reverse,0,11,ORACLE_CONTINUOUS_KAPPA,0.52000000000000002,0.52000000000000002,0.52000000000000002,0.70275501627001125,0.50946068778987719,0.026690279067217049,0.40000000000000002,0.52000000000000002,0.52000000000000002
openbmi,reverse,0,11,POPULATION_ONLY,0.45000000000000001,0.44994499449944991,0.45000000000000001,0.70082940229214519,0.50754067290531446,0.091668685494102883,,0.46000000000000002,0.44
openbmi,reverse,0,11,IDENTITY_RESIDUAL_CARRY,0.44,0.44,0.44,0.71492261815347757,0.52118340828597154,0.13241379784861901,,0.44,0.44
openbmi,reverse,0,11,PAST_PROTOTYPE_DIRECT,0.44,0.43977591036414565,0.44,0.72456692974125247,0.53029868853430129,0.14046015065546733,,0.46000000000000002,0.41999999999999998
openbmi,reverse,0,11,LRCM_HISTORICAL_CONTROL,0.45000000000000001,0.44994499449944991,0.45000000000000001,0.69969768564207502,0.50643644447241776,0.089667305911277945,,0.46000000000000002,0.44
openbmi,reverse,0,18,SELECTIVE_GATE,0.94999999999999996,0.94999499949994992,0.94999999999999996,0.46727015860175974,0.28371502980593549,0.31600730421548923,0.24079038481212214,0.95999999999999996,0.93999999999999995
openbmi,reverse,0,18,GLOBAL_KAPPA,0.93999999999999995,0.93997599039615842,0.93999999999999995,0.47259745510007256,0.28841754183050755,0.30980533286628598,0.20000000000000001,0.95999999999999996,0.92000000000000004
openbmi,reverse,0,18,FIXED_RELIABILITY_KAPPA,0.93999999999999995,0.93997599039615842,0.93999999999999995,0.43443722031988402,0.25645808135857456,0.28045999784716369,0.52674907072978305,0.95999999999999996,0.92000000000000004
openbmi,reverse,0,18,CLASSWISE_SELECTIVE_GATE,0.93999999999999995,0.93997599039615842,0.93999999999999995,0.43443573055356544,0.25645120187134385,0.2804129516493909,0.52674907072978305,0.95999999999999996,0.92000000000000004
openbmi,reverse,0,18,ORACLE_CONTINUOUS_KAPPA,0.94999999999999996,0.94999499949994992,0.94999999999999996,0.49216445145255788,0.30618225463102033,0.33259919119170583,0.059999999999999998,0.95999999999999996,0.93999999999999995
