dataset,direction,subject,identity_balanced_accuracy,population_balanced_accuracy,oracle_balanced_accuracy,oracle_gain_over_identity,selected_method,oracle_recall_right_hand,identity_recall_right_hand,oracle_recall_left_hand,identity_recall_left_hand,oracle_recall_both_hand,identity_recall_both_hand,oracle_recall_rest,identity_recall_rest
stieger,chronological,1,0.38637980085348506,0.38584637268847793,0.38637980085348506,0,IDENTITY_RESIDUAL_CARRY,0.13157894736842105,0.13157894736842105,0.10810810810810811,0.10810810810810811,0.6216216216216216,0.6216216216216216,0.68421052631578949,0.68421052631578949
stieger,chronological,2,0.50266714082503561,0.42745376955903269,0.50266714082503561,0,IDENTITY_RESIDUAL_CARRY,0.54054054054054057,0.54054054054054057,0.23684210526315788,0.23684210526315788,0.36842105263157893,0.36842105263157893,0.86486486486486491,0.86486486486486491
stieger,chronological,3,0.28475185712027817,0.27743203730045835,0.28475185712027817,0,IDENTITY_RESIDUAL_CARRY,0.22222222222222221,0.22222222222222221,0.078947368421052627,0.078947368421052627,0.54054054054054057,0.54054054054054057,0.29729729729729731,0.29729729729729731
stieger,chronological,4,0.3125,0.35270467836257308,0.35270467836257308,0.040204678362573076,POPULATION_ONLY,0.34210526315789475,0.28947368421052633,0.26315789473684209,0.26315789473684209,0.5,0.44736842105263158,0.30555555555555558,0.25
stieger,chronological,5,0.33090327169274536,0.38017622886043945,0.38017622886043945,0.049272957167694087,POPULATION_ONLY,0.28947368421052633,0.52631578947368418,0.29729729729729731,0.27027027027027029,0.3783783783783784,0.027027027027027029,0.55555555555555558,0.5
stieger,chronological,6,0.28182788051209107,0.26120199146514933,0.28182788051209107,0,IDENTITY_RESIDUAL_CARRY,0.052631578947368418,0.052631578947368418,0.72972972972972971,0.72972972972972971,0.10810810810810811,0.10810810810810811,0.23684210526315788,0.23684210526315788
stieger,chronological,7,0.23209064327485379,0.29495614035087719,0.29495614035087719,0.062865497076023402,POPULATION_ONLY,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.34210526315789475,0.42105263157894735,0.41666666666666669,0.1388888888888889
stieger,chronological,8,0.460348506401138,0.37908961593172119,0.460348506401138,0,IDENTITY_RESIDUAL_CARRY,0.39473684210526316,0.39473684210526316,0.59459459459459463,0.59459459459459463,0.47368421052631576,0.47368421052631576,0.3783783783783784,0.3783783783783784
stieger,chronological,9,0.3410384068278805,0.23257467994310099,0.3410384068278805,0,IDENTITY_RESIDUAL_CARRY,0.39473684210526316,0.39473684210526316,0.27027027027027029,0.27027027027027029,0.56756756756756754,0.56756756756756754,0.13157894736842105,0.13157894736842105
stieger,chronological,10,0.24537695590327169,0.26031294452347087,0.26031294452347087,0.014935988620199181,POPULATION_ONLY,0.10810810810810811,0.16216216216216217,0.13157894736842105,0.26315789473684209,0.34210526315789475,0.42105263157894735,0.45945945945945948,0.13513513513513514
