outer_fold,inner_fold,method,l2,kappa,mean_balanced_accuracy
0,0,SELECTIVE_GATE,0.0001,,0.38644262683736363
0,0,SELECTIVE_GATE,0.001,,0.3932013592539908
0,0,SELECTIVE_GATE,0.01,,0.39444001332159229
0,0,SELECTIVE_GATE,0.10000000000000001,,0.39167507733297208
0,0,SELECTIVE_GATE,1,,0.3884033845875951
0,0,SELECTIVE_GATE,10,,0.3849884565016144
0,0,GLOBAL_KAPPA,,0,0.38908210842421365
0,0,GLOBAL_KAPPA,,0.10000000000000001,0.38497067556278081
0,0,GLOBAL_KAPPA,,0.20000000000000001,0.3882520772652352
0,0,GLOBAL_KAPPA,,0.29999999999999999,0.38567178080335973
0,0,GLOBAL_KAPPA,,0.40000000000000002,0.37832430174535442
0,0,GLOBAL_KAPPA,,0.5,0.38099144257038992
0,0,GLOBAL_KAPPA,,0.59999999999999998,0.38174433832328569
0,0,GLOBAL_KAPPA,,0.69999999999999996,0.37204187269976746
0,0,GLOBAL_KAPPA,,0.80000000000000004,0.37187789293052448
0,0,GLOBAL_KAPPA,,0.90000000000000002,0.36774670347038774
0,0,GLOBAL_KAPPA,,1,0.36895185599132968
0,1,SELECTIVE_GATE,0.0001,,0.35054572540253653
0,1,SELECTIVE_GATE,0.001,,0.35529529640210755
0,1,SELECTIVE_GATE,0.01,,0.34588819192921366
0,1,SELECTIVE_GATE,0.10000000000000001,,0.3331372831256732
0,1,SELECTIVE_GATE,1,,0.33262889935490553
0,1,SELECTIVE_GATE,10,,0.33919102041006066
0,1,GLOBAL_KAPPA,,0,0.31908226946539642
0,1,GLOBAL_KAPPA,,0.10000000000000001,0.33770605800404563
0,1,GLOBAL_KAPPA,,0.20000000000000001,0.34813911102610789
0,1,GLOBAL_KAPPA,,0.29999999999999999,0.355335452104028
0,1,GLOBAL_KAPPA,,0.40000000000000002,0.36142262950699477
0,1,GLOBAL_KAPPA,,0.5,0.36777398085834617
0,1,GLOBAL_KAPPA,,0.59999999999999998,0.37192321523203881
0,1,GLOBAL_KAPPA,,0.69999999999999996,0.3674246377071454
