outer_fold,subject,role
0,1,train
0,2,train
0,3,train
0,4,test
0,5,train
0,6,train
0,7,train
0,8,train
0,9,train
0,10,test
0,11,test
0,12,train
0,13,train
0,14,train
0,15,train
0,16,train
0,17,train
0,18,test
0,19,train
0,20,train
0,21,train
0,22,train
0,23,train
0,24,train
0,25,train
0,26,train
0,27,train
0,28,train
0,29,train
0,30,train
0,31,test
0,32,train
0,33,train
0,34,train
0,35,train
0,36,train
0,37,test
0,38,train
0,39,train
0,40,train
0,41,train
0,42,train
0,43,test
0,44,train
0,45,test
0,46,test
0,47,train
0,48,train
0,49,train
0,50,train
0,51,train
0,52,train
0,53,train
0,54,train
1,1,train
1,2,train
1,3,train
1,4,train
1,5,train
1,6,train
1,7,train
1,8,train
1,9,train
1,10,train
1,11,train
1,12,train
1,13,train
1,14,train
1,15,train
1,16,test
1,17,train
1,18,train
1,19,train
1,20,train
1,21,train
1,22,train
1,23,train
1,24,train
1,25,train
1,26,train
1,27,train
1,28,train
1,29,test
1,30,test
1,31,train
1,32,train
1,33,train
1,34,train
1,35,train
1,36,test
1,37,train
1,38,test
1,39,train
1,40,train
1,41,train
1,42,train
1,43,train
1,44,train
1,45,train
1,46,train
1,47,train
1,48,train
1,49,test
1,50,train
1,51,test
1,52,test
1,53,train
1,54,test
2,1,test
2,2,train
2,3,train
2,4,train
2,5,train
2,6,train
2,7,train
2,8,test
2,9,test
2,10,train
2,11,train
2,12,train
2,13,train
2,14,test
2,15,train
2,16,train
2,17,test
2,18,train
2,19,test
2,20,train
2,21,train
2,22,train
2,23,train
2,24,train
2,25,train
2,26,train
2,27,train
2,28,train
2,29,train
2,30,train
2,31,train
2,32,train
2,33,train
2,34,train
2,35,train
2,36,train
2,37,train
2,38,train
2,39,train
2,40,test
2,41,train
2,42,test
2,43,train
2,44,train
2,45,train
2,46,train
2,47,train
2,48,train
2,49,train
2,50,test
2,51,train
2,52,train
2,53,train
2,54,train
3,1,train
3,2,test
3,3,train
3,4,train
3,5,train
3,6,train
3,7,train
3,8,train
3,9,train
3,10,train
3,11,train
3,12,test
3,13,test
3,14,train
3,15,train
3,16,train
3,17,train
3,18,train
3,19,train
3,20,test
3,21,test
3,22,train
3,23,train
3,24,train
3,25,test
3,26,train
3,27,train
3,28,train
3,29,train
3,30,train
3,31,train
3,32,test
3,33,train
3,34,train
3,35,train
3,36,train
3,37,train
3,38,train
3,39,test
3,40,train
3,41,test
3,42,train
3,43,train
3,44,train
3,45,train
3,46,train
3,47,train
3,48,train
3,49,train
3,50,train
3,51,train
3,52,train
3,53,train
3,54,train
4,1,train
4,2,train
4,3,test
4,4,train
4,5,train
4,6,train
4,7,test
4,8,train
4,9,train
4,10,train
4,11,train
4,12,train
4,13,train
4,14,train
4,15,test
4,16,train
4,17,train
4,18,train
4,19,train
4,20,train
4,21,train
4,22,test
4,23,test
4,24,train
4,25,train
4,26,test
4,27,train
4,28,train
4,29,train
4,30,train
4,31,train
4,32,train
4,33,test
4,34,train
4,35,test
4,36,train
4,37,train
4,38,train
4,39,train
4,40,train
4,41,train
4,42,train
4,43,train
4,44,train
4,45,train
4,46,train
4,47,train
4,48,train
4,49,train
4,50,train
4,51,train
4,52,train
4,53,test
4,54,train
5,1,train
5,2,train
5,3,train
5,4,train
5,5,test
5,6,test
5,7,train
5,8,train
5,9,train
5,10,train
5,11,train
5,12,train
5,13,train
5,14,train
5,15,train
5,16,train
5,17,train
5,18,train
5,19,train
5,20,train
5,21,train
5,22,train
5,23,train
5,24,test
5,25,train
5,26,train
5,27,test
5,28,test
5,29,train
5,30,train
5,31,train
5,32,train
5,33,train
5,34,test
5,35,train
5,36,train
5,37,train
5,38,train
5,39,train
5,40,train
5,41,train
5,42,train
5,43,train
5,44,test
5,45,train
5,46,train
5,47,test
5,48,test
5,49,train
5,50,train
5,51,train
5,52,train
5,53,train
5,54,train
