oracle,budget,mae,normalized_mae,pearson,spearman,signed_r2,beta_sign_accuracy,calibration_slope,calibration_intercept,projected_prototype_reconstruction_error
A_ORACLE_SIGN_ESTIMATED_MAGNITUDE,FULL_OR_ZERO,0.09982874748751433,0.61848283712762353,0.86114274942775226,0.7116204673464398,0.60691735697047733,0.85185185185185186,0.70239494088744514,0.0046467543017090357,0.09982874748751433
C_ORACLE_DELTA_SOURCE_REFERENCE,FULL_OR_ZERO,5.4691976256491e-18,3.388407597467035e-17,0.99999999999999989,0.99999999999999989,1,1,1.0000000000000004,6.0092583949486377e-18,5.4691976256491e-18
E_FULL_TRIAL_DELTA_SOURCE_REFERENCE,FULL_OR_ZERO,0.0049490599577687163,0.030661595190086328,0.99996191782621469,0.99987615155239273,0.99910453518711573,1,0.97217934930239791,1.0194407474214646e-05,0.0049490599577687163
B_ESTIMATED_SIGN_ORACLE_ABSOLUTE_DELTA,2,0.047304192449955595,0.29307020162843195,0.98981753874630318,0.9851953471090914,0.93907531693900059,0.89814814814814814,0.94299612697690216,0.039974205971313292,0.047304192449955595
D_ESTIMATED_DELTA_ORACLE_GAMMA_NO_CURVATURE_CORRECTION,2,0.064329782852355188,0.39855119503833059,0.96612413780650508,0.80931488944991881,0.86268149876490741,0.91666666666666663,0.86822911024887595,0.042057815166224186,0.064329782852355188
B_ESTIMATED_SIGN_ORACLE_ABSOLUTE_DELTA,4,0.034790482578467993,0.21554228528071268,0.99297983463253492,0.98875837167871805,0.96380031269047317,0.93518518518518523,0.93158106283027675,0.026505482728374847,0.034790482578467993
D_ESTIMATED_DELTA_ORACLE_GAMMA_NO_CURVATURE_CORRECTION,4,0.065033909592835601,0.40291356875442091,0.96213819612052831,0.80487336743038518,0.86214276791474165,0.89814814814814814,0.83951449891279906,0.031317426333956455,0.065033909592835601
B_ESTIMATED_SIGN_ORACLE_ABSOLUTE_DELTA,8,0.023076117402321072,0.14296665960536764,0.99643752010355369,0.99329313022187915,0.98333512783604815,0.97222222222222221,0.94213951595760792,0.015635923438037966,0.023076117402321072
D_ESTIMATED_DELTA_ORACLE_GAMMA_NO_CURVATURE_CORRECTION,8,0.068846000267623386,0.42653114099958395,0.95294761405279227,0.80891458059837285,0.84889074772010842,0.90740740740740744,0.82262825928083472,0.022922136577521301,0.068846000267623386
B_ESTIMATED_SIGN_ORACLE_ABSOLUTE_DELTA,16,0.014120763061513771,0.087484315094550139,0.99845419655347556,0.99647508264502171,0.99350545729723083,1,0.95608992219514422,0.0074374041031235148,0.014120763061513771
D_ESTIMATED_DELTA_ORACLE_GAMMA_NO_CURVATURE_CORRECTION,16,0.076490761520792788,0.47389378701109375,0.93352849826204121,0.77140945367376901,0.80685538060316142,0.90740740740740744,0.79635976111315776,0.01444611041638753,0.076490761520792788
B_ESTIMATED_SIGN_ORACLE_ABSOLUTE_DELTA,32,0.0084742204041631485,0.052501508933257293,0.99940320773060476,0.9979612640163098,0.99732239876764617,1,0.96516236971222091,0.0027273757689003737,0.0084742204041631485
D_ESTIMATED_DELTA_ORACLE_GAMMA_NO_CURVATURE_CORRECTION,32,0.082058345472692459,0.50838740939123839,0.91855926612798766,0.76531904043239107,0.76605944700748019,0.87962962962962965,0.77252185826011766,0.010436131116273561,0.082058345472692459
