method,session,mae,normalized_mae,pearson,spearman,signed_r2,beta_sign_accuracy,calibration_slope,calibration_intercept,projected_prototype_reconstruction_error
UNCENTERED_TRIAL_DELTA,pooled,0.20933674262903054,1.2969328550621253,0.99884957108234396,0.99477931159316735,0.10515697640830091,0.41666666666666669,0.9793511375850894,-0.20511313858125965,0.20933674262903054
UNCENTERED_TRIAL_DELTA,0,0.21070564302546077,1.3809568266075005,0.9992410163481642,0.99778921288355238,-0.1045821025132323,0.40740740740740738,0.97863001705001007,-0.20632563089728759,0.21070564302546077
UNCENTERED_TRIAL_DELTA,1,0.20796784223260029,1.2216248825887595,0.99860986807381891,0.99214789403468628,0.25079777332169528,0.42592592592592593,0.97987271234182571,-0.20385931238301672,0.20796784223260029
DELTA_MINUS_GAMMA,pooled,0.0064507774150874718,0.039965392913109438,0.99996052885804554,0.9998856783560548,0.9982917686306384,1,0.97237490592625686,-0.0063121229517035492,0.0064507774150874718
DELTA_MINUS_GAMMA,0,0.0062230719047049812,0.040785778234867912,0.999976784439641,0.99984753192300346,0.99819971912885685,1,0.97219755383228945,-0.0061283927633083461,0.0062230719047049812
DELTA_MINUS_GAMMA,1,0.0066784829254699623,0.0392301080403255,0.99994983994188391,0.99954259576901072,0.99835564578132796,1,0.97250516536117904,-0.0064961388457896903,0.0066784829254699623
SOURCE_MEAN_ADDITIVE_CORRECTION,pooled,0.0049490599577687163,0.030661595190086328,0.99996191782621469,0.99987615155239273,0.99910453518711573,1,0.97217934930239791,1.0194407474214646e-05,0.0049490599577687163
SOURCE_MEAN_ADDITIVE_CORRECTION,0,0.0047117922827406419,0.030880908669451135,0.99997673148781197,0.99984753192300346,0.99911626110143348,1,0.97188891918089448,-6.2396582091487306e-06,0.0047117922827406419
SOURCE_MEAN_ADDITIVE_CORRECTION,1,0.0051863276327967899,0.030465031600395421,0.99995168427503689,0.99961882980750894,0.99909636325871332,1,0.97238081131368037,2.5714667257196248e-05,0.0051863276327967899
SOURCE_MEDIAN_ADDITIVE_CORRECTION,pooled,0.0046143438301322268,0.028587882101791001,0.9999593097729893,0.99987615155239273,0.99902528306455107,1,0.97233514795175968,-0.0021064085397279036,0.0046143438301322268
SOURCE_MEDIAN_ADDITIVE_CORRECTION,0,0.0044269826971708205,0.02901427740211307,0.99997688334690804,0.99984753192300346,0.99904294410741645,1,0.97198619012309806,-0.0019076225985303165,0.0044269826971708205
SOURCE_MEDIAN_ADDITIVE_CORRECTION,1,0.0048017049630936321,0.02820571776286674,0.99994787205742419,0.99961882980750894,0.99901298656990722,1,0.97258556156469111,-0.0023061770016853363,0.0048017049630936321
SOURCE_ONLY_AFFINE_CALIBRATION,pooled,0.0012883545786987174,0.0079819211911839969,0.99995764342382398,0.99987615155239273,0.99991478971665793,1,1.0006997155255921,2.5586876094364263e-05,0.0012883545786987174
SOURCE_ONLY_AFFINE_CALIBRATION,0,0.0010829782974828321,0.0070977988605457993,0.99997235928094508,0.99984753192300346,0.99994471636277904,1,0.99998306068529474,-1.047785837991577e-05,0.0010829782974828321
SOURCE_ONLY_AFFINE_CALIBRATION,1,0.0014937308599146033,0.0087743314868914783,0.99994774110534124,0.99961882980750894,0.9998940022844498,1,1.0011976676386689,5.9481770231759485e-05,0.0014937308599146033
