subject,session,eligible_session,reasons,eligible_subject_pair
1,2,True,,True
1,3,True,,True
2,2,True,,True
2,3,True,,True
3,2,True,,True
3,3,True,,True
4,2,True,,True
4,3,True,,True
5,2,True,,True
5,3,True,,True
6,2,True,,True
6,3,True,,True
7,2,True,,True
7,3,True,,True
8,2,True,,True
8,3,True,,True
9,2,True,,True
9,3,True,,True
10,2,True,,True
10,3,True,,True
11,2,True,,True
11,3,True,,True
12,2,True,,True
12,3,True,,True
13,2,True,,True
13,3,True,,True
14,2,True,,True
14,3,True,,True
15,2,True,,True
15,3,True,,True
16,2,True,,True
16,3,True,,True
17,2,True,,True
17,3,True,,True
18,2,True,,True
18,3,True,,True
19,2,True,,True
19,3,True,,True
20,2,True,,True
20,3,True,,True
21,2,True,,True
21,3,True,,True
22,2,True,,True
22,3,True,,True
23,2,True,,True
23,3,True,,True
24,2,True,,True
24,3,True,,True
25,2,True,,True
25,3,True,,True
26,2,True,,True
26,3,True,,True
27,2,True,,True
27,3,True,,True
28,2,True,,True
28,3,True,,True
29,2,True,,True
29,3,True,,True
30,2,True,,True
30,3,True,,True
31,2,True,,True
31,3,True,,True
32,2,True,,True
32,3,True,,True
33,2,True,,True
33,3,True,,True
34,2,True,,True
34,3,True,,True
35,2,True,,True
35,3,True,,True
36,2,True,,True
36,3,True,,True
37,2,True,,True
37,3,True,,True
38,2,True,,True
38,3,True,,True
39,2,True,,True
39,3,True,,True
40,2,True,,True
40,3,True,,True
41,2,True,,True
41,3,True,,True
42,2,True,,True
42,3,True,,True
43,2,True,,True
43,3,True,,True
44,2,True,,True
44,3,True,,True
45,2,True,,True
45,3,True,,True
46,2,True,,True
46,3,True,,True
47,2,True,,True
47,3,True,,True
48,2,True,,True
48,3,True,,True
49,2,True,,True
49,3,True,,True
50,2,True,,True
50,3,True,,True
51,2,True,,True
51,3,True,,True
52,2,True,,True
52,3,True,,True
53,2,True,,True
53,3,True,,True
54,2,True,,True
54,3,True,,True
55,2,True,,True
55,3,True,,True
56,2,True,,True
56,3,True,,True
57,2,True,,True
57,3,True,,True
58,2,True,,True
58,3,True,,True
59,2,True,,True
59,3,True,,True
60,2,True,,True
60,3,True,,True
61,2,True,,True
61,3,True,,True
62,2,True,,True
62,3,True,,True
