subject,session,permutation_index,permutation,cost,cost_rank,is_identity
1,2,0,0|1|2|3,0.4300144236560008,1,True
1,2,1,0|1|3|2,3.6764883285894294,22,False
1,2,2,0|2|1|3,0.4504359237860549,2,False
1,2,3,0|2|3|1,2.318197270964638,16,False
1,2,4,0|3|1|2,3.6488230343409818,21,False
1,2,5,0|3|2|1,2.2701104765861366,15,False
1,2,6,1|0|2|3,0.4937977398778114,3,False
1,2,7,1|0|3|2,3.74027164481124,24,False
1,2,8,1|2|0|3,0.5270871480992081,4,False
1,2,9,1|2|3|0,1.5261000505217703,10,False
1,2,10,1|3|0|2,3.7254742586541347,23,False
1,2,11,1|3|2|0,1.4780132561432688,9,False
1,2,12,2|0|1|3,0.6154440071784764,5,False
1,2,13,2|0|3|1,2.483205354357059,18,False
1,2,14,2|1|0|3,0.628311915269819,6,False
1,2,15,2|1|3|0,1.6273248176923814,12,False
1,2,16,2|3|0|1,2.4684079681999544,17,False
1,2,17,2|3|1|0,1.5996595234439337,11,False
1,2,18,3|0|1|2,3.5754757308154113,19,False
1,2,19,3|0|2|1,2.1967631730605657,13,False
1,2,20,3|1|0|2,3.5883436389067542,20,False
1,2,21,3|1|2|0,1.340882636395888,7,False
1,2,22,3|2|0|1,2.2300525812819627,14,False
1,2,23,3|2|1|0,1.361304136525942,8,False
1,3,0,0|1|2|3,0.023681628903958075,2,True
1,3,1,0|1|3|2,3.374533541481868,24,False
1,3,2,0|2|1|3,0.19550935474366835,5,False
1,3,3,0|2|3|1,2.5742816003048645,14,False
1,3,4,0|3|1|2,2.9540546042978293,20,False
1,3,5,0|3|2|1,1.9819749372811162,8,False
1,3,6,1|0|2|3,0.01814864527913676,1,False
1,3,7,1|0|3|2,3.3690005578570466,23,False
1,3,8,1|2|0|3,0.10075758000196278,3,False
1,3,9,1|2|3|0,2.984266603849096,21,False
1,3,10,1|3|0|2,2.859302829556124,18,False
1,3,11,1|3|2|0,2.3919599408253474,12,False
1,3,12,2|0|1|3,0.2006324221755788,6,False
1,3,13,2|0|3|1,2.5794046677367755,16,False
1,3,14,2|1|0|3,0.11141363105869455,4,False
1,3,15,2|1|3|0,2.994922654905827,22,False
1,3,16,2|3|0|1,2.0697069394358527,10,False
1,3,17,2|3|1|0,2.574443717721789,15,False
1,3,18,3|0|1|2,2.9224452409675976,19,False
1,3,19,3|0|2|1,1.9503655739508847,7,False
1,3,20,3|1|0|2,2.833226449850714,17,False
1,3,21,3|1|2|0,2.365883561119937,11,False
1,3,22,3|2|0|1,2.0329745086737105,9,False
1,3,23,3|2|1|0,2.537711286959647,13,False
2,2,0,0|1|2|3,0.22653376804234493,6,True
2,2,1,0|1|3|2,3.1386527806711797,21,False
2,2,2,0|2|1|3,0.2241858637843935,5,False
2,2,3,0|2|3|1,1.9981694580156182,10,False
2,2,4,0|3|1|2,3.1423124011057113,22,False
2,2,5,0|3|2|1,2.004176982708101,12,False
2,2,6,1|0|2|3,0.07658201319880258,1,False
2,2,7,1|0|3|2,2.9887010258276376,17,False
2,2,8,1|2|0|3,0.07662422234172617,2,False
2,2,9,1|2|3|0,3.0092039161839708,19,False
2,2,10,1|3|0|2,2.994750759663044,18,False
2,2,11,1|3|2|0,3.0152114408764534,20,False
2,2,12,2|0|1|3,0.2215377320892539,3,False
2,2,13,2|0|3|1,1.9955213263204785,9,False
2,2,14,2|1|0|3,0.2239278454901289,4,False
2,2,15,2|1|3|0,3.156507539332374,23,False
2,2,16,2|3|0|1,2.001571060155885,11,False
2,2,17,2|3|1|0,3.160167159766905,24,False
2,2,18,3|0|1|2,2.762762123439646,13,False
2,2,19,3|0|2|1,1.6246267050420355,7,False
2,2,20,3|1|0|2,2.765152236840521,14,False
2,2,21,3|1|2|0,2.785612918053931,16,False
2,2,22,3|2|0|1,1.624668914184959,8,False
2,2,23,3|2|1|0,2.7832650137959796,15,False
2,3,0,0|1|2|3,0.04654659665673334,2,True
2,3,1,0|1|3|2,3.5528188535398773,24,False
2,3,2,0|2|1|3,0.2395875981654004,4,False
2,3,3,0|2|3|1,2.865518926010592,17,False
2,3,4,0|3|1|2,2.977005101503856,20,False
2,3,5,0|3|2|1,2.096664172465904,10,False
2,3,6,1|0|2|3,0.010771588069898705,1,False
