fold,session,rank,identity_max_abs_error,gamma_frobenius_norm,correction_frobenius_norm
0,2,1,1.1102230246251565e-16,0.3126517047920667,0.0025290884587529476
0,3,1,2.220446049250313e-16,0.42971871273469336,0.0016276753250734145
1,2,1,1.1102230246251565e-16,0.3925964783439542,0.0025818131812886404
1,3,1,1.6653345369377348e-16,0.49385412418485886,0.002341643490740748
2,2,1,1.1102230246251565e-16,0.3400519273492085,0.0029139082118518527
2,3,1,1.3877787807814457e-16,0.43847370602511926,0.0020964493449596566
3,2,1,2.220446049250313e-16,0.33306991294199284,0.0025128793291601718
3,3,1,2.220446049250313e-16,0.413008122544342,0.002090568013120145
4,2,1,2.220446049250313e-16,0.30858951583994604,0.0025201720596545476
4,3,1,2.220446049250313e-16,0.4053085626028565,0.0022391162216632084
5,2,3,6.661338147750939e-16,0.41864515399144714,0.009624010828373499
5,3,3,8.881784197001252e-16,0.5576223299601967,0.010752397957499098
