dataset,geometry,template,object,signature,stage,observed,null_median,effect,exceedances,p_value,replicates
BNCI2014_001,AIRM,session_specific,Z,sensor,C,0.77304114293468351,-0.0007231193000693172,0.77376426223475281,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,session_specific,Z,spectrum,C,0.95427121814899918,0.84325438649229811,0.11101683165670106,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,session_specific,R,sensor,C,0.7730313197578752,-0.00072335026101014968,0.77375467001888532,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,session_specific,R,spectrum,C,0.9543035889512802,0.84327051426951549,0.11103307468176471,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,pooled_session,Z,sensor,C,0.79530402933938837,0.064324850804869868,0.73097917853451855,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,pooled_session,Z,spectrum,C,0.96519917328827398,0.85435177241714366,0.11084740087113032,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,pooled_session,R,sensor,C,0.79530000318792182,0.064325430422459418,0.7309745727654624,0,0.00050000000000000001,1999
BNCI2014_001,AIRM,pooled_session,R,spectrum,C,0.96515845321853821,0.85431373690894485,0.11084471630959336,0,0.00050000000000000001,1999
BNCI2014_001,LE,session_specific,Z,sensor,C,0.77994394621451824,9.7696328721506796e-05,0.77984624988579676,0,0.00050000000000000001,1999
BNCI2014_001,LE,session_specific,Z,spectrum,C,0.94791632968297257,0.80068397745968234,0.14723235222329023,0,0.00050000000000000001,1999
BNCI2014_001,LE,session_specific,R,sensor,C,0.77994394621451868,9.7696328721541206e-05,0.77984624988579709,0,0.00050000000000000001,1999
BNCI2014_001,LE,session_specific,R,spectrum,C,0.94791632968297079,0.80068397745968767,0.14723235222328312,0,0.00050000000000000001,1999
BNCI2014_001,LE,pooled_session,Z,sensor,C,0.80204884012334376,0.065559645971831559,0.73648919415151215,0,0.00050000000000000001,1999
BNCI2014_001,LE,pooled_session,Z,spectrum,C,0.96059541717402119,0.81490708025478509,0.14568833691923611,0,0.00050000000000000001,1999
BNCI2014_001,LE,pooled_session,R,sensor,C,0.80204884012334376,0.065559645971831587,0.73648919415151215,0,0.00050000000000000001,1999
BNCI2014_001,LE,pooled_session,R,spectrum,C,0.96059541717401964,0.8149070802547963,0.14568833691922334,0,0.00050000000000000001,1999
