dataset,geometry,template,object,signature,stage,observed,null_median,effect,exceedances,p_value,replicates
OpenBMI,AIRM,session_specific,Z,sensor,C,0.33966986921013087,0.00063253134082046731,0.3390373378693104,0,0.00050000000000000001,1999
OpenBMI,AIRM,session_specific,Z,spectrum,C,0.91390609408616319,0.88304997965506249,0.030856114431100701,215,0.108,1999
OpenBMI,AIRM,session_specific,R,sensor,C,0.33966190829209009,0.00063141578436581934,0.33903049250772427,0,0.00050000000000000001,1999
OpenBMI,AIRM,session_specific,R,spectrum,C,0.91390520186318513,0.88305092294710774,0.030854278916077393,215,0.108,1999
OpenBMI,AIRM,pooled_session,Z,sensor,C,0.36238972094623667,0.012994765130470209,0.34939495581576646,0,0.00050000000000000001,1999
OpenBMI,AIRM,pooled_session,Z,spectrum,C,0.92275939198073909,0.88472930702771302,0.038030084953026067,108,0.0545,1999
OpenBMI,AIRM,pooled_session,R,sensor,C,0.36237965893728241,0.012991044016249417,0.34938861492103301,0,0.00050000000000000001,1999
OpenBMI,AIRM,pooled_session,R,spectrum,C,0.92275954685867601,0.88472902611316662,0.038030520745509389,108,0.0545,1999
OpenBMI,LE,session_specific,Z,sensor,C,0.33172205751292572,0.0017397576117225474,0.32998229990120315,0,0.00050000000000000001,1999
OpenBMI,LE,session_specific,Z,spectrum,C,0.90289818007259726,0.86286776985293656,0.040030410219660695,168,0.084500000000000006,1999
OpenBMI,LE,session_specific,R,sensor,C,0.33172205751292572,0.001739757611722514,0.3299822999012032,0,0.00050000000000000001,1999
OpenBMI,LE,session_specific,R,spectrum,C,0.90289818007259748,0.86286776985293656,0.040030410219660917,168,0.084500000000000006,1999
OpenBMI,LE,pooled_session,Z,sensor,C,0.34503398268725927,0.01324392547177148,0.33179005721548777,0,0.00050000000000000001,1999
OpenBMI,LE,pooled_session,Z,spectrum,C,0.90425137975215342,0.86542292537406285,0.038828454378090571,176,0.088499999999999995,1999
OpenBMI,LE,pooled_session,R,sensor,C,0.34503398268725938,0.013243925471771487,0.33179005721548788,0,0.00050000000000000001,1999
OpenBMI,LE,pooled_session,R,spectrum,C,0.90425137975215342,0.86542292537406285,0.038828454378090571,176,0.088499999999999995,1999
